id	paper_section	label	classification	proof_nodes	decision_reason
C055	5.4.1	Local descendant-cone Hilbert completion	SPLIT_PUBLIC_OWNER	P035	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C056	5.4.2	Completed local injectivity Ker K_p={0}	SPLIT_PUBLIC_OWNER	P036;P037	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C057	6.1.1	GNS / Araki-Woods spectral handoff	SPLIT_PUBLIC_OWNER	P038;P039	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C058	6.1.2	Local hyperfinite type-III₁ factor	SPLIT_PUBLIC_OWNER	P040;P041;P042	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C059	6.2.1	Finite active interface taxonomy for descendant cones	SPLIT_PUBLIC_OWNER	P043	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C060	6.2.2	Exact complement split chain	SPLIT_PUBLIC_OWNER	P044;P045	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C061	6.2.3	Dual complement envelope isotony	SPLIT_PUBLIC_OWNER	P046	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
M070	7.1.2	Canonical emergent interface/geometry selector	SPLIT_PUBLIC_OWNER	P047;P048	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
B071	7.2.1	Hodge / geometric-locality / HK geometry branch	NO_PROOF_NODE_QUARANTINED		Branch is inactive until its upstream gate closes; proof decomposition would be premature.
M080	8.1.1	Local standardness of (M(O),Ω)	SPLIT_PUBLIC_OWNER	P049;P050	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
O081	8.1.3	Global native modular-conjugation lift obstruction	ALREADY_EXPLICIT_PROOF_NODE	O081	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
M082	8.1.2	Derived local modular flow	SPLIT_PUBLIC_OWNER	P051;P052	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
M083	8.2.1	Covariance group and spectrum condition	SPLIT_PUBLIC_OWNER	P055;P056;P057	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
O084	8.3.1	ω_prov purity obstruction	ALREADY_EXPLICIT_PROOF_NODE	O084	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
M085	8.3.2	Canonical purification / pure global state branch	SPLIT_PUBLIC_OWNER	P058;P059	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
I001	1.1.1	Branching parameter b	NO_PROOF_NODE_INPUT		Primitive/free input; only local well-formedness lemmas belong to consuming constructions.
I002	1.1.2	Finite approximant depth L	NO_PROOF_NODE_INPUT		Primitive/free input; only local well-formedness lemmas belong to consuming constructions.
C001	1.1.3	Empty carrier ∅	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C002	1.1.4	Root genesis r	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C003	1.1.5	Finite b-ary provenance grammar	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C004A	1.2.1	First provenance slot s₁	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
A001	1.2.2	Genesis seed ★	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
N001	1.2.3	Initial conductance normalization C★=1	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C013	1.2.4	First non-root provenance birth v₁	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
T001	1.2.5	Seed-neutrality theorem for first birth	ALREADY_EXPLICIT_PROOF_NODE	T001	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
M005	1.2.6	Conductance-unit normalization independence	ALREADY_EXPLICIT_PROOF_NODE	M005	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
C014	1.2.7	Bootstrap state X₁={r,v₁; C(r,v₁)=1}	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C004	1.3.2	Next open provenance slot sₙ₊₁ (n≥1)	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C005	1.3.1	Response-capable state schema Xₙ (n≥1)	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C006	1.3.3	Birth-local Schur/DtN primitive	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
M001	1.3.4	Canonical birth-local measurement cut Cₙ(sₙ₊₁)	SPLIT_PUBLIC_OWNER	P003	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
M002	1.3.5	Birth-cut interior-domain theorem	ALREADY_EXPLICIT_PROOF_NODE	M002	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
C007	1.3.6	Inter-birth directed response Rₙ(sₙ₊₁)	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C015	1.3.8	Active linear steering mode φ(x)=x	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
M003	1.3.9	Canonical response-steering functional Σ_b[Rₙ,s]	SPLIT_PUBLIC_OWNER	P001	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
P001	1.3.9.1	Reusable directed Schur/DtN/Kron channel closure	ALREADY_EXPLICIT_PROOF_NODE	P001	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
M004	1.3.10	Response-coupled birth law 𝔅_b	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C008	1.4.1	Record/live response-coupled update	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C016	1.4.2	Immutable record channel	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C017	1.4.3	Current live channel	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C009	1.4.4	Codomain state Xₙ₊₁	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C010	1.5.1	Provenance event index τₙ	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C011	1.5.3	Response-derived birth lapse ℓₙ₊₁	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C012	1.5.4	Cumulative response-derived birth time Tₙ	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
O001	1.3.7	IST response-independent directed-bias obstruction	ALREADY_EXPLICIT_PROOF_NODE	O001	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
O002	1.6.1	IST post-hoc sym-control obstruction	ALREADY_EXPLICIT_PROOF_NODE	O002	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
CTRL001		Symmetric/null-steering control	NO_ADDITIONAL_PROOF_NODE_CONTROL		Supplementary control. Any theorem-like control already appears as its own control node.
CTRL002		Null-control edge-indistinguishability theorem/test	ALREADY_EXPLICIT_PROOF_NODE	CTRL002	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
CTRL003		Log response-mode robustness control	NO_ADDITIONAL_PROOF_NODE_CONTROL		Supplementary control. Any theorem-like control already appears as its own control node.
CTRL004		Saturating response-mode robustness control	NO_ADDITIONAL_PROOF_NODE_CONTROL		Supplementary control. Any theorem-like control already appears as its own control node.
C018	1.1.6	Canonical BFS/lexicographic provenance birth schedule	SPLIT_PUBLIC_OWNER	P002	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
N002	1.5.2	Response-time origin T₁=0	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
T002	1.4.5	Recurrent state-closure theorem	ALREADY_EXPLICIT_PROOF_NODE	T002	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
T003	1.4.6	Provenance-label equivariance and no hard-coded rank-bias theorem	ALREADY_EXPLICIT_PROOF_NODE	T003	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
C019	1.5.5	Completed finite response-grown carrier X^(b,L)	SPLIT_PUBLIC_OWNER	P004;P005;P006	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
CTRL005		Layer-batch schedule robustness control	NO_ADDITIONAL_PROOF_NODE_CONTROL		Supplementary control. Any theorem-like control already appears as its own control node.
M086	8.1.5	Native provenance realization of the local modular action	SPLIT_PUBLIC_OWNER	P053;P054	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C025	2.3.1	Canonical regional response carrier	SPLIT_PUBLIC_OWNER	P011	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C032	3.2.1	Canonical local operator-support carrier	SPLIT_PUBLIC_OWNER	P014	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C033	3.3.1	Response-generated finite algebraic closure	SPLIT_PUBLIC_OWNER	P015	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C044	4.3.1	Canonical finite prefix/projective carrier maps	SPLIT_PUBLIC_OWNER	P019	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C045	4.3.2	Nested common-ambient multiscale transport	SPLIT_PUBLIC_OWNER	P020	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C046	4.3.4	Forward channel structure	SPLIT_PUBLIC_OWNER	P022	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C047	4.3.3	Nested channel refinement	SPLIT_PUBLIC_OWNER	P021	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
O048	3.5.1	Finite cyclicity dimension/rank obstruction	ALREADY_EXPLICIT_PROOF_NODE	O048	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
O049	4.5.1	Projection/completion naturality obstruction	ALREADY_EXPLICIT_PROOF_NODE	O049	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
O071	7.1.1	Geometry/interface canonicity obstruction	ALREADY_EXPLICIT_PROOF_NODE	O071	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
O090	6.3.1	Counting-terminal Fock identification obstruction	ALREADY_EXPLICIT_PROOF_NODE	O090	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
O091	6.3.2	Ontic corner/Schur inductive-limit obstruction	ALREADY_EXPLICIT_PROOF_NODE	O091	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
O092	8.1.4	K-selected polarization uniqueness/compatibility obstruction	ALREADY_EXPLICIT_PROOF_NODE	O092	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
