node_number	id	section_path	derivation_order	main_state	supplement_state	result
063	P015	3.3.1.1	63	PLANNED	PLANNED	PASS
064	M031	3.4.1	64	PLANNED	PLANNED	PASS
065	P016	3.4.1.1	65	PLANNED	PLANNED	PASS
066	O048	3.5.1	66	PLANNED	PLANNED	PASS
067	C040	4.1.1	67	PLANNED	PLANNED	PASS
068	P017	4.1.1.1	68	PLANNED	PLANNED	PASS
069	P018	4.1.1.2	69	PLANNED	PLANNED	PASS
070	C041	4.1.2	70	PLANNED	PLANNED	PASS
071	C042	4.2.1	71	PLANNED	PLANNED	PASS
072	CTRL005	4.2.2	72	PLANNED	PLANNED	PASS
073	C044	4.3.1	73	PLANNED	PLANNED	PASS
074	P019	4.3.1.1	74	PLANNED	PLANNED	PASS
075	C045	4.3.2	75	PLANNED	PLANNED	PASS
076	P020	4.3.2.1	76	PLANNED	PLANNED	PASS
077	C047	4.3.3	77	PLANNED	PLANNED	PASS
078	P021	4.3.3.1	78	PLANNED	PLANNED	PASS
079	C046	4.3.4	79	PLANNED	PLANNED	PASS
080	P022	4.3.4.1	80	PLANNED	PLANNED	PASS
081	C043	4.4.1	81	PLANNED	PLANNED	PASS
082	P023	4.4.1.1	82	PLANNED	PLANNED	PASS
083	P024	4.4.1.2	83	PLANNED	PLANNED	PASS
084	P025	4.4.1.3	84	PLANNED	PLANNED	PASS
085	O049	4.5.1	85	PLANNED	PLANNED	PASS
086	C050	5.1.1	86	PLANNED	PLANNED	PASS
087	P026	5.1.1.1	87	PLANNED	PLANNED	PASS
088	C051	5.1.2	88	PLANNED	PLANNED	PASS
089	P027	5.1.2.1	89	PLANNED	PLANNED	PASS
090	M050	5.2.1	90	PLANNED	PLANNED	PASS
091	P028	5.2.1.1	91	PLANNED	PLANNED	PASS
092	P029	5.2.1.2	92	PLANNED	PLANNED	PASS
093	C052	5.2.2	93	PLANNED	PLANNED	PASS
094	P030	5.2.2.1	94	PLANNED	PLANNED	PASS
095	P031	5.2.2.2	95	PLANNED	PLANNED	PASS
096	C054	5.2.3	96	PLANNED	PLANNED	PASS
097	P032	5.2.3.1	97	PLANNED	PLANNED	PASS
098	P033	5.2.3.2	98	PLANNED	PLANNED	PASS
099	C053	5.3.1	99	PLANNED	PLANNED	PASS
100	P034	5.3.1.1	100	PLANNED	PLANNED	PASS
101	C055	5.4.1	101	PLANNED	PLANNED	PASS
102	P035	5.4.1.1	102	PLANNED	PLANNED	PASS
103	C056	5.4.2	103	PLANNED	PLANNED	PASS
104	P036	5.4.2.1	104	PLANNED	PLANNED	PASS
105	P037	5.4.2.2	105	PLANNED	PLANNED	PASS
106	C057	6.1.1	106	PLANNED	PLANNED	PASS
107	P038	6.1.1.1	107	PLANNED	PLANNED	PASS
108	P039	6.1.1.2	108	PLANNED	PLANNED	PASS
109	C058	6.1.2	109	PLANNED	PLANNED	PASS
110	P040	6.1.2.1	110	PLANNED	PLANNED	PASS
111	P041	6.1.2.2	111	PLANNED	PLANNED	PASS
112	P042	6.1.2.3	112	PLANNED	PLANNED	PASS
113	C059	6.2.1	113	PLANNED	PLANNED	PASS
114	P043	6.2.1.1	114	PLANNED	PLANNED	PASS
115	C060	6.2.2	115	PLANNED	PLANNED	PASS
116	P044	6.2.2.1	116	PLANNED	PLANNED	PASS
117	P045	6.2.2.2	117	PLANNED	PLANNED	PASS
118	C061	6.2.3	118	PLANNED	PLANNED	PASS
119	P046	6.2.3.1	119	PLANNED	PLANNED	PASS
120	O090	6.3.1	120	PLANNED	PLANNED	PASS
121	O091	6.3.2	121	PLANNED	PLANNED	PASS
122	O071	7.1.1	122	PLANNED	PLANNED	PASS
123	M070	7.1.2	123	PLANNED	PLANNED	PASS
124	P047	7.1.2.1	124	PLANNED	PLANNED	PASS
125	P048	7.1.2.2	125	PLANNED	PLANNED	PASS
126	B071	7.2.1	126	PLANNED	PLANNED	PASS
127	M080	8.1.1	127	PLANNED	PLANNED	PASS
128	P049	8.1.1.1	128	PLANNED	PLANNED	PASS
129	P050	8.1.1.2	129	PLANNED	PLANNED	PASS
130	M082	8.1.2	130	PLANNED	PLANNED	PASS
131	P051	8.1.2.1	131	PLANNED	PLANNED	PASS
132	P052	8.1.2.2	132	PLANNED	PLANNED	PASS
133	O081	8.1.3	133	PLANNED	PLANNED	PASS
134	O092	8.1.4	134	PLANNED	PLANNED	PASS
135	M086	8.1.5	135	PLANNED	PLANNED	PASS
136	P053	8.1.5.1	136	PLANNED	PLANNED	PASS
137	P054	8.1.5.2	137	PLANNED	PLANNED	PASS
138	M083	8.2.1	138	PLANNED	PLANNED	PASS
139	P055	8.2.1.1	139	PLANNED	PLANNED	PASS
140	P056	8.2.1.2	140	PLANNED	PLANNED	PASS
141	P057	8.2.1.3	141	PLANNED	PLANNED	PASS
142	O084	8.3.1	142	PLANNED	PLANNED	PASS
143	M085	8.3.2	143	PLANNED	PLANNED	PASS
144	P058	8.3.2.1	144	PLANNED	PLANNED	PASS
145	P059	8.3.2.2	145	PLANNED	PLANNED	PASS
