owner_node	paper_section	question_type	label	status	explicit_question_or_obligation	closure_condition	basis_state	basis_source_file_ids	evidence_state	evidence_refs	direct_predecessors
O001	1.3.7	IST_REFACTOR_BLOCKER	IST response-independent directed-bias obstruction	CLOSED_VERIFIED	The retained eight response-independent legacy mechanism classes are detected and individually rejected; the canonical M004 candidate carries the all-false record.	Satisfied: active M004 candidate inputs are explicitly all-false and the admitted tuple preserves only state, slot, response, and response-derived steering.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/O001.json;derivation/code/lean/audit/evidence/USER_LOCAL_PREFIX_FREE_FULL_BUILD_20260804.json	
M003	1.3.9	PROOF_OBLIGATION	Canonical M003 closure	CLOSED_VERIFIED	Canonical M003 closure internalizing the parent coordinate and packaging domain, existence, and universal positivity.	Satisfied by the exact-source-bound Lean build, registered M003/M004 axiom audit, and full package-boundary audit.	CURRENT_VERIFIED_EVIDENCE		4_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	derivation/registry/nodes/M003.json;derivation/code/lean/audit/evidence/USER_LOCAL_M003_M004_FULL_BUILD_20260806.json	C007;C015;M005;P001
P001	1.3.9.1	PROOF_OBLIGATION	Reusable directed Schur/DtN/Kron channel closure	CLOSED_VERIFIED	Reusable unregularized directed Schur/DtN/Kron channel closure for canonical and independent cut families.	Satisfied by the exact-source-bound local Lean build, registered axiom audit, and full package-boundary audit.	CURRENT_VERIFIED_EVIDENCE		142_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	derivation/registry/nodes/P001.json;derivation/code/lean/audit/evidence/USER_LOCAL_P001_FULL_BUILD_20260806.json	C006;M001;M002;C007;M003
M004	1.3.10	PROOF_OBLIGATION	Canonical M004 closure and immutable handoff	CLOSED_VERIFIED	Canonical M004 closure consuming M003 directly and supplying a representative-independent immutable instruction handoff.	Satisfied by the exact-source-bound Lean build, registered M003/M004 axiom audit, and full package-boundary audit.	CURRENT_VERIFIED_EVIDENCE		7_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	derivation/registry/nodes/M004.json;derivation/code/lean/audit/evidence/USER_LOCAL_M003_M004_FULL_BUILD_20260806.json	C004;M003;O001
C008	1.4.1	BLOCKED_DERIVED_NODE	Record/live response-coupled update	CORE_BLOCKED	Creates immutable birth-record state and updates the live state from response-derived birth data. Record/live are derived physics-carrying state channels, not inputs.	Creates immutable birth-record state and updates the live state from response-derived birth data. Record/live are derived physics-carrying state channels, not inputs.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		M004
C016	1.4.2	BLOCKED_DERIVED_NODE	Immutable record channel	CORE_BLOCKED	Birth-time relational data frozen when the relation is created.	Birth-time relational data frozen when the relation is created.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C008
C017	1.4.3	BLOCKED_DERIVED_NODE	Current live channel	CORE_BLOCKED	Current relational response state after subsequent response-coupled births/backreaction.	Current relational response state after subsequent response-coupled births/backreaction.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C008
C009	1.4.4	CONSTRUCTION	Codomain state Xₙ₊₁	CLOSED_VERIFIED	Deterministically assemble the raw one-step codomain from the canonical slot and verified C016/C017 projections without absorbing T002 schema closure.	Eight C009 declarations kernel-compile under Lean 4.31.0; the axiom audit and full package-boundary audit pass; exact-source evidence is retained.	CURRENT_IMPLEMENTATION		KERNEL_VERIFIED_8_OF_8_FULL_BOUNDARY_PASS	derivation/code/lean/audit/evidence/USER_LOCAL_C009_FULL_BUILD_20260808.json;derivation/code/lean/audit/evidence/USER_LOCAL_C009_FULL_BUILD_20260808.txt	C005;C016;C017
T002	1.4.5	MISSING_CONSTRUCTION_OR_THEOREM	Recurrent state-closure theorem	CORE_REQUIRED_MISSING	For every admissible Xₙ and its canonical next slot, the response-coupled birth law produces a unique Xₙ₊₁ in the same response-capable state schema.	Prove totality and uniqueness of one recurrent step and membership Xₙ₊₁ in the same state schema for every admitted pre-birth state.	MISSING_CONSTRUCTION		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C005;C009;M004
T003	1.4.6	MISSING_CONSTRUCTION_OR_THEOREM	Provenance-label equivariance and no hard-coded rank-bias theorem	CORE_REQUIRED_MISSING	At fixed transported event history, relabeling sibling slots gives an isomorphic result; numeric slot/rank labels inject no independent force or asymmetry. Sequential differences may arise only through the measured response history.	Prove transported sibling-label equivariance and absence of numeric slot/rank bias; sequential response-history effects remain allowed.	MISSING_CONSTRUCTION		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C008;C018;M003;M004
C011	1.5.3	BLOCKED_DERIVED_NODE	Response-derived birth lapse ℓₙ₊₁	CORE_BLOCKED	Physical birth interval/weight determined by the response of the existing network.	Physical birth interval/weight determined by the response of the existing network.	BLOCKED_DERIVATION		BLOCKED_NO_CURRENT_EVIDENCE		M004
C012	1.5.4	BLOCKED_DERIVED_NODE	Cumulative response-derived birth time Tₙ	CORE_BLOCKED	With fixed origin T₁=0, recurrent births satisfy Tₙ₊₁=Tₙ+ℓₙ₊₁; distinct from τₙ.	With fixed origin T₁=0, recurrent births satisfy Tₙ₊₁=Tₙ+ℓₙ₊₁; distinct from τₙ.	BLOCKED_DERIVATION		BLOCKED_NO_CURRENT_EVIDENCE		C011;N002
C019	1.5.5	BLOCKED_DERIVED_NODE	Completed finite response-grown carrier X^(b,L)	CORE_BLOCKED	Iterate the unique recurrent step in the canonical schedule from X₁ until every address of depth ≤L is born; this is the Section-1 finite carrier handed to later sections.	Iterate the unique recurrent step in the canonical schedule from X₁ until every address of depth ≤L is born; this is the Section-1 finite carrier handed to later sections.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C010;C012;C014;C018;I002;T002;T003
P004	1.5.5.1	PROOF_OBLIGATION	Finite schedule exhaustivity and termination	CORE_REQUIRES_PROOF	Prove that the bounded canonical schedule enumerates every address of depth at most L exactly once and terminates after the finite carrier cardinality.	Prove that the bounded canonical schedule enumerates every address of depth at most L exactly once and terminates after the finite carrier cardinality.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		I001;I002;C003;C018;P002
P005	1.5.5.2	PROOF_OBLIGATION	Iterated recurrent growth existence and uniqueness	CORE_REQUIRES_PROOF	Lift the one-step recurrent closure to existence and uniqueness of the entire finite response-grown iteration along the canonical schedule.	Lift the one-step recurrent closure to existence and uniqueness of the entire finite response-grown iteration along the canonical schedule.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C014;T002;T003;P004
P006	1.5.5.3	PROOF_OBLIGATION	Completed event, lapse, and response-time history coherence	CORE_REQUIRES_PROOF	Prove that the completed carrier carries one coherent event-index history and one coherent cumulative response-time history aligned with the same births.	Prove that the completed carrier carries one coherent event-index history and one coherent cumulative response-time history aligned with the same births.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C010;C011;C012;P005
O002	1.6.1	IST_REFACTOR_BLOCKER	IST post-hoc sym-control obstruction	IST_REFACTOR_BLOCKER	Legacy symmetric-control code nulls the skew/current post hoc rather than implementing null steering at the growth law. It must be replaced by CTRL001; signed_current.py is diagnostic evidence only, not a normative basis.	Implement null/symmetric control at the growth/steering law and prove/test that no post-hoc skew/current nulling remains in the active path.	IST_REFACTOR_BLOCKER		LEGACY_DIAGNOSTIC_OR_SOURCE_EVIDENCE_REFACTOR_REQUIRED		
C020	2.1.1	MISSING_CONSTRUCTION_OR_THEOREM	General admissible boundary/interior cut family	CORE_REQUIRED_MISSING	Mathematical cut class generalizing the birth-local cut without test-only max_regions/max_boundary/max_frontier choices.	Mathematical cut class generalizing the birth-local cut without test-only max_regions/max_boundary/max_frontier choices.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C019;M001
P007	2.1.1.1	PROOF_OBLIGATION	General admissible-cut partition and canonicity	CORE_REQUIRES_PROOF	Prove exact boundary/interior partition, ordering, finiteness, and selector canonicity for the general cut family without sampling caps.	Prove exact boundary/interior partition, ordering, finiteness, and selector canonicity for the general cut family without sampling caps.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C019;M001;P003;P005
C021	2.1.2	PROOF_OBLIGATION	General directed Schur/DtN response	CORE_REQUIRES_PROOF	General effective boundary response for admissible cuts; algebraic formula exists, theorem domain must be stated exactly.	General effective boundary response for admissible cuts; algebraic formula exists, theorem domain must be stated exactly.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C006;C020
P008	2.1.2.1	PROOF_OBLIGATION	General interior-solve existence and uniqueness	CORE_REQUIRES_PROOF	Prove the exact solve domain and constructive existence/uniqueness of the admitted interior problem for every general directed cut.	Prove the exact solve domain and constructive existence/uniqueness of the admitted interior problem for every general directed cut.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C006;C020;P001;P007
P009	2.1.2.2	PROOF_OBLIGATION	General Schur/DtN response well-definedness	CORE_REQUIRES_PROOF	Prove representative, coordinate, basis-order, and solve-witness independence of the effective boundary response.	Prove representative, coordinate, basis-order, and solve-witness independence of the effective boundary response.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C006;C020;P008
P010	2.1.2.3	PROOF_OBLIGATION	Directed Kron structural and positivity preservation	CORE_REQUIRES_PROOF	Prove preservation of the admitted loopless directed-Laplacian structure and the required strict distinguished-port positivity under general elimination.	Prove preservation of the admitted loopless directed-Laplacian structure and the required strict distinguished-port positivity under general elimination.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C020;P001;P008;P009
C022	2.1.3	PROOF_OBLIGATION	Schur nesting/common-ambient naturality	CORE_REQUIRES_PROOF	Compatibility of elimination under nested cuts and common-ambient comparison.	Compatibility of elimination under nested cuts and common-ambient comparison.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021
C025	2.3.1	PROOF_OBLIGATION	Canonical regional response carrier	CORE_REQUIRES_PROOF	Restrict/compress the admitted directed Schur/DtN response to a canonically specified region without introducing a new fitted response law.	Atomically lift the regional-response construction from current source IDs, remove sampling/cap semantics from the definition, and prove exact restriction/compression typing.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;C022;C023
P011	2.3.1.1	PROOF_OBLIGATION	Regional response restriction canonicity and functoriality	CORE_REQUIRES_PROOF	Prove that regional restriction/compression is canonically typed, introduces no fitted law, and commutes with admitted common-ambient transport.	Prove that regional restriction/compression is canonically typed, introduces no fitted law, and commutes with admitted common-ambient transport.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;C022;C023;P009
M030	3.1.1	MISSING_CONSTRUCTION_OR_THEOREM	Canonical effective F1/F2 role functor	CORE_REQUIRED_MISSING	Unique provenance/response-derived role plane with proved rank and naturality.	Unique provenance/response-derived role plane with proved rank and naturality.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C021
P012	3.1.1.1	PROOF_OBLIGATION	Effective role-plane rank and nondegeneracy	CORE_REQUIRES_PROOF	Prove that the selected F1/F2 role carrier has the claimed rank and is nondegenerate on its admitted domain.	Prove that the selected F1/F2 role carrier has the claimed rank and is nondegenerate on its admitted domain.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;P009
P013	3.1.1.2	PROOF_OBLIGATION	Role-functor naturality, equivariance, and uniqueness	CORE_REQUIRES_PROOF	Prove provenance-label equivariance, common-ambient naturality, and uniqueness of the effective role functor under the declared axioms.	Prove provenance-label equivariance, common-ambient naturality, and uniqueness of the effective role functor under the declared axioms.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;C022;P012
C032	3.2.1	BLOCKED_DERIVED_NODE	Canonical local operator-support carrier	CORE_BLOCKED	Construct the local operator support/projector/restriction data from the admitted regional response and canonical role functor, with no positional role convention left implicit.	Derive canonical local operator support from C025 and M030 without positional role labels; separate algebraic definitions from diagnostic Tomita/commutant metrics.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C025;M030
P014	3.2.1.1	PROOF_OBLIGATION	Local support carrier and projector coherence	CORE_REQUIRES_PROOF	Prove exact support, projector/restriction typing, idempotence where claimed, and compatibility with regional response and the canonical role functor.	Prove exact support, projector/restriction typing, idempotence where claimed, and compatibility with regional response and the canonical role functor.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C025;M030;P011;P013
C033	3.3.1	BLOCKED_DERIVED_NODE	Response-generated finite algebraic closure	CORE_BLOCKED	Construct the finite response-generated algebra and its exact closure criterion from admitted response/support generators; numerical tolerance is evidence machinery, not the mathematical definition.	Give an exact finite algebra closure definition independent of numerical tolerance and prove the source implementation realizes it on admitted generators.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C025;C032
P015	3.3.1.1	PROOF_OBLIGATION	Finite response-algebra closure and exact stabilization	CORE_REQUIRES_PROOF	Prove closure under the declared algebraic operations, finite stabilization, and the exact non-tolerance closure criterion.	Prove closure under the declared algebraic operations, finite stabilization, and the exact non-tolerance closure criterion.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C025;C032;P014
M031	3.4.1	MISSING_CONSTRUCTION_OR_THEOREM	Intrinsic directed response algebra	CORE_REQUIRED_MISSING	Algebra generated intrinsically from the admitted effective response objects, not from legacy positional projectors.	Algebra generated intrinsically from the admitted effective response objects, not from legacy positional projectors.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE		C023;C033;M030
P016	3.4.1.1	PROOF_OBLIGATION	Intrinsic generator independence and canonical algebra equivalence	CORE_REQUIRES_PROOF	Prove that the intrinsic algebra is independent of auxiliary positional generators and canonically agrees across admitted response presentations.	Prove that the intrinsic algebra is independent of auxiliary positional generators and canonically agrees across admitted response presentations.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C023;C033;M030;P013;P015
O048	3.5.1	MATHEMATICAL_OBSTRUCTION_PROOF	Finite cyclicity dimension/rank obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	Finite proper-subalgebra cyclicity is dimension/rank obstructed under the stated finite hypotheses; the precise no-go claim requires an explicit current proof/evidence binding.	Prove the finite cyclicity dimension/rank bound under explicit algebra and carrier hypotheses; attach current analytic/Lean/Python evidence as appropriate.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C032
C040	4.1.1	BLOCKED_DERIVED_NODE	Inverse-depth Cauchy/Hilbert ancestor carrier H	CORE_BLOCKED	Exact Cauchy structure H_{rj}=1/(r+j+1) with analytic determinant structure. Revalidation is mandatory after replacing the primitive IST growth law by response-coupled growth.	Exact Cauchy structure H_{rj}=1/(r+j+1) with analytic determinant structure. Revalidation is mandatory after replacing the primitive IST growth law by response-coupled growth.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		BLOCKED_NO_CURRENT_EVIDENCE		C008;C019
P017	4.1.1.1	PROOF_OBLIGATION	Exact inverse-depth Cauchy/Hilbert identification	CORE_REQUIRES_PROOF	Derive the exact ancestor-return carrier entries H_{rj}=1/(r+j+1) from the response-grown construction under the active law.	Derive the exact ancestor-return carrier entries H_{rj}=1/(r+j+1) from the response-grown construction under the active law.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C008;C019;P005
P018	4.1.1.2	PROOF_OBLIGATION	Cauchy determinant, nondegeneracy, and rank	CORE_REQUIRES_PROOF	Prove the exact determinant formula, nonvanishing, and finite rank consequences for the admitted Cauchy/Hilbert blocks.	Prove the exact determinant formula, nonvanishing, and finite rank consequences for the admitted Cauchy/Hilbert blocks.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		P017
C041	4.1.2	PROOF_OBLIGATION	Exact pre/post-Schur factorization M=A_eff H	CORE_REQUIRES_PROOF	Exact factorization to be extracted from the runner and detached from refactor-required frontier helpers.	Exact factorization to be extracted from the runner and detached from refactor-required frontier helpers.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;C040
C042	4.2.1	PROOF_OBLIGATION	Canonical-schedule ancestor-return rank closure	CORE_REQUIRES_PROOF	Unique-continuation/backward-induction rank closure for the active canonical schedule. Alternate layer_batch behavior is a Supplementary control owned by CTRL005, not part of this theorem.	Unique-continuation/backward-induction closure for the active canonical schedule. Alternate schedules belong only to Supplementary robustness controls.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C018;C041
C044	4.3.1	PROOF_OBLIGATION	Canonical finite prefix/projective carrier maps	CORE_REQUIRES_PROOF	Define the finite address-prefix carrier maps used for interlevel comparison and prove their exact typing/composition on admitted finite carriers.	Prove prefix/projective carrier maps are exact on admitted finite carriers and compose as declared.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C019
P019	4.3.1.1	PROOF_OBLIGATION	Finite prefix-map typing, composition, and projective coherence	CORE_REQUIRES_PROOF	Prove exact typing, identity, composition, and cutoff coherence of the finite address-prefix carrier maps.	Prove exact typing, identity, composition, and cutoff coherence of the finite address-prefix carrier maps.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C019;P004;P005
C045	4.3.2	PROOF_OBLIGATION	Nested common-ambient multiscale transport	CORE_REQUIRES_PROOF	Embed nested finite response objects into a declared common ambient carrier and prove the required restriction/transport identities.	Prove common-ambient nested transport/restriction identities without hidden coordinate choices.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;C044
P020	4.3.2.1	PROOF_OBLIGATION	Common-ambient embedding and transport identities	CORE_REQUIRES_PROOF	Prove that nested finite response objects embed into the declared common ambient carrier and satisfy the exact restriction/transport identities.	Prove that nested finite response objects embed into the declared common ambient carrier and satisfy the exact restriction/transport identities.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C021;C044;P009;P019
C047	4.3.3	PROOF_OBLIGATION	Nested channel refinement	CORE_REQUIRES_PROOF	Construct nested refinement maps between admitted channel objects and prove their compatibility with the common-ambient transport.	Prove nested channel-refinement compatibility with exact factorization and common-ambient transport.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C040;C041;C045
P021	4.3.3.1	PROOF_OBLIGATION	Nested refinement-map well-definedness and compatibility	CORE_REQUIRES_PROOF	Prove exact typing and compatibility of nested channel refinement maps with the common-ambient transport.	Prove exact typing and compatibility of nested channel refinement maps with the common-ambient transport.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C040;C041;C045;P018;P020
C046	4.3.4	PROOF_OBLIGATION	Forward channel structure	CORE_REQUIRES_PROOF	Define the forward channel induced by the admitted refinement data and prove the stated finite structural identities.	Prove the forward channel structure from the admitted nested refinement/rank data.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C042;C047
P022	4.3.4.1	PROOF_OBLIGATION	Forward-channel well-definedness and structural identities	CORE_REQUIRES_PROOF	Prove that the induced forward channel is well-defined and satisfies the declared finite structural identities.	Prove that the induced forward channel is well-defined and satisfies the declared finite structural identities.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C042;C047;P021
C043	4.4.1	PROOF_OBLIGATION	Refinement/cocycle/live reconstruction	CORE_REQUIRES_PROOF	Assemble the admitted exact refinement, cocycle, future-invariance and live-directed reconstruction results after the projective/nested channel structure is fixed.	Exact refinement and reconstruction identities extracted from mixed runner/audit files.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C042;C046;C047
P023	4.4.1.1	PROOF_OBLIGATION	Refinement cocycle law	CORE_REQUIRES_PROOF	Prove identity and composition/cocycle laws for the admitted refinement and forward-channel maps.	Prove identity and composition/cocycle laws for the admitted refinement and forward-channel maps.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C042;C046;C047;P021;P022
P024	4.4.1.2	PROOF_OBLIGATION	Future invariance of retained finite blocks	CORE_REQUIRES_PROOF	Prove exact invariance of previously formed blocks under later admissible births/refinements on the declared common carrier.	Prove exact invariance of previously formed blocks under later admissible births/refinements on the declared common carrier.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C046;C047;P023
P025	4.4.1.3	PROOF_OBLIGATION	Live-directed reconstruction from record and cocycle data	CORE_REQUIRES_PROOF	Prove exact reconstruction of the live directed object from immutable records plus the admitted refinement/cocycle data.	Prove exact reconstruction of the live directed object from immutable records plus the admitted refinement/cocycle data.	ARCHITECTURAL_PROOF_DECOMPOSITION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C016;C017;C046;C047;P023;P024
O049	4.5.1	MATHEMATICAL_OBSTRUCTION_PROOF	Projection/completion naturality obstruction	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED	The tested projection/completion identification fails the required naturality gate; retain only the exact obstruction boundary pending current proof/evidence.	Revalidate or analytically prove the exact projection/completion naturality failure and state precisely which identification is excluded.	MATHEMATICAL_OBSTRUCTION		PROOF_REQUIRED_NO_CURRENT_EVIDENCE		C043
