id	label	paper_section	supplement_section	status	publication	paper_tex	python_module	python_test	lean_file	lean_module	supplement_dir	registry_node	canonical_owner	node_role	proof_owner
C013	First non-root provenance birth v₁	1.2.4	S1.2.4	CORE_REQUIRED_MISSING	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/04_C013__first_non_root_provenance_birth_v1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s04_c013__first_non_root_provenance_birth_v1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s04_c013__first_non_root_provenance_birth_v1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S04_C013_FirstNonRootProvenanceBirthV1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S04_C013_FirstNonRootProvenanceBirthV1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/04_C013__first_non_root_provenance_birth_v1/	derivation/registry/nodes/C013.json	C013	CONSTRUCTION	
T001	Seed-neutrality theorem for first birth	1.2.5	S1.2.5	CORE_REQUIRED_MISSING	MAIN_THEOREM	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/05_T001__seed_neutrality_theorem_for_first_birth.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s05_t001__seed_neutrality_theorem_for_first_birth.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s05_t001__seed_neutrality_theorem_for_first_birth.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S05_T001_SeedNeutralityTheoremForFirstBirth.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S05_T001_SeedNeutralityTheoremForFirstBirth	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/05_T001__seed_neutrality_theorem_for_first_birth/	derivation/registry/nodes/T001.json	T001	PROOF	
M005	Conductance-unit normalization independence	1.2.6	S1.2.6	CORE_REQUIRED_MISSING	MAIN_THEOREM	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/06_M005__conductance_unit_normalization_independence.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s06_m005__conductance_unit_normalization_independence.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s06_m005__conductance_unit_normalization_independence.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S06_M005_ConductanceUnitNormalizationIndependence.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S06_M005_ConductanceUnitNormalizationIndependence	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/06_M005__conductance_unit_normalization_independence/	derivation/registry/nodes/M005.json	M005	PROOF	
C014	Bootstrap state X₁={r,v₁; C(r,v₁)=1}	1.2.7	S1.2.7	CORE_BLOCKED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/07_C014__bootstrap_state_x1_r_v1_c_r_v1_1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s07_c014__bootstrap_state_x1_r_v1_c_r_v1_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s07_c014__bootstrap_state_x1_r_v1_c_r_v1_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S07_C014_BootstrapStateX1RV1CRV11.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S07_C014_BootstrapStateX1RV1CRV11	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/07_C014__bootstrap_state_x1_r_v1_c_r_v1_1/	derivation/registry/nodes/C014.json	C014	CONSTRUCTION	
C005	Response-capable state schema Xₙ (n≥1)	1.3.1	S1.3.1	CORE_BLOCKED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/01_C005__response_capable_state_schema_xn_n_ge_1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s01_c005__response_capable_state_schema_xn_n_ge_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s01_c005__response_capable_state_schema_xn_n_ge_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S01_C005_ResponseCapableStateSchemaXnNGe1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S01_C005_ResponseCapableStateSchemaXnNGe1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/01_C005__response_capable_state_schema_xn_n_ge_1/	derivation/registry/nodes/C005.json	C005	CONSTRUCTION	
C004	Next open provenance slot sₙ₊₁ (n≥1)	1.3.2	S1.3.2	CORE_DEFINED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/02_C004__next_open_provenance_slot_snplus1_n_ge_1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s02_c004__next_open_provenance_slot_snplus1_n_ge_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s02_c004__next_open_provenance_slot_snplus1_n_ge_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S02_C004_NextOpenProvenanceSlotSnplus1NGe1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S02_C004_NextOpenProvenanceSlotSnplus1NGe1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/02_C004__next_open_provenance_slot_snplus1_n_ge_1/	derivation/registry/nodes/C004.json	C004	CONSTRUCTION	
C006	Birth-local Schur/DtN primitive	1.3.3	S1.3.3	CORE_DEFINED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/03_C006__birth_local_schur_dtn_primitive.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s03_c006__birth_local_schur_dtn_primitive.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s03_c006__birth_local_schur_dtn_primitive.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S03_C006_BirthLocalSchurDtnPrimitive.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S03_C006_BirthLocalSchurDtnPrimitive	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/03_C006__birth_local_schur_dtn_primitive/	derivation/registry/nodes/C006.json	C006	CONSTRUCTION	
M001	Canonical birth-local measurement cut Cₙ(sₙ₊₁)	1.3.4	S1.3.4	CORE_REQUIRED_MISSING	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/04_M001__canonical_birth_local_measurement_cut_cn_snplus1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s04_m001__canonical_birth_local_measurement_cut_cn_snplus1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s04_m001__canonical_birth_local_measurement_cut_cn_snplus1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S04_M001_CanonicalBirthLocalMeasurementCutCnSnplus1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S04_M001_CanonicalBirthLocalMeasurementCutCnSnplus1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/04_M001__canonical_birth_local_measurement_cut_cn_snplus1/	derivation/registry/nodes/M001.json	M001	PROOF_OWNER	
P003	Birth-cut canonicity and partition well-formedness	1.3.4.1	S1.3.4.1	CORE_REQUIRES_PROOF	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/proofs/01_P003__birth_cut_canonicity_partition_well_formedness.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/proofs/s01_p003__birth_cut_canonicity_partition_well_formedness.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/proofs/test_s01_p003__birth_cut_canonicity_partition_well_formedness.py	derivation/code/lean/proofs/src/CNNAProofs/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S04_M001_CanonicalBirthLocalMeasurementCutCnSnplus1/Proofs/S01_P003_BirthCutCanonicityPartitionWellFormedness.lean	CNNAProofs.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S04_M001_CanonicalBirthLocalMeasurementCutCnSnplus1.Proofs.S01_P003_BirthCutCanonicityPartitionWellFormedness	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/04_M001__canonical_birth_local_measurement_cut_cn_snplus1/proofs/01_P003__birth_cut_canonicity_partition_well_formedness/	derivation/registry/nodes/P003.json	M001	PROOF	M001
M002	Birth-cut interior-domain theorem	1.3.5	S1.3.5	CORE_REQUIRED_MISSING	MAIN_THEOREM	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/05_M002__birth_cut_interior_domain_theorem.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s05_m002__birth_cut_interior_domain_theorem.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s05_m002__birth_cut_interior_domain_theorem.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S05_M002_BirthCutInteriorDomainTheorem.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S05_M002_BirthCutInteriorDomainTheorem	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/05_M002__birth_cut_interior_domain_theorem/	derivation/registry/nodes/M002.json	M002	PROOF	
C007	Inter-birth directed response Rₙ(sₙ₊₁)	1.3.6	S1.3.6	CORE_BLOCKED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/06_C007__inter_birth_directed_response_rn_snplus1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s06_c007__inter_birth_directed_response_rn_snplus1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s06_c007__inter_birth_directed_response_rn_snplus1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S06_C007_InterBirthDirectedResponseRnSnplus1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S06_C007_InterBirthDirectedResponseRnSnplus1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/06_C007__inter_birth_directed_response_rn_snplus1/	derivation/registry/nodes/C007.json	C007	CONSTRUCTION	
O001	IST response-independent directed-bias obstruction	1.3.7	S1.3.7	IST_REFACTOR_BLOCKER	MAIN_BOUNDARY	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/07_O001__ist_response_independent_directed_bias_obstruction.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s07_o001__ist_response_independent_directed_bias_obstruction.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s07_o001__ist_response_independent_directed_bias_obstruction.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S07_O001_IstResponseIndependentDirectedBiasObstruction.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S07_O001_IstResponseIndependentDirectedBiasObstruction	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/07_O001__ist_response_independent_directed_bias_obstruction/	derivation/registry/nodes/O001.json	O001	PROOF	
C015	Active linear steering mode φ(x)=x	1.3.8	S1.3.8	FIXED_ACTIVE_RULE	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/08_C015__active_linear_steering_mode_phi_x_x.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s08_c015__active_linear_steering_mode_phi_x_x.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s08_c015__active_linear_steering_mode_phi_x_x.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S08_C015_ActiveLinearSteeringModePhiXX.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S03_RecurrentPreBirthMeasurementAndSteering.S08_C015_ActiveLinearSteeringModePhiXX	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/03_recurrent_pre_birth_measurement_and_steering/08_C015__active_linear_steering_mode_phi_x_x/	derivation/registry/nodes/C015.json	C015	CONSTRUCTION	
