node_number	id	paper_section	derivation_rank	derivation_order	section	branch	label	status	publication	definition	basis_state	basis_source_file_ids	basis_source_paths	basis_node_refs	evidence_state	evidence_refs	legacy_basis_raw	obligation_class	node_role	proof_owner	proof_granularity	documentation_tier	documentation_tier_rule	main_paper_depth	supplement_depth	required_documentation_sections	python_anchor_status	lean_anchor_status	countercheck_requirement	countercheck_status	documentation_v2_state	open_provenance_role	open_provenance_status	specialization_path	section_path	section_root_title	section_group_title	introduction_reason	canonical_node_label	stable_node_directory_name	main_section_directory	supplement_section_directory	main_section_artifact	supplement_section_artifact	main_documentation_state	supplement_documentation_state
030	C009	1.4.4	19	30	SEC-01	growth	Codomain state Xₙ₊₁	IMPLEMENTED_VERIFIED	MAIN_FULL	Given a C005 response-capable state X, its canonical C004 next open slot, record/live channels coherent with the current C005 live conductances, and an M004-shaped instruction at that slot, deterministically assemble the raw codomain data by inheriting the schedule, appending the selected child to bornNonRoot, projecting record through C016, and projecting live through C017; assembly respects C006 exact-fraction SameValue.	CURRENT_IMPLEMENTATION			C005;C016;C017	CURRENT_VERIFIED_EVIDENCE	derivation/code/lean/audit/evidence/USER_LOCAL_C009_FULL_BUILD_20260808.json;derivation/code/lean/audit/evidence/USER_LOCAL_C009_FULL_BUILD_20260808.txt		NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	position_in_derivation|mathematical_contract|introduction_reason|explicit_construction|invariants|canonicity_or_uniqueness|boundary_cases|python_lean_cross_layer|countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED_KERNEL_VERIFIED	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	PASS	COMPLETE_V2				1.4.4	Primitive provenance and response-coupled growth	Record/live update, backreaction channels and finite closure	Introduced after C016, C017, C005; registered hard handoff(s): part_of_next_state, part_of_next_state, constrains_codomain_state_schema.	030 · C009	030_C009__codomain_state_x	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
031	T002	1.4.5	20	31	SEC-01	growth	Recurrent state-closure theorem	IMPLEMENTED_VERIFIED	MAIN_THEOREM	For every admissible recurrent configuration consisting of a C005 state Xₙ, its canonical C004 next slot, and the derived C016/C017 record/live context whose live channel is coherent with Xₙ, C007 supplies the canonical state-directed realization and the response-coupled M004 law produces a unique Xₙ₊₁ in the complete C005 schema while re-establishing C005↔C017 live coherence.	CURRENT_IMPLEMENTATION			C005;C009;M004	CURRENT_VERIFIED_EVIDENCE	derivation/code/lean/audit/evidence/USER_LOCAL_T002_FULL_BUILD_20260809.json;derivation/code/lean/audit/evidence/USER_LOCAL_T002_FULL_BUILD_20260809.txt		NONE	PROOF	T002	ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	RESOLVED_KERNEL_VERIFIED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PASS	COMPLETE_V2				1.4.5	Primitive provenance and response-coupled growth	Record/live update, backreaction channels and finite closure	Introduced after C005, C009, M004; registered hard handoff(s): supplies_state_schema, supplies_step_codomain, supplies_recurrent_map.	031 · T002	031_T002__recurrent_state_closure_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
032	T003	1.4.6	20	32	SEC-01	growth	Provenance-label equivariance and no hard-coded rank-bias theorem	CORE_REQUIRED_MISSING	MAIN_THEOREM	At fixed transported event history, relabeling sibling slots gives an isomorphic result; numeric slot/rank labels inject no independent force or asymmetry. Sequential differences may arise only through the measured response history.	MISSING_CONSTRUCTION			C008;C018;M003;M004	CONSTRUCTION_MISSING_NO_CURRENT_EVIDENCE			MISSING_CONSTRUCTION_OR_THEOREM	PROOF		ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.4.6	Primitive provenance and response-coupled growth	Record/live update, backreaction channels and finite closure	Introduced after C018, M003, M004, C008; registered hard handoff(s): supplies_label_order_contract, supplies_response_only_steering, supplies_no_hardcoded_rank_bias_birth_law, supplies_update_equivariance.	032 · T003	032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem/DOCUMENTATION.md	PLANNED	PLANNED
033	C010	1.5.1	20	33	SEC-01	time	Provenance event index τₙ	CORE_DEFINED	MAIN_FULL	Discrete event-order label determined by the canonical schedule; not the response-derived physical time.	DERIVED_FROM_SOLL			C009;C018	NO_CURRENT_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	PLANNED	PLANNED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	NOT_STARTED	NOT_STARTED				1.5.1	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after C009, C018; registered hard handoff(s): records_event_index, assigns_event_index.	033 · C010	033_C010__provenance_event_index	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index/DOCUMENTATION.md	PLANNED	PLANNED
034	N002	1.5.2	20	34	SEC-01	time	Response-time origin T₁=0	FIXED_NORMALIZATION	MAIN_MENTION	Fix the additive origin of cumulative response-derived time by T₁=0. This adds no physical parameter.	FIXED_NORMALIZATION				NOT_APPLICABLE_OR_CONVENTION			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	PLANNED	PLANNED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	NOT_STARTED	NOT_STARTED				1.5.2	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Response-time origin introduced only after event and lapse notions exist.	034 · N002	034_N002__response_time_origin_t_0	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0/DOCUMENTATION.md	PLANNED	PLANNED
035	C011	1.5.3	20	35	SEC-01	time	Response-derived birth lapse ℓₙ₊₁	CORE_BLOCKED	MAIN_FULL	Physical birth interval/weight determined by the response of the existing network.	BLOCKED_DERIVATION			M004	BLOCKED_NO_CURRENT_EVIDENCE			BLOCKED_DERIVED_NODE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	position_in_derivation|mathematical_contract|introduction_reason|explicit_construction|invariants|canonicity_or_uniqueness|boundary_cases|python_lean_cross_layer|countercheck|result|downstream_handoff|code_anchors	PLANNED	PLANNED	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	NOT_STARTED	NOT_STARTED				1.5.3	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after M004; registered hard handoff(s): produces_response_lapse.	035 · C011	035_C011__response_derived_birth_lapse	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse/DOCUMENTATION.md	PLANNED	PLANNED
036	C012	1.5.4	21	36	SEC-01	time	Cumulative response-derived birth time Tₙ	CORE_BLOCKED	MAIN_FULL	With fixed origin T₁=0, recurrent births satisfy Tₙ₊₁=Tₙ+ℓₙ₊₁; distinct from τₙ.	BLOCKED_DERIVATION			C011;N002	BLOCKED_NO_CURRENT_EVIDENCE			BLOCKED_DERIVED_NODE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	position_in_derivation|mathematical_contract|introduction_reason|explicit_construction|invariants|canonicity_or_uniqueness|boundary_cases|python_lean_cross_layer|countercheck|result|downstream_handoff|code_anchors	PLANNED	PLANNED	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	NOT_STARTED	NOT_STARTED				1.5.4	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after C011, N002; registered hard handoff(s): accumulates_response_time, fixes_additive_time_origin.	036 · C012	036_C012__cumulative_response_derived_birth_time_t	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t/DOCUMENTATION.md	PLANNED	PLANNED
037	C019	1.5.5	22	37	SEC-01	growth	Completed finite response-grown carrier X^(b,L)	CORE_BLOCKED	MAIN_FULL	Iterate the unique recurrent step in the canonical schedule from X₁ until every address of depth ≤L is born; this is the Section-1 finite carrier handed to later sections.	LEGACY_SOURCE_ANCHOR_PENDING_LIFT			C010;C012;C014;C018;I002;T002;T003;P004;P005;P006	BLOCKED_NO_CURRENT_EVIDENCE			BLOCKED_DERIVED_NODE	PROOF_OWNER		AGGREGATES_EXPLICIT_PROOF_GATES	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	PLANNED	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.5.5	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after C014, T002, T003, C018, I002, C010, C012; registered hard handoff(s): supplies_finite_iteration_base_case, certifies_iterability, certifies_no_hardcoded_label_bias, orders_finite_iteration, sets_completion_depth, labels_completed_event_history, labels_completed_response_time_history.	037 · C019	037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/DOCUMENTATION.md	PLANNED	PLANNED
038	P004	1.5.5.1	22	38	SEC-01	growth	Finite schedule exhaustivity and termination	CORE_REQUIRES_PROOF	MAIN_FULL	Prove that the bounded canonical schedule enumerates every address of depth at most L exactly once and terminates after the finite carrier cardinality.	ARCHITECTURAL_PROOF_DECOMPOSITION			I001;I002;C003;C018;P002	PROOF_REQUIRED_NO_CURRENT_EVIDENCE			PROOF_OBLIGATION	PROOF	C019	ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.5.5.1	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after I001, I002, C003, C018, P002; registered hard handoff(s): supports_p004, supports_p004, supports_p004, supports_p004, supports_p004.	038 · P004	038_P004__finite_schedule_exhaustivity_and_termination	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination/DOCUMENTATION.md	PLANNED	PLANNED
039	P005	1.5.5.2	23	39	SEC-01	growth	Iterated recurrent growth existence and uniqueness	CORE_REQUIRES_PROOF	MAIN_FULL	Lift the one-step recurrent closure to existence and uniqueness of the entire finite response-grown iteration along the canonical schedule.	ARCHITECTURAL_PROOF_DECOMPOSITION			C014;T002;T003;P004	PROOF_REQUIRED_NO_CURRENT_EVIDENCE			PROOF_OBLIGATION	PROOF	C019	ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.5.5.2	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after C014, T002, T003, P004; registered hard handoff(s): supports_p005, supports_p005, supports_p005, supports_p005.	039 · P005	039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness/DOCUMENTATION.md	PLANNED	PLANNED
040	P006	1.5.5.3	24	40	SEC-01	growth	Completed event, lapse, and response-time history coherence	CORE_REQUIRES_PROOF	MAIN_FULL	Prove that the completed carrier carries one coherent event-index history and one coherent cumulative response-time history aligned with the same births.	ARCHITECTURAL_PROOF_DECOMPOSITION			C010;C011;C012;P005	PROOF_REQUIRED_NO_CURRENT_EVIDENCE			PROOF_OBLIGATION	PROOF	C019	ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.5.5.3	Primitive provenance and response-coupled growth	Event order, response order and finite completion	Introduced after C010, C011, C012, P005; registered hard handoff(s): supports_p006, supports_p006, supports_p006, supports_p006.	040 · P006	040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence/DOCUMENTATION.md	PLANNED	PLANNED
041	O002	1.6.1	24	41	SEC-01	obstruction	IST post-hoc sym-control obstruction	IST_REFACTOR_BLOCKER	MAIN_BOUNDARY	Legacy symmetric-control code nulls the skew/current post hoc rather than implementing null steering at the growth law. It must be replaced by CTRL001; signed_current.py is diagnostic evidence only, not a normative basis.	IST_REFACTOR_BLOCKER				LEGACY_DIAGNOSTIC_OR_SOURCE_EVIDENCE_REFACTOR_REQUIRED			IST_REFACTOR_BLOCKER	PROOF		ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.6.1	Primitive provenance and response-coupled growth	Controls and excluded non-derived mechanisms	Post-hoc control obstruction introduced in the control section.	041 · O002	041_O002__ist_post_hoc_sym_control_obstruction	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction/DOCUMENTATION.md	PLANNED	PLANNED
042	CTRL001	1.6.2	25	42	SUPP	control	Symmetric/null-steering control	CONTROL_ONLY	SUPPLEMENTARY_ONLY	Set Σ_b≡0 during growth. Not an alternative physical theory path.	CONTROL_ONLY			C007;O002	CONTROL_PENDING_IMPLEMENTATION			NONE	CONTROL		NONE	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	PLANNED	PLANNED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	NOT_STARTED	NOT_STARTED				1.6.2	Primitive provenance and response-coupled growth	Controls and excluded non-derived mechanisms	Introduced after C007, O002; registered hard handoff(s): nulls_steering_during_growth, must_be_replaced_by_growth_level_nulling.	042 · CTRL001	042_CTRL001__symmetric_null_steering_control	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control/DOCUMENTATION.md	PLANNED	PLANNED
043	CTRL002	1.6.3	26	43	SUPP	control	Null-control edge-indistinguishability theorem/test	CONTROL_ONLY	SUPPLEMENTARY_ONLY	With response steering disabled, edge weights are symmetric/indistinguishable apart from provenance labels and birth order.	CONTROL_ONLY			CTRL001	CONTROL_PENDING_IMPLEMENTATION			NONE	PROOF		ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_PROOF_NODE	PLANNED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_STARTED	NOT_STARTED				1.6.3	Primitive provenance and response-coupled growth	Controls and excluded non-derived mechanisms	Introduced after CTRL001; registered hard handoff(s): checks_null_indistinguishability.	043 · CTRL002	043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test/DOCUMENTATION.md	PLANNED	PLANNED
