paper_section	level	section_kind	title	first_node_number	first_node_id	last_node_number	last_node_id	node_count	derivation_order_start	derivation_order_end	main_directory	supplement_directory	generated_from
1.2.1	2	NODE_SECTION	First provenance slot s₁	008	C004A	008	C004A	1	8	8	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s	derivation/registry/dag/NODES.tsv
1.2.2	2	NODE_SECTION	Genesis seed ★	009	A001	009	A001	1	9	9	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed	derivation/registry/dag/NODES.tsv
1.2.3	2	NODE_SECTION	Initial conductance normalization C★=1	010	N001	010	N001	1	10	10	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1	derivation/registry/dag/NODES.tsv
1.2.4	2	NODE_SECTION	First non-root provenance birth v₁	011	C013	011	C013	1	11	11	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v	derivation/registry/dag/NODES.tsv
1.2.5	2	NODE_SECTION	Seed-neutrality theorem for first birth	012	T001	012	T001	1	12	12	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth	derivation/registry/dag/NODES.tsv
1.2.6	2	NODE_SECTION	Conductance-unit normalization independence	013	M005	013	M005	1	13	13	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence	derivation/registry/dag/NODES.tsv
1.2.7	2	NODE_SECTION	Bootstrap state X₁={r,v₁; C(r,v₁)=1}	014	C014	014	C014	1	14	14	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1	derivation/registry/dag/NODES.tsv
1.3	1	SECTION_GROUP	Canonical cut, complement elimination and birth steering	015	C005	026	M004	12	15	26	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering	derivation/registry/dag/NODES.tsv
1.3.1	2	NODE_SECTION	Response-capable state schema Xₙ (n≥1)	015	C005	015	C005	1	15	15	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1	derivation/registry/dag/NODES.tsv
1.3.2	2	NODE_SECTION	Next open provenance slot sₙ₊₁ (n≥1)	016	C004	016	C004	1	16	16	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1	derivation/registry/dag/NODES.tsv
1.3.3	2	NODE_SECTION	Birth-local Schur/DtN primitive	017	C006	017	C006	1	17	17	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive	derivation/registry/dag/NODES.tsv
1.3.4	2	NODE_SECTION	Canonical birth-local measurement cut Cₙ(sₙ₊₁)	018	M001	019	P003	2	18	19	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s	derivation/registry/dag/NODES.tsv
1.3.4.1	3	PROOF_NODE_SECTION	Birth-cut canonicity and partition well-formedness	019	P003	019	P003	1	19	19	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness	derivation/registry/dag/NODES.tsv
1.3.5	2	NODE_SECTION	Birth-cut interior-domain theorem	020	M002	020	M002	1	20	20	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem	derivation/registry/dag/NODES.tsv
1.3.6	2	NODE_SECTION	Inter-birth directed response Rₙ(sₙ₊₁)	021	C007	021	C007	1	21	21	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s	derivation/registry/dag/NODES.tsv
1.3.7	2	NODE_SECTION	IST response-independent directed-bias obstruction	022	O001	022	O001	1	22	22	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction	derivation/registry/dag/NODES.tsv
1.3.8	2	NODE_SECTION	Active linear steering mode φ(x)=x	023	C015	023	C015	1	23	23	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x	derivation/registry/dag/NODES.tsv
1.3.9	2	NODE_SECTION	Canonical response-steering functional Σ_b[Rₙ,s]	024	M003	025	P001	2	24	25	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s	derivation/registry/dag/NODES.tsv
1.3.9.1	3	PROOF_NODE_SECTION	Reusable directed Schur/DtN/Kron channel closure	025	P001	025	P001	1	25	25	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure	derivation/registry/dag/NODES.tsv
1.3.10	2	NODE_SECTION	Response-coupled birth law 𝔅_b	026	M004	026	M004	1	26	26	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b	derivation/registry/dag/NODES.tsv
1.4	1	SECTION_GROUP	Record/live update, backreaction channels and finite closure	027	C008	032	T003	6	27	32	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure	derivation/registry/dag/NODES.tsv
1.4.1	2	NODE_SECTION	Record/live response-coupled update	027	C008	027	C008	1	27	27	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update	derivation/registry/dag/NODES.tsv
1.4.2	2	NODE_SECTION	Immutable record channel	028	C016	028	C016	1	28	28	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel	derivation/registry/dag/NODES.tsv
1.4.3	2	NODE_SECTION	Current live channel	029	C017	029	C017	1	29	29	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel	derivation/registry/dag/NODES.tsv
1.4.4	2	NODE_SECTION	Codomain state Xₙ₊₁	030	C009	030	C009	1	30	30	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x	derivation/registry/dag/NODES.tsv
1.4.5	2	NODE_SECTION	Recurrent state-closure theorem	031	T002	031	T002	1	31	31	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem	derivation/registry/dag/NODES.tsv
1.4.6	2	NODE_SECTION	Provenance-label equivariance and no hard-coded rank-bias theorem	032	T003	032	T003	1	32	32	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/registry/dag/NODES.tsv
1.5	1	SECTION_GROUP	Event order, response order and finite completion	033	C010	040	P006	8	33	40	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion	derivation/registry/dag/NODES.tsv
1.5.1	2	NODE_SECTION	Provenance event index τₙ	033	C010	033	C010	1	33	33	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index	derivation/registry/dag/NODES.tsv
1.5.2	2	NODE_SECTION	Response-time origin T₁=0	034	N002	034	N002	1	34	34	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0	derivation/registry/dag/NODES.tsv
1.5.3	2	NODE_SECTION	Response-derived birth lapse ℓₙ₊₁	035	C011	035	C011	1	35	35	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse	derivation/registry/dag/NODES.tsv
1.5.4	2	NODE_SECTION	Cumulative response-derived birth time Tₙ	036	C012	036	C012	1	36	36	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t	derivation/registry/dag/NODES.tsv
1.5.5	2	NODE_SECTION	Completed finite response-grown carrier X^(b,L)	037	C019	040	P006	4	37	40	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/registry/dag/NODES.tsv
1.5.5.1	3	PROOF_NODE_SECTION	Finite schedule exhaustivity and termination	038	P004	038	P004	1	38	38	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/038_P004__finite_schedule_exhaustivity_and_termination	derivation/registry/dag/NODES.tsv
1.5.5.2	3	PROOF_NODE_SECTION	Iterated recurrent growth existence and uniqueness	039	P005	039	P005	1	39	39	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/039_P005__iterated_recurrent_growth_existence_and_uniqueness	derivation/registry/dag/NODES.tsv
1.5.5.3	3	PROOF_NODE_SECTION	Completed event, lapse, and response-time history coherence	040	P006	040	P006	1	40	40	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/040_P006__completed_event_lapse_and_response_time_history_coherence	derivation/registry/dag/NODES.tsv
1.6	1	SECTION_GROUP	Controls and excluded non-derived mechanisms	041	O002	045	CTRL004	5	41	45	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms	derivation/registry/dag/NODES.tsv
1.6.1	2	NODE_SECTION	IST post-hoc sym-control obstruction	041	O002	041	O002	1	41	41	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/041_O002__ist_post_hoc_sym_control_obstruction	derivation/registry/dag/NODES.tsv
1.6.2	2	NODE_SECTION	Symmetric/null-steering control	042	CTRL001	042	CTRL001	1	42	42	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/042_CTRL001__symmetric_null_steering_control	derivation/registry/dag/NODES.tsv
1.6.3	2	NODE_SECTION	Null-control edge-indistinguishability theorem/test	043	CTRL002	043	CTRL002	1	43	43	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/043_CTRL002__null_control_edge_indistinguishability_theorem_test	derivation/registry/dag/NODES.tsv
1.6.4	2	NODE_SECTION	Log response-mode robustness control	044	CTRL003	044	CTRL003	1	44	44	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/044_CTRL003__log_response_mode_robustness_control	derivation/registry/dag/NODES.tsv
1.6.5	2	NODE_SECTION	Saturating response-mode robustness control	045	CTRL004	045	CTRL004	1	45	45	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/06_controls_and_excluded_non_derived_mechanisms/045_CTRL004__saturating_response_mode_robustness_control	derivation/registry/dag/NODES.tsv
2	0	ROOT_SECTION	Cut-relative complement elimination and effective response	046	C020	056	P011	11	46	56	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response	derivation/registry/dag/NODES.tsv
2.1	1	SECTION_GROUP	General cuts, complement elimination and naturality	046	C020	052	C022	7	46	52	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality	derivation/registry/dag/NODES.tsv
2.1.1	2	NODE_SECTION	General admissible boundary/interior cut family	046	C020	047	P007	2	46	47	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family	derivation/registry/dag/NODES.tsv
2.1.1.1	3	PROOF_NODE_SECTION	General admissible-cut partition and canonicity	047	P007	047	P007	1	47	47	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/046_C020__general_admissible_boundary_interior_cut_family/047_P007__general_admissible_cut_partition_and_canonicity	derivation/registry/dag/NODES.tsv
2.1.2	2	NODE_SECTION	General directed Schur/DtN response	048	C021	051	P010	4	48	51	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response	derivation/registry/dag/NODES.tsv
2.1.2.1	3	PROOF_NODE_SECTION	General interior-solve existence and uniqueness	049	P008	049	P008	1	49	49	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/049_P008__general_interior_solve_existence_and_uniqueness	derivation/registry/dag/NODES.tsv
2.1.2.2	3	PROOF_NODE_SECTION	General Schur/DtN response well-definedness	050	P009	050	P009	1	50	50	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/050_P009__general_schur_dtn_response_well_definedness	derivation/registry/dag/NODES.tsv
2.1.2.3	3	PROOF_NODE_SECTION	Directed Kron structural and positivity preservation	051	P010	051	P010	1	51	51	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/048_C021__general_directed_schur_dtn_response/051_P010__directed_kron_structural_and_positivity_preservation	derivation/registry/dag/NODES.tsv
2.1.3	2	NODE_SECTION	Schur nesting/common-ambient naturality	052	C022	052	C022	1	52	52	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/01_general_cuts_complement_elimination_and_naturality/052_C022__schur_nesting_common_ambient_naturality	derivation/registry/dag/NODES.tsv
2.2	1	SECTION_GROUP	Record/live response split and backreaction	053	C023	054	C024	2	53	54	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction	derivation/registry/dag/NODES.tsv
2.2.1	2	NODE_SECTION	Symmetric/skew response split S,A	053	C023	053	C023	1	53	53	derivation/paper/main/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a	derivation/supplement/sections/02_cut_relative_complement_elimination_and_effective_response/02_record_live_response_split_and_backreaction/053_C023__symmetric_skew_response_split_s_a	derivation/registry/dag/NODES.tsv
