node_number	id	section_path	derivation_order	main_directory	main_artifact	main_state	supplement_directory	supplement_artifact	supplement_state	result
023	C015	1.3.8	23	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x/DOCUMENTATION.md	DOCUMENTED	PASS
024	M003	1.3.9	24	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/DOCUMENTATION.md	DOCUMENTED	PASS
025	P001	1.3.9.1	25	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	DOCUMENTED	PASS
026	M004	1.3.10	26	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b/DOCUMENTATION.md	DOCUMENTED	PASS
027	C008	1.4.1	27	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/027_C008__record_live_response_coupled_update/DOCUMENTATION.md	DOCUMENTED	PASS
028	C016	1.4.2	28	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/028_C016__immutable_record_channel/DOCUMENTATION.md	DOCUMENTED	PASS
029	C017	1.4.3	29	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/029_C017__current_live_channel/DOCUMENTATION.md	DOCUMENTED	PASS
030	C009	1.4.4	30	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/030_C009__codomain_state_x/DOCUMENTATION.md	DOCUMENTED	PASS
031	T002	1.4.5	31	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/031_T002__recurrent_state_closure_theorem/DOCUMENTATION.md	DOCUMENTED	PASS
032	T003	1.4.6	32	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/04_record_live_update_backreaction_channels_and_finite_closure/032_T003__provenance_label_equivariance_and_no_hard_coded_rank_bias_theorem/DOCUMENTATION.md	PLANNED	PASS
033	C010	1.5.1	33	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/033_C010__provenance_event_index/DOCUMENTATION.md	PLANNED	PASS
034	N002	1.5.2	34	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/034_N002__response_time_origin_t_0/DOCUMENTATION.md	PLANNED	PASS
035	C011	1.5.3	35	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/035_C011__response_derived_birth_lapse/DOCUMENTATION.md	PLANNED	PASS
036	C012	1.5.4	36	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/036_C012__cumulative_response_derived_birth_time_t/DOCUMENTATION.md	PLANNED	PASS
037	C019	1.5.5	37	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/SECTION.tex	PLANNED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/05_event_order_response_order_and_finite_completion/037_C019__completed_finite_response_grown_carrier_x_b_l/DOCUMENTATION.md	PLANNED	PASS
