reference_id	bibtex_key	reference_type	title	authors	year	venue	volume	issue	pages	publisher	doi	doi_status	doi_url	arxiv_id	arxiv_version	arxiv_doi	canonical_url	alternate_url	source_version	source_commit	accessed_date	verification_status	metadata_verified_against	peer_reviewed	primary_source	local_snapshot_sha256	license_or_access	notes	editors	edition	series	isbn
EXT-REF-LAPLACIAN-001	AgaevChebotarev2005NonsymmetricLaplacian	journal_article	On the Spectra of Nonsymmetric Laplacian Matrices	Rafig Agaev; Pavel Chebotarev	2005	Linear Algebra and its Applications	399		157--168	Elsevier	10.1016/j.laa.2004.09.003	ASSIGNED_VERIFIED	https://doi.org/10.1016/j.laa.2004.09.003	math/0508176	v1	10.48550/arXiv.math/0508176	https://doi.org/10.1016/j.laa.2004.09.003	https://arxiv.org/abs/math/0508176v1	published article; arXiv v1		2026-07-31	VERIFIED_ELSEVIER_AND_ARXIV	Elsevier record; arXiv metadata and abstract	true	true		Publisher record; open arXiv source	Primary source for the row-sum-zero, nonpositive-off-diagonal directed Laplacian convention and its relation to stochastic matrices.				
EXT-REF-MARKOV-001	Norris1997MarkovChains	book	Markov Chains	J. R. Norris	1997	Cambridge Series in Statistical and Probabilistic Mathematics	2		1--237	Cambridge University Press	10.1017/CBO9780511810633	ASSIGNED_VERIFIED	https://doi.org/10.1017/CBO9780511810633				https://doi.org/10.1017/CBO9780511810633	https://www.cambridge.org/core/books/markov-chains/A3F966B10633A32C8F06F37158031739	first edition; online 2012		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER	Cambridge Core book and chapter records	false	true		Publisher record	Standard source for continuous-time Markov-chain generators; used for the structural identity Q=-K only.		1	Cambridge Series in Statistical and Probabilistic Mathematics 2	9780511810633
EXT-REF-NETWORK-001	DoyleSnell1984ElectricNetworks	book	Random Walks and Electric Networks	Peter G. Doyle; J. Laurie Snell	1984	Carus Mathematical Monographs	22		1--159	Mathematical Association of America	10.5948/UPO9781614440222	ASSIGNED_VERIFIED	https://doi.org/10.5948/UPO9781614440222	math/0001057	v1	10.48550/arXiv.math/0001057	https://doi.org/10.5948/UPO9781614440222	https://arxiv.org/abs/math/0001057v1	original 1984 monograph; digital edition 2012; arXiv v1 2000		2026-07-31	VERIFIED_MAA_CAMBRIDGE_AND_ARXIV	Cambridge Core/MAA book record; arXiv record	false	true		Publisher record; open author/arXiv text	Standard source for the conductance-network viewpoint and linear scaling of electrical network quantities.		1	Carus Mathematical Monographs 22	9780883850244
EXT-REF-RESPONSE-001	CurtisIngermanMorrow1998Response	journal_article	Circular Planar Graphs and Resistor Networks	Edward B. Curtis; David Ingerman; James A. Morrow	1998	Linear Algebra and its Applications	283	1--3	115--150	Elsevier	10.1016/S0024-3795(98)10087-3	ASSIGNED_VERIFIED	https://doi.org/10.1016/S0024-3795(98)10087-3				https://doi.org/10.1016/S0024-3795(98)10087-3	https://sites.math.washington.edu/~curtis/cim.pdf	published article; author-hosted manuscript		2026-07-31	VERIFIED_ELSEVIER_AND_AUTHOR_MANUSCRIPT	Elsevier record; author-hosted primary-source PDF	true	true		Publisher record; author-hosted manuscript	Primary source for the boundary-voltage to boundary-current network response matrix.				
EXT-REF-MATHLIB-002	MathlibFiniteDimensionalFabf563a	software_source	Mathlib module: FiniteDimensional.Basic	Chris Hughes	2026	mathlib4 source tree			source module	Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/FiniteDimensional/Basic.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/LinearAlgebra/FiniteDimensional/Basic.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_OFFICIAL_SOURCE_COMMIT	Pinned GitHub source commit; generated mathlib documentation	false	true		Apache-2.0 source file	Primary API source for finite-dimensional linear-map results including surjectivity from injectivity at equal finite dimension. It supplies only the dimension bridge; the CNNA kernel proof remains internal.				
EXT-REF-MATHLIB-003	MathlibMatrixPosDefFabf563a	software_source	Mathlib module: Matrix.PosDef	Alexander Bentkamp; Mohanad Ahmed	2026	mathlib4 source tree			source module	Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Matrix/PosDef.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/LinearAlgebra/Matrix/PosDef.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_OFFICIAL_SOURCE_COMMIT	Pinned GitHub source commit; generated mathlib documentation	false	true		Apache-2.0 source file	Primary API source showing that Matrix.PosSemidef and Matrix.PosDef include Hermitian symmetry. Used to delimit the API: P001 proves directed Laplacian sign and conservation properties instead of symmetrizing the CNNA response.				
EXT-REF-MATHLIB-004	MathlibMatrixMulFabf563a	software_source	Mathlib module: Data.Matrix.Mul	Ellen Arlt; Blair Shi; Sean Leather; Mario Carneiro; Johan Commelin; Lu-Ming Zhang	2026	mathlib4 source tree			source module	Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Matrix/Mul.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/Data/Matrix/Mul.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_OFFICIAL_SOURCE_COMMIT	Pinned GitHub source commit; generated mathlib documentation	false	true		Apache-2.0 source file	Primary API source for rectangular matrix multiplication. It documents the Pi representation, construction guidance, and the exact row-by-column HMul definition that P001 mirrors transparently without invoking overloaded HMul at the Core boundary.				
EXT-REF-LEAN-004	LeanRatLemmas431	software_source	Lean core module: Init.Data.Rat.Lemmas	The Lean 4 Development Team	2026	Lean 4 source tree				Lean FRO, LLC		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Init/Data/Rat/Lemmas.html	https://github.com/leanprover/lean4/blob/v4.31.0/src/Init/Data/Rat/Lemmas.lean	Lean 4.31.0	v4.31.0	2026-08-03	VERIFIED_OFFICIAL_GENERATED_DOCUMENTATION	Generated Lean API documentation; official Lean source tag	false	true		Apache-2.0 source file	Primary API source for mkRat constructor equality and arithmetic lemmas used by the exact C006 fraction-value bridge.				
EXT-REF-LEAN-005	LeanFinFold431	software_source	Lean core module: Init.Data.Fin.Fold	The Lean 4 Development Team	2026	Lean 4 source tree				Lean FRO, LLC		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Init/Data/Fin/Fold.html	https://github.com/leanprover/lean4/blob/v4.31.0/src/Init/Data/Fin/Fold.lean	Lean 4.31.0	v4.31.0	2026-08-03	VERIFIED_OFFICIAL_GENERATED_DOCUMENTATION	Generated Lean API documentation; official Lean source tag	false	true		Apache-2.0 source file	Primary API source for Fin.foldl_zero and Fin.foldl_succ used in the explicit fold-to-sum proof.				
EXT-REF-MATHLIB-005	MathlibBigOperatorsFinFabf563a	software_source	Mathlib module: Algebra.BigOperators.Fin	Leanprover Community	2026	mathlib4 source tree				Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/BigOperators/Fin.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/Algebra/BigOperators/Fin.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_OFFICIAL_SOURCE_COMMIT	Pinned GitHub source commit; generated mathlib documentation	false	true		Apache-2.0 source file	Primary API source for Fin finite-sum induction formulas used to identify the native fold with a Fintype sum.				
EXT-REF-MATHLIB-006	MathlibFinsetMaxFabf563a	software_source	Mathlib module: Data.Finset.Max	Leanprover Community	2026					Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Finset/Max.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/Data/Finset/Max.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_PRIMARY_SOURCE	OFFICIAL_MATHLIB_DOCS_AND_PINNED_GITHUB_SOURCE	false	true		Apache-2.0	Finite maximum-selection API used by the directed maximum-principle proof.				
EXT-REF-MATHLIB-007	MathlibOrderedFinsetSumsFabf563a	software_source	Mathlib module: Algebra.Order.BigOperators.Group.Finset	Leanprover Community	2026					Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Order/BigOperators/Group/Finset.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/Algebra/Order/BigOperators/Group/Finset.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_PRIMARY_SOURCE	OFFICIAL_MATHLIB_DOCS_AND_PINNED_GITHUB_SOURCE	false	true		Apache-2.0	Nonnegative finite-sum zero criterion used by the directed maximum-principle proof.				
EXT-REF-MATHLIB-008	MathlibFintypeBigOperatorsFabf563a	software_source	Mathlib module: Data.Fintype.BigOperators	Leanprover Community	2026					Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Fintype/BigOperators.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/Data/Fintype/BigOperators.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_PRIMARY_SOURCE	OFFICIAL_MATHLIB_DOCS_AND_PINNED_GITHUB_SOURCE	false	true		Apache-2.0	Sum-type finite-sum decomposition used by the directed maximum-principle proof.				
EXT-REF-MATHLIB-009	MathlibMatrixToLinFabf563a	software_source	Mathlib module: LinearAlgebra.Matrix.ToLin	Johannes Hölzl; Patrick Massot; Casper Putz; Anne Baanen	2026					Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Matrix/ToLin.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/LinearAlgebra/Matrix/ToLin.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_PRIMARY_SOURCE	OFFICIAL_MATHLIB_DOCS_AND_PINNED_GITHUB_SOURCE	false	true		Apache-2.0	Matrix.mulVecLin and Matrix.mulVecLin_apply selected for the explicit interior endomorphism source.				
EXT-REF-LEAN-006	LeanInitCore431	software_source	Lean 4 source module: Init.Core	The Lean 4 Development Team	2026	Lean 4 core source tree			Subsingleton.elim declaration	Lean FRO, LLC		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Init/Core.html	https://github.com/leanprover/lean4/blob/v4.31.0/src/lean/Init/Core.lean	Lean 4.31.0	v4.31.0	2026-08-05	VERIFIED_OFFICIAL_SOURCE_TAG_AND_GENERATED_DOCUMENTATION	Official Lean v4.31.0 source tag; generated Init.Core documentation	false	true		Apache-2.0 source file	Pinned implementation-source context for Subsingleton.elim. Formalization guidance only; not a mathematical premise.				
EXT-REF-OPS-PECHUKAS-001	Pechukas1994ReducedDynamics	journal_article	Reduced Dynamics Need Not Be Completely Positive	Philip Pechukas	1994	Physical Review Letters	73	8	1060--1062	American Physical Society	10.1103/PhysRevLett.73.1060	ASSIGNED_VERIFIED	https://doi.org/10.1103/PhysRevLett.73.1060				https://doi.org/10.1103/PhysRevLett.73.1060		published article		2026-08-06	VERIFIED_PRIMARY_PUBLISHER	APS publisher record	true	true		Publisher record	Primary source for the initial-correlation and assignment-map qualification of reduced dynamics.				
EXT-REF-OPS-POLLOCK-001	Pollock2018NonMarkovianProcesses	journal_article	Non-Markovian quantum processes: Complete framework and efficient characterization	Felix A. Pollock; César Rodríguez-Rosario; Thomas Frauenheim; Mauro Paternostro; Kavan Modi	2018	Physical Review A	97	1	012127	American Physical Society	10.1103/PhysRevA.97.012127	ASSIGNED_VERIFIED	https://doi.org/10.1103/PhysRevA.97.012127				https://doi.org/10.1103/PhysRevA.97.012127		published article		2026-08-06	VERIFIED_PRIMARY_PUBLISHER	APS publisher record	true	true		Publisher record	Primary source for the operational process-tensor treatment of multi-time quantum memory.				
EXT-REF-OPS-DAVIESLEWIS-001	DaviesLewis1970OperationalQuantumProbability	journal_article	An operational approach to quantum probability	E. B. Davies; J. T. Lewis	1970	Communications in Mathematical Physics	17	3	239--260	Springer	10.1007/BF01647093	ASSIGNED_VERIFIED	https://doi.org/10.1007/BF01647093				https://doi.org/10.1007/BF01647093		published article		2026-08-06	VERIFIED_PRIMARY_PUBLISHER	Springer/CMP bibliographic record	true	true		Publisher record	Primary operational source for quantum instruments.				
EXT-REF-OPS-CHIRIBELLA-001	Chiribella2009QuantumNetworks	journal_article	Theoretical framework for quantum networks	Giulio Chiribella; Giacomo Mauro D’Ariano; Paolo Perinotti	2009	Physical Review A	80	2	022339	American Physical Society	10.1103/PhysRevA.80.022339	ASSIGNED_VERIFIED	https://doi.org/10.1103/PhysRevA.80.022339				https://doi.org/10.1103/PhysRevA.80.022339		published article		2026-08-06	VERIFIED_PRIMARY_PUBLISHER	APS publisher record	true	true		Publisher record	Primary source for compositional quantum networks and combs as a later specialization.				
EXT-REF-LEAN-007	LeanListLex431	software_source	Lean core module: Init.Data.List.Basic (List.Lex)	The Lean 4 Development Team	2026	Lean 4 source tree				Lean FRO, LLC		NOT_ASSIGNED_SOFTWARE_SOURCE					https://github.com/leanprover/lean4/blob/v4.31.0/src/Init/Data/List/Basic.lean	https://leanprover-community.github.io/mathlib4_docs/Init/Data/List/Basic.html	Lean 4.31.0	v4.31.0	2026-08-08	VERIFIED_OFFICIAL_SOURCE_TAG	Official leanprover/lean4 v4.31.0 source tag, lines defining List.Lex and decidableLex	false	true		Apache-2.0 source file	Primary implementation source for Lean Core List.Lex: nil, rel and cons constructors plus decidableLex. Formalization guidance only; P002 order closure is proved internally.				
