usage_id	reference_id	id	paper_section	scope	target_file	anchor_id	bibtex_key	citation_locator	claim_role	load_bearing	context_short	claim_paraphrase	hypothesis_mapping	formalization_status	placement_status
EXT-USE-C006-SCHUR-DIRECT	EXT-REF-SCHUR-001	C006	1.3.3	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	C006-SCHUR-CONTEXT	Zhang2005SchurComplement	Horn--Zhang, Basic Properties, pp.~17--46	ESTABLISHED_METHOD_CONTEXT	false	The block formula used by C006 is the standard Schur complement.	Eliminating the uniquely solvable interior block produces K_BB-K_BI K_II^{-1}K_IB.	C006 replaces explicit inversion by an exact unique-solve relation but computes the same value on its domain.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C006-KRON-DIRECT	EXT-REF-KRON-001	C006	1.3.3	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	C006-KRON-CONTEXT	DoerflerBullo2013KronReduction	Sec.~I, Eqs.~(1)--(2), pp.~150--151	ESTABLISHED_METHOD_CONTEXT	false	Network elimination by the same Schur formula is called Kron reduction and is identified with a DtN map.	Interior-voltage elimination yields an electrically equivalent boundary conductance matrix.	The cited paper is undirected; CNNA directed closure is handled separately by Sugiyama--Sato.	CONTEXT_ONLY_DIRECTIONAL_LIMIT_EXPLICIT	CURRENT_DIRECT_PLACEMENT
EXT-USE-C006-RESPONSE-DIRECT	EXT-REF-RESPONSE-001	C006	1.3.3	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	C006-RESPONSE-CONTEXT	CurtisIngermanMorrow1998Response	Abstract and Sec.~1, p.~115	ESTABLISHED_METHOD_CONTEXT	false	Electrical-network response is the linear map from boundary voltages to boundary currents.	The response matrix is a discrete Dirichlet-to-Neumann object.	C006 abstracts the block algebra and does not assume circular planarity or inverse recoverability.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-M002-PARTIAL-DIRECT	EXT-REF-SCHUR-001	M002	1.3.5	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem/SECTION.tex	M002-PARTIAL-SCHUR-CONTEXT	Zhang2005SchurComplement	Basic Properties, pp.~17--46	ESTABLISHED_METHOD_CONTEXT	false	A classical Schur complement requires an admissible/invertible eliminated block.	The notation is partial unless the interior solve is uniquely defined.	M002 deliberately does not replace this domain by a pseudoinverse or regularization.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C007-LAPLACIAN-DIRECT	EXT-REF-LAPLACIAN-001	C007	1.3.6	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s/SECTION.tex	C007-DIRECTED-LAPLACIAN-CONTEXT	AgaevChebotarev2005NonsymmetricLaplacian	Abstract and Sec.~1	ESTABLISHED_METHOD_CONTEXT	false	C007 uses the standard row-sum-zero nonsymmetric Laplacian convention.	Nonpositive off-diagonals and zero row sums encode a weighted directed graph.	CNNA fixes source/out-degree orientation explicitly and does not import spectral conclusions.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-M005-SCALING-DIRECT	EXT-REF-NETWORK-001	M005	1.2.6	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence/SECTION.tex	M005-SCALE-ORBIT-CONTEXT	DoyleSnell1984ElectricNetworks	Electrical network preliminaries	ESTABLISHED_METHOD_CONTEXT	false	Conductance-network equations are homogeneous under a common positive conductance rescaling.	Laplacian and response values scale linearly with the conductance unit.	M005 proves its rational normalized ratio internally; the source supplies context only.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C001-CATEGORY-INFOBOX	EXT-REF-CAT-001	C001	1.1.3	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier/SECTION.tex	C001-INITIAL-UNIT-INFOBOX	MacLane1998Categories	Chs.~I and III, categories and universal constructions	STRUCTURAL_COMPARISON_SOURCE	false	Empty and singleton objects have opposite universal roles in Set.	The empty set is initial and a singleton is terminal; each corresponding hom-set has exactly one map.	The comparison concerns representation and information content only.	DERIVED_CONTEXT_NOT_A_CNNA_PREMISE	CURRENT_DIRECT_PLACEMENT
EXT-USE-C018-WORDS-INFOBOX	EXT-REF-WORDS-001	C018	1.1.6	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/SECTION.tex	C018-SHORTLEX-BASEB-INFOBOX	Lothaire1997CombinatoricsWords	Ch.~1	STRUCTURAL_COMPARISON_SOURCE	false	Address words admit shortlex ordering and fixed-depth base-b ranking.	Finite words over an ordered alphabet support concatenation, prefix structure, and lexicographic order.	The closed birth-index formula is derived internally.	DERIVED_CONTEXT_NOT_A_CNNA_PREMISE	CURRENT_DIRECT_PLACEMENT
EXT-USE-M005-SCALE-INFOBOX	EXT-REF-KRON-001	M005	1.2.6	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence/SECTION.tex	M005-SCALE-ORBIT-INFOBOX	DoerflerBullo2013KronReduction	Sec.~I, current-balance and reduced conductance equations	STRUCTURAL_COMPARISON_SOURCE	false	Network Laplacians and their Kron-reduced responses are linear in conductances.	A common conductance rescaling multiplies both raw response and reference unit.	M005 proves only rational unit-equivalence, not a physical gauge theory.	DERIVED_CONTEXT	CURRENT_DIRECT_PLACEMENT
EXT-USE-C006-FOURNAMES-INFOBOX	EXT-REF-KRON-001	C006	1.3.3	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	C006-FOUR-NAMES-INFOBOX	DoerflerBullo2013KronReduction	Sec.~I, pp.~150--151	HISTORICAL_METHOD_CONTEXT	false	The same block elimination appears as Gaussian elimination, Schur complement, DtN map, and Kron reduction.	Different communities name the same core algebra according to the surrounding semantics.	CNNA does not identify the application domains; only the algebraic operation is shared.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C006-EXACT-INFOBOX	EXT-REF-EXACT-001	C006	1.3.3	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	C006-EXACT-ELIMINATION-INFOBOX	Bareiss1968ExactElimination	pp.~565--578	HISTORICAL_METHOD_CONTEXT	false	Exact elimination has a classical fraction-preserving/fraction-free lineage.	Bareiss constructs integer-preserving Gaussian elimination to control exact arithmetic growth.	CNNA does not implement the Bareiss algorithm; the comparison is methodological.	CONTEXT_ONLY_NOT_ALGORITHM_IDENTITY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C007-MARKOV-INFOBOX	EXT-REF-MARKOV-001	C007	1.3.6	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s/SECTION.tex	C007-MARKOV-GENERATOR-INFOBOX	Norris1997MarkovChains	Ch.~2, continuous-time Markov chains	STRUCTURAL_COMPARISON_SOURCE	false	The negative C007 Laplacian has the sign pattern of a continuous-time Markov generator.	Q=-K has nonnegative off-diagonal entries and zero row sums.	No stochastic law, clock, or probability interpretation is introduced into CNNA.	STRUCTURAL_DUALITY_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-O001-NOVELTY-GRAPH-INFOBOX	EXT-REF-GRAPH-001	O001	1.3.7	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/SECTION.tex	O001-NOVELTY-GRAPH	Diestel2025GraphTheory	Ch.~1	LITERATURE_POSITIONING	false	Rooted finite graph structure is standard.	CNNA does not claim invention of rooted trees.	Novelty is assigned to the derived composition and ownership chain.	POSITIONING_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-O001-NOVELTY-WORDS-INFOBOX	EXT-REF-WORDS-001	O001	1.3.7	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/SECTION.tex	O001-NOVELTY-WORDS	Lothaire1997CombinatoricsWords	Ch.~1	LITERATURE_POSITIONING	false	Finite word grammars and lexicographic orders are standard.	CNNA does not claim invention of free words or shortlex order.	Novelty is assigned to provenance ownership and downstream coupling.	POSITIONING_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-O001-NOVELTY-SCHUR-INFOBOX	EXT-REF-SCHUR-001	O001	1.3.7	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/SECTION.tex	O001-NOVELTY-SCHUR	Zhang2005SchurComplement	Basic Properties, pp.~17--46	LITERATURE_POSITIONING	false	Schur elimination is standard linear algebra.	CNNA does not claim invention of the Schur complement.	Novelty is assigned to the birth-local cut and response-to-growth handoff.	POSITIONING_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-O001-NOVELTY-DIRECTED-INFOBOX	EXT-REF-DKP-001	O001	1.3.7	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/SECTION.tex	O001-NOVELTY-DIRECTED	SugiyamaSato2023DirectedKron	Definition~3.2; Lemmas~3.3--3.4; Theorem~3.9	LITERATURE_POSITIONING	false	Directed Kron reduction is established recent work.	CNNA uses established directed reduction results for analytic closure.	The CNNA-specific claim is the exact provenance-ordered derivation chain, not the reduction theorem.	POSITIONING_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FD-MAIN	EXT-REF-MATHLIB-002	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-FINITE-DIMENSIONAL-API	MathlibFiniteDimensionalFabf563a	finite-dimensional injectivity--surjectivity equivalence	API_REUSE	false	Finite-dimensional bridge used to turn the internally proved injectivity of the exact interior operator into kernel-verified surjectivity.	At equal finite dimension, injectivity implies surjectivity.	P001 must first prove injectivity of the exact interior operator by its directed maximum principle.	PROOF_API_USED_FINITE_LINEAR_WELL_POSEDNESS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FD-SUPP	EXT-REF-MATHLIB-002	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-FINITE-DIMENSIONAL-API-SUPP	MathlibFiniteDimensionalFabf563a	`LinearMap.surjective_of_injective`; `LinearMap.injective_iff_surjective`; pinned source commit `fabf563a7c95a166b8d7b6efca11c8b4dc9d911f`	API_REUSE	false	Documents the finite-dimensional injectivity-to-surjectivity bridge used by the kernel-verified P001 finite-linear proof.	The API turns internally established injectivity into surjectivity for equal finite dimensions.	Does not supply the CNNA maximum-principle or kernel proof.	PROOF_API_USED_FINITE_LINEAR_WELL_POSEDNESS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-POSDEF-MAIN	EXT-REF-MATHLIB-003	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-POSDEF-API-SCOPE	MathlibMatrixPosDefFabf563a	module header; Matrix.PosSemidef and Matrix.PosDef definitions	API_SCOPE	false	Explains why Hermitian positive definiteness is not the directed P001 target.	Mathlib matrix positive-definiteness predicates include Hermitian symmetry.	The CNNA response is directed and generally nonsymmetric; P001 keeps sign and conservation claims separate.	API_CONTEXT_ONLY_NO_IMPORTED_HYPOTHESIS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-POSDEF-SUPP	EXT-REF-MATHLIB-003	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-POSDEF-API-SCOPE-SUPP	MathlibMatrixPosDefFabf563a	module header; Matrix.PosSemidef and Matrix.PosDef definitions; pinned source commit `fabf563a7c95a166b8d7b6efca11c8b4dc9d911f`	API_SCOPE	false	Documents the deliberate exclusion of Hermitian positive definiteness from the directed P001 contract.	The relevant mathlib predicates require Hermitian symmetry, which is not assumed for the CNNA directed response.	P001 instead declares off-diagonal sign, row conservation, diagonal nonnegativity, and strict distinguished-port positivity.	API_CONTEXT_ONLY_NO_IMPORTED_HYPOTHESIS	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-MATRIX-MUL-MAIN	EXT-REF-MATHLIB-004	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-EXPLICIT-MATRIX-MUL-API	MathlibMatrixMulFabf563a	rectangular row-by-column multiplication definition	API_REUSE	false	Documents the exact rectangular product mirrored by P001.	Mathlib rectangular multiplication is the row-by-column finite sum; P001 states that sum transparently instead of invoking overloaded HMul at the reducible carrier boundary.	Core RatMatrix and mathlib Matrix are reducible two-argument function carriers; the boundary uses Matrix.of for construction and rationalMatrixMul for multiplication.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-MATRIX-MUL-SUPP	EXT-REF-MATHLIB-004	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-EXPLICIT-MATRIX-MUL-API-SUPP	MathlibMatrixMulFabf563a	implementation notes and rectangular multiplication definition; pinned source commit fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	API_REUSE	false	Documents the transparent rectangular product at the Core-to-proof boundary.	P001 mirrors the official row-by-column product explicitly and therefore avoids ambiguous HMul instance resolution.	The Core remains mathlib-free; the proof package introduces neither a project-local HMul instance nor an alternative algebra.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-RAT-MAIN	EXT-REF-LEAN-004	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-EXACT-RAT-SEMANTICS	LeanRatLemmas431	rational constructor and arithmetic lemmas	API_REUSE	false	Exact constructor lemmas used by the proved C006 fraction-value bridge.	Positive-denominator C006 representatives have exactly the corresponding rational value and their arithmetic agrees with ℚ.	C006 denPos supplies all nonzero-denominator premises.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-RAT-SUPP	EXT-REF-LEAN-004	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-EXACT-RAT-SEMANTICS-SUPP	LeanRatLemmas431	Rat.mkRat_self; Rat.mkRat_eq_iff; Rat.mkRat_add_mkRat; Rat.mkRat_mul_mkRat; Rat.neg_mkRat; Lean toolchain v4.31.0	API_REUSE	false	Supplies the exact constructor lemmas used to identify C006 fraction arithmetic with ℚ.	The mkRat API proves value preservation without introducing normalized representatives.	ExactFraction.denPos discharges nonzero denominator assumptions.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FINFOLD-MAIN	EXT-REF-LEAN-005	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-FINFOLD-SEMANTICS	LeanFinFold431	finite-fold recursion equations	API_REUSE	false	Recursion equations for the explicit native fold-to-sum proof.	C006 Fin.foldl is unfolded by structural induction, not by native decision procedures.	The C006 matrix inner dimension is the fold length.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FINFOLD-SUPP	EXT-REF-LEAN-005	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-FINFOLD-SEMANTICS-SUPP	LeanFinFold431	Fin.foldl_zero; Fin.foldl_succ; Lean toolchain v4.31.0	API_REUSE	false	Supplies the recursion equations used by the fold-to-sum induction.	The native C006 accumulator is exposed recursively and compared to a finite sum.	No extra hypothesis; induction is over the finite inner dimension.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-FINSUM-MAIN	EXT-REF-MATHLIB-005	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-FINSUM-SEMANTICS	MathlibBigOperatorsFinFabf563a	finite-sum recursion equations	API_REUSE	false	Finite-sum induction formulas paired with the native fold equations.	The Fintype sum obeys the same zero/successor recursion as the C006 fold.	The summation index is Fin inner.	PROOF_API_USED_EXACT_SEMANTIC_BRIDGE	CURRENT_DIRECT_PLACEMENT
