Object ID	Object	Phase	Object status	Proof documentation status	Proof dossier	Consumption class	Classification evidence	Public promotion gate
H14	A->E handoff	11.5	K	no	proof:H14	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON0	j coefficient stream	12.1	K	no	proof:MOON0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON1	Monster dimension comparison profile	12.2	K	no	proof:MOON1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON2	McKay-Thompson comparison profile	12.3	K	no	proof:MOON2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B00	Pillar B input contract from A	13.1	K	no	proof:B00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B01	Boundary star-algebra / observable algebra	13.2	K	no	proof:B01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B02	Local net / QFT algebraic profile	13.3	K	no	proof:B02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B03	B state/GNS/KMS profile	13.4	K	no	proof:B03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B04	Tomita-Takesaki modular data	13.5	K	no	proof:B04	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B05	CPT/BW/spin-statistics/split gates	13.6	K	no	proof:B05	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
B06	B->A allowed output profile	13.7	K	no	proof:B06	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C00	Pillar C OQS input contract from A	14.1	K	no	proof:C00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C01	Finite CP/channel profile	14.2	K	no	proof:C01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C02	Effective OQS generator / Lindblad gate	14.3	K	no	proof:C02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C03	Decoherence/noise profile	14.4	K	no	proof:C03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
C04	C->A allowed output profile	14.5	K	no	proof:C04	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D00	Pillar D spacetime input contract	15.1	K	no	proof:D00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D01	Region/localization/causal-order candidate	15.2	K	no	proof:D01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D02	Metric/coarse-geometry/covariance gate	15.3	K	no	proof:D02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
D03	D->A allowed output profile	15.4	K	no	proof:D03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E00	Pillar E matter input contract	16.1	K	no	proof:E00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E01	Matter sector and internal symmetry candidate	16.2	K	no	proof:E01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E02	Observable coupling and phenomenology comparison	16.3	K	no	proof:E02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
E03	E->A allowed output profile	16.4	K	no	proof:E03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR00	Backreaction input DAG	17	K	no	proof:BR00	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR01	B->A backreaction input gate	17.1	K	no	proof:BR01	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR02	C->A OQS backreaction input gate	17.2	K	no	proof:BR02	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR03	D->A spacetime backreaction input gate	17.3	K	no	proof:BR03	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR04	E->A matter backreaction input gate	17.4	K	no	proof:BR04	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
BR05	Pre/post-emergence switch for A statements	17.5	K	no	proof:BR05	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE0	Full ToE comparison profile	18.1	K	no	proof:SIDE0	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE1	String-theory comparison profile	18.2	K	no	proof:SIDE1	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE2	Loop quantum gravity comparison profile	18.3	K	no	proof:SIDE2	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
SIDE3	Noncommutative geometry comparison profile	18.4	K	no	proof:SIDE3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON3	Finite simple group comparison profile	12.4	K	no	proof:MOON3	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON4	Sporadic/Monster comparison boundary	12.4	K	no	proof:MOON4	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON5	Leech lattice comparison profile	12.5	K	no	proof:MOON5	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON6	Leech theta/shell coefficient comparison	12.6	K	no	proof:MOON6	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON7	VOA/moonshine-module comparison profile	12.7	K	no	proof:MOON7	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
MOON8	Common-indicator / Hauptmodul bridge-test profile	12.8	K	no	proof:MOON8	dead-candidate	object register status K; blocked/quarantined until a later ledger changes it	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG0	Consumption and split inventory umbrella	1.1.1	Y	no	proof:LEG0	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG1	Legacy single-constructor status gates	1.1.2	Y	no	proof:LEG1	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG2	CoreSymbols true notation surface	1.1.3	Y	no	proof:LEG2	core-computational	registered object is not green-final and not blue/quarantined; keep internal until its own phase closes	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG3	Legacy phase aliases compatibility surface	1.1.4	Y	no	proof:LEG3	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG4	Neutral import firewall for post-notation phases	1.1.5	Y	no	proof:LEG4	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG5	Declaration consumption classification map	1.1.1.1.4	G	documented-in-v43	proof:LEG5	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG7	Blue-object semantic correction ledger	1.1.1.2	Y	no	proof:LEG7	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG6	Public API contract and consumer whitelist	1.1.1.3	Y	no	proof:LEG6	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG8	Pruning and dead-candidate ledger	1.1.1.4	Y	no	proof:LEG8	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
LEG9	Generated-view authority and implementation-lock contract	1.1.1.5	Y	no	proof:LEG9	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract
