ID	Topic	Thread evidence	External check	Plan disposition	CNNA action	Phase/Object	Risk / uncertainty
ROADMAP-10	Meta-audit markers, context sheet and multi-level truth protocol	Original roadmap protocol and meta-audit markers distinguish archive-bound roadmap evidence, formal verification, semantic/prose review, physical interpretation, AI as heuristic/translation layer, and special windows as windows.	This aligns with current no-infallibility/expert-review and Lean/YAML/tool separation. It still needs explicit ledger/checklist integration.	Add Phase 22.7; link RDV0-RDV6 to context-class taxonomy, object significance, total declaration classification and external-source cross-check.	Use meta-markers and context sheets as audit tags, not as mathematical data. Ensure AI/prose/physics claims are reviewable and do not override kernel-checked code.	22.7 / RDV0-RDV6, CEX11	Risk: a polished generated PDF/Explorer could make roadmap prose appear more certain than checked code or expert-reviewed semantics.
REALOQS-01	REALOQS source inventory	Uploaded REALOQS v0.0605 source zip.	Static scan: 270 Lean files, 1727 declarations, 88 PillarB files, 62 PillarB/AQFT files, 596 AQFT declarations; no sorry/admit/axiom hits by text scan.	Accept as legacy code-evidence source only.	Add RLC0 and phase 23.0; archive source and scan reports.	23.0 / RLC0	No Lean build was run here; text scan does not prove semantic compatibility or current mathlib compatibility.
REALOQS-02	AQFT foundation layer	REALOQS PillarB/AQFT foundation modules.	StarAlgebra, StateOn, CStar bundles, LocalStarAlgebraNet, StateNet and basic hom/restriction lemmas are present.	Useful as target/profile map; direct import blocked.	Add 23.1 / RLC1 migration-disposition ledger.	23.1 / RLC1	Some structures may be superseded by mathlib/native CNNA abstractions; trivial wrappers and semantic load must be classified.
REALOQS-03	A->B dependency inversion	TreeOfCliquesFromPillarA, extended FromA and Meta/PillarB files.	Legacy B code often sees old A-side interfaces/config/harness objects directly.	Treat as incompatibility risk with current CNNA A->B handoff discipline.	Add 23.2 / RLC2; require explicit handoff replacement map.	23.2 / RLC2	Some concepts may still be recoverable, but only after CNNA-derived A->B source data exists.
REALOQS-04	BoundaryMatrix AQFT derived layer	REALOQS PillarB/AQFT/Derived/BoundaryMatrix*.lean.	28 BoundaryMatrix derived modules, 378 declarations, all 28 files marked noncomputable in the scan; many use @[simp].	Advanced target route; not operational-path compatible as-is.	Add 23.3 / RLC3 rewrite and noncomputable-isolation plan.	23.3 / RLC3	Text scan cannot distinguish harmless noncomputable reference code from semantically essential noncomputability; future module-level review required.
REALOQS-05	Haag-Kastler gates	REALOQS PillarB/Gates/HaagKastler and AQFT/HaagKastler modules.	Isotony, locality, additivity, covariance, spectrum, vacuum, time-slice, strong additivity and split-property gate vocabulary exists.	Use as gate checklist and ordering prompt.	Add 23.4 / RLC4; route locality/spacetime-dependent gates behind C/D prerequisites where needed.	23.4 / RLC4	Legacy predicates may encode assumptions that CNNA must derive later; no closure claim.
REALOQS-06	State/GNS/KMS/modular route	REALOQS AQFT State, StateNet, GlobalCone, GNS, KMS, TimeOrientation, TimeReversal and derived KMS/GNS/Modular modules.	A plausible route state -> state net -> GNS -> dynamics/KMS -> modular data is already sketched in code.	Use as sequence target, not imported source.	Add 23.5 / RLC5 route comparison.	23.5 / RLC5	Regime split noOuterEnvironment vs HasOuterEnvironment must be enforced; time reversal alone must not become matter semantics.
REALOQS-07	Quasi-local/split/nuclearity horizon	REALOQS AQFT/QuasiLocal and split-property modules plus roadmap B08.	Quasi-local carrier/completion/star/state-lift and split-property themes exist.	Align with later modular B, nuclearity and DHR/DR horizon.	Add 23.6 / RLC6.	23.6 / RLC6	May require established AQFT comparison layers; must not be treated as CNNA-generated until B core and source gates exist.
REALOQS-08	Examples/meta files	REALOQS Examples/TreeOfCliques_AQFT_* and Meta/PillarB_* files.	Examples and meta closure/active-path files are numerous and partly noncomputable.	Quarantine from critical path; mine as regression expectations only.	Add 23.7 / RLC7.	23.7 / RLC7	Examples can overfit old scaffold; regression harnesses need new CNNA source objects before execution.
ASTRO-27	Derived-only closure requires generated operational smoke path	Astronews CNNA thread page 2, post #27. Key content: algebraic idle-run success is insufficient; skeleton, component proof logic and genuine data must all pass through the machine. Lines 237-243 in the 2026-05-12 readout state that only then can one really speak of derived-only.	This is not external theory input; it is a public project self-audit statement by antaris.	Promote to global derived-only closure rule and workflow.	Added POST3, GNG55 and Generated-data derived-only closure workflow.	Global; SM/AR/AQFT/Explorer status logic; CEX0/CEX11.	Forum text is interpretive project governance, not Lean evidence. It constrains status semantics but does not prove any object.
ASTRO-27B	Missing structures must be generated at their natural source layer	Astronews CNNA thread page 2, post #27 lines 240-243: repeated downstream failures require jumping back through earlier phases until the natural emergence site is found; forcing the missing structure at the failure site created chaos in the first attempt.	Consistent with existing CNNA provenance rule but stronger: the origin-selection decision itself must be documented.	Promote to red-blocker/natural-origin workflow and no-go rule.	Added GNG56 and Natural-origin missing-structure workflow; links to pre-implementation red status and addressing-phase generation.	All implementation phases; pre-implementation phase-check policy; lifecycle/provenance ledgers.	The natural origin may require expert review and may not be decidable from a text scan alone.
ASTRO-28	YAML/Explorer as epistemic control layer beyond linear PDF/TeX manageability	Astronews CNNA thread page 2, post #28 lines 288-307: generalized reusable smoke-test/generator, implementation thought-experiment checks, PDF/TeX insufficiency, YAML as machine-readable living object, SQL/MySQL website and Mindmap/Universe-Explorer vision.	This is a project-tooling self-audit and UI/knowledge-management requirement.	Promote to Explorer motivation, thought-experiment readiness workflow and generated-secondary documentation rule.	Added GNG57, GNG58, Implementation-thought-experiment phase-readiness workflow and Explorer/YAML epistemic-control workflow.	21.0-21.9; CEX0-CEX11; PIPC policy; SQL/Explorer future mirror.	The UI/database realization is future infrastructure; YAML remains planning source and Lean remains truth source.
ASTRO-29	Foundation no-free-parameter axiomatics and regime split	Astronews CNNA thread page 2, post #29 lines 330-341: Foundation has only incoming dependency arrows, exposes the no-free-parameter foundation; axioms are root/empty-set infinite partial order, finite subsystems, root approximation closed/unitary/no dark-interface, non-root approximation complement-bearing/open bright/interface/dark split; L_max/horizon and branching require derivation/backreaction.	This sharpens the global foundation/regime semantics already used in Pillar A/B planning.	Promote to global postulate and parameter provenance guardrails.	Added POST2, GNG59, GNG60 and Pillar co-development/acyclic handoff workflow.	Foundation; ParameterClosure; A->B/A->C/A->D/A->E handoffs; Pillar B-E planning.	Forum statement is governance/interpretation; Lean modules still need to prove each formal claim at the appropriate layer.
ASTRO-29B	Pillar B-E co-development without provenance cycles	Astronews CNNA thread page 2, post #29 lines 338-341: L_max likely needs Pillar D spacetime reconstruction; D may need A, B, C and parts of E; B-E may need deep simultaneous derivation from A; no current need for stochastic quantities.	This challenges a naive linear A->B->C->D->E order but does not authorize cyclic proof dependencies.	Represent co-development with explicit acyclic handoff/backreaction windows and edge semantics.	Added GNG61 and Pillar co-development and acyclic handoff workflow.	B-E sidechains; CNNA Explorer graph edge semantics; handoff ledgers.	Exact handoff topology remains open until future phases derive the relevant objects.
