ID	Object	Phase	Documented	Source objects	Definitions	Proof target	Proof sketch	Verification / audit	Next documentation action	Significance tier	Documentation depth requirement	Lifecycle note	Change version	Change timestamp	Change class	Change note
G05	Boundary / interface / interior partition	1.3.1	no	Carrier + cut/BoundarySpec.	PartitionProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G06	Regime: noOuterEnvironment	1.3.2	no	Partition + complement/environment proof.	RegimeProfile.noOuter.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G07	Regime: hasOuterEnvironment	1.3.2	no	Approximant + complement proof.	RegimeProfile.hasOuter.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G08	Complement families: UV tail	1.3.3	no	Approximant + infinite carrier.	UVComplementProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G09	Complement families: IR/parent-path tail	1.3.3	no	Approximant + parent/level structure.	IRComplementProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G10	Complement families: sideways environment	1.3.3	no	Branching + nonselected sectors.	SideEnvironmentProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD0	Cayley-Dickson source	1.4.1	no	carrier/regularization/schur from closed A data.	CayleyDicksonSourceProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD1	Scalar part	1.4.2	no	CD algebra data.	CDScalarPartProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD2	Cayley-Dickson star/conjugation	1.4.3	no	CD algebra data.	CDStarProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD3	CD normSq	1.4.4	no	CD algebra.	CDNormSqProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD4	CD multiplication/product	1.4.5	no	CD coordinates.	CDProductProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD5	Alternative law	1.4.6	no	Product associator.	CDAlternativeLawCertificate.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD6	Norm multiplicativity	1.4.7	no	normSq, product.	CDNormMultiplicativityCertificate.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD7	Hurwitz stop / R,C,H,O classification	1.4.8	no	alternative + norm + division.	HurwitzStopProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S00	Dirichlet-Laplacian	3.1	no	Partition + weights + adjacency.	DirichletLaplacianProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S01	Interior block	3.2	no	Interior indices + matrix.	InteriorBlockProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S02	Interior inverse candidate	3.3	no	Trace + accumulated entry fold.	InteriorInverseCandidateProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S03	Two-sided inverse certificate	3.4	no	Interior block + candidate.	Two-sided inverse certificate.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S04	InteriorEliminationData	3.5	no	Interior block, inverse, couplings.	InteriorEliminationProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S05	DtN boundary operator	3.6	no	Laplacian blocks + inverse certificate.	BoundaryOperatorProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
S06	GeneralizedDtN / MultiSchur	3.7	no	Boundary operator + additional ports.	GeneralizedBoundaryOperatorProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O01	Boundary matrix over ExecComplex	4.1	no	Boundary operator + Exec bridge.	ExecMatrixProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O02	Determinant coefficient recurrence	4.2	no	Exec matrix + recurrence.	CoefficientRecurrenceProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O03	Operational polynomial profile	4.3	no	Coefficient recurrence.	OperationalPolynomialProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O04	Quadratic coefficient window	4.4	no	CoefficientAt source.	QuadraticWindowCertificate.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O05	Operational discriminant D_op	4.5	no	QuadraticWindow.	OperationalDiscriminantCertificate.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O06	Comparison target policy	4.6	no	D_op + target definition.	ComparisonTargetPolicy.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists. EXEC-2 audit pending/applied: object must not leak algebraic irrational data into the operational Q x Q path.	Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O07	General finite computation test matrix profile	4.0.1	no - planned proof/test dossier	LEG29, canonical generator, finite branch/L_max inputs, BR07 arithmetic-shadow audit, Phase-3 boundary profiles where consumed.	A row consists of input provenance, generated finite instance, branch-mode tag, L_max, operational output witness, verification status, and optional mirror/sentinel comparison columns.	Construct a reusable finite test matrix showing that the operational computation path is traversed by generic code-defined instances before special sentinel interpretation.	Use existing generator outputs to populate finite rows; prove or record executable witness fields directly; add Eisenstein/Gauss as sentinel rows only after generic rows exist.	Lean build and row outputs must be checked during implementation; no Matrix.inv/noncomputable operational field; no duplicate generator.	Before implementing Phase 4.0.1, fill module manifest, exact row schema, generic coverage set, and mathlib complication log.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
N00	Fundamental discriminant D_fund	5.1	no	D_op, square factor/congreence proof.	FundamentalDiscriminantProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
