ID	Rule	Scope	Enforcement	Change version	Change timestamp	Change class	Change note
GNG14	no horizontal/vertical Schur-duality or string/subsystem analogy as input to earlier generators, Schur, arithmetic, or CD definitions	all Pillar-A bridge, Schur, arithmetic, CD, and generator phases	the duality may only be a later theorem/diagnostic target after S05/O05/TM0/CD7/BR06/BR07 are closed; earlier phases may export data to it but never consume its conclusion				
GNG15	no heuristic angle/lattice construction as generator or branching definition	Global generator, substrate, lattice-test, and arithmetic comparison workflows	Any Eisenstein/Gauss spiral or angle profile must be a consumer-only test/comparison target. The code-defined branching API is authoritative; angle drawings, CM targets, and j values may not define b, carriers, parents, or generator semantics.				
GNG16	no special-case-only test matrix as evidence for a general computable path	All computation, arithmetic, lattice, generator, smoke-test, and refactor-regression workflows	Eisenstein/Gauss or other sentinel rows may be included only as special comparison rows. Generic finite rows over the code-defined API must exist, or the phase remains unclosed/blocked.				
GNG17	no Heegner/class-number-one membership as closed noOuter evidence	All number-theory, CM, lattice, regime, test-matrix, AQFT/unitarity, and comparison workflows	A row with h(D)=1, a Heegner label, or an integer j target remains number-theoretic/comparison data until its noOuter/HasOuter regime is derived from Pillar-A source objects. Eisenstein/Gauss may be tested as noOuter-root sentinels; other Heegner targets default to HasOuter/complement-projection or comparison rows unless proven otherwise.				
GNG18	no replacement of ExecComplex by analytic Complex, Cayley-Dickson C-surface, or unproven exact quadratic scalar layer	global operational scalar path, arithmetic, lattice/CM, Cayley-Dickson bridge, and test-matrix phases	ExecComplex remains QxQ operational floor. O09 is required for later quadratic coordinates but only as a schema; concrete instances require GNG19/O10/BR14. CD-derived C may only be consumed after CD9/10.4.3 proves noncircular provenance. General Complex/Real stays mirror-only.				
GNG19	no free sqrt(D), no exact quadratic instance without proof-carrying D-source	all scalar, arithmetic, CM/lattice, number-theory, test-matrix, and Cayley-Dickson bridge phases	O09 may define only a parameterized schema. Any concrete exact quadratic row must consume O10/BR14 with a D sourced from O05/O06 or an equivalent operational discriminant ledger. Analytic Complex/Real, AdjoinRoot field structures, or CD C-surfaces may not supply the early D or theta.				
GNG20	no artificial phase bottleneck or phase-title/object mismatch	global phase DAG, object register, module manifest, and implementation scratchpads	Each object must be placed behind only the prerequisites used by its proof target. In particular, SP0/SP1/P00-P06/TM0-TM2 may not wait on modular forms, j, q-expansions, Hilbert class polynomials, theta or L-functions unless a specific bridge theorem explicitly requires that dependency.				
GNG21	no unexplained empty Linked-objects cell and no umbrella aggregation as direct object ownership	global phase table, object register, scratchpads, module manifest, generated views	Every phase must declare direct, scope_only, no_direct_object, or moved. Empty direct object sets require an explicit non-direct policy. Child object scope may be shown for readability but cannot change object Phase ownership.				
GNG22	no dynamics, physics, stochasticity, geometry, arithmetic, operator algebra, environment, or unitarity as ontic primitive beyond subsystem-being	global CNNA ontology, object register, phase DAG, scratchpads, proof dossiers, consumer bridges, external-comparison sections	Every such structure must cite a derived cut/regime/complement/Schur-DtN/source-object chain. If a phase needs one of these before the chain exists, it must backjump to the natural generating layer rather than postulate or patch the consumer.				
GNG23	no 100-percent truth declaration and no bypass of discipline-specific expert review	All CNNA documentation, generated tables/PDFs/graphs/exports, phase status claims, Lean-code interpretation, object proof dossiers, and established-theory/reference markings	The checked Lean code is the primary truth system, but even a green build only checks formal consistency of chosen declarations. Semantic correctness, modeling adequacy, theory attachments, and generated interpretations remain reviewable. Every relevant claim must remain open to specialized expert review; generated artifacts are secondary.				
GNG24	no ignored missing blue/reference-theory marking	All references to established mathematics/physics/computer-science background, local mathlib/formalization context, and large end-theory comparison horizons	If a claim, object, phase, module, or documentation passage touches established theory, the tool must decide whether it needs blue/reference marking. Missing markings are audit debt. Blue marks comparison/reference/review context only and never promotes established theory to a CNNA generator.				
GNG25	no tool-interface metaphor as formal CNNA theorem or ontic input	Documentation, database views, context slices, phase closeouts, and reflective tool architecture notes.	The bright/dark/interface analogy may guide review and visibility obligations only. It must not be cited as a proved CNNA statement, a mathematical generator, or a reason to bypass Lean-primary proof and discipline-specific expert review.				
GNG26	no semantic module consolidation without compatibility facade, natural-layer placement, and regression evidence	All Lean refactor/merge phases, module manifest, reuse ledger, import graph, declaration consumption map, object proof dossiers, and public API/firewall phases	A merge/refactor may proceed only after LEG36 classifies the candidate, preserves old import paths or supplies an explicit migration facade, records import/declaration/consumer deltas, and obtains local full-build evidence. Proof-stage chains must not be merged by naming similarity or line-count pressure.				
GNG27	no generated PDF/TeX/LaTeX build products or historical reports as active root sources	Repository root, generated full-document outputs, context-documentation outputs, release packaging, README/toolchain commands, and archive/report policy	The project root must remain source-oriented: README.md may stay in root; historical Markdown reports belong in archive/reports/; generated PDF, TeX, aux, log, out, toc, fls and fdb_latexmk files are disposable and must not be treated as authoritative or retained as active root files. Regenerate them from YAML/tables/scripts when needed.				
GNG28	do not remove package-root Lean/Lake project-control files during cleanup or packaging	Package root, release packaging, root cleanup workflow, local build workflow, README/manual commands, future CI/database packaging	Cleanup may remove disposable generated documentation artifacts and archive historical reports, but packaging must preserve package-root CNNA.lean, lakefile.lean, lake-manifest.json, and lean-toolchain unless an explicit future build-entry phase replaces them with a proven alternative.				
GNG29	no duplicate active README and no hidden license/credit surface	Package root, Repository root, generated full/context PDFs, release packaging, README/manual commands, license notice table, and future CI/database packaging	The maintained README.md and LICENSE must live in the package root. Subdirectories must not carry additional active README.md files unless a future phase classifies them as generated/raw-export artifacts with explicit non-authoritative status. Generated PDFs must expose the Editor and Assistant credits from metadata.				
GNG30	generated PDF section-pagebreak invariant	Full documentation generator, context documentation generator, review PDFs, future documentation layout profiles, and generated-secondary review packets	Top-level sections in generated PDFs must start on new pages automatically. The invariant is implemented in the generators, not by manually editing disposable TeX/PDF outputs. Layout changes must not change Lean code, Master-YAML truth semantics, or context-matching logic.				
GNG31	no white direct-Lean derivation phases and no release without derived-only object evidence	Phase table, implementation scratchpad, pre-implementation checks, object register, proof dossiers, active cursor selection, generated PDFs/TSVs, future database/status dashboards	If a phase_type is derivation and the phase is not green, yellow, or orange, it must be red. A red derivation phase may become yellow or orange only after a pre-implementation release check references the required already-derived Lean objects/proof dossiers. White is reserved for refactor/tool/infrastructure/documentation/comparison work that does not itself require direct Lean-code derivation release.				
GNG32	main phase table is the release surface; module-change manifest is appendix-only	Full documentation, context documentation, phase status release workflow, module-change/refactor audits, implementation scratchpads, README/manual use	Do not read the module-change manifest as a second phase table. It may only record concrete module/API/import-surface change contracts. Phase release status, dependencies and derived-only evidence belong to the main phase table, object register and proof dossiers. Static explanatory prose must stay generator-owned; table rows remain dynamic.				
GNG33	no new substantive Lean code before full IST intake, neutral naming/refactor, post-scan and release proof	All future Lean implementation prompts, 1.1.1.2 blue-object correction, Phase 1.x neutralization, public API/firewall phases, and later red locked derivation phases	Before any new substantive Lean content phase becomes yellow, the plan must reference closed LEG37-LEG41 or spawn a red blocker at the natural source layer. Refactoring/tooling may proceed only inside the pre-code readiness chain and must preserve old imports through facades until build-proven.				
GNG34	no database mirror row is a CNNA truth source; public access remains read-only	database/publication mirror, future web frontend, generated-secondary exports, review tooling and online visualization	No database mirror row may release a phase or replace Lean/YAML provenance. Public/public read-only access is SELECT-only on api.* views. No public writes. No browser admin write credential key. No DB update without snapshot_id, source hashes and import report. Every public row must be traceable to a Lean/YAML snapshot.				
GNG35	generated PDF typography changes must be generator-level and semantic-neutral	Full documentation generator, context documentation generator, table generator, graph-label generation, generated PDF review packets and future documentation layout profiles	Font-size changes must be applied in generators/source tables, not by manual PDF edits. They must not alter Lean code, YAML row semantics, context filtering, phase status logic, proof status, or public database/export semantics.				
GNG37	Quaternion/geometric-algebra references are target gates only	Horn 0709.2238v1, Hamilton quaternion relations, Pauli matrices, Clifford/geometric algebra, biquaternions, spacetime algebra, conformal GA, mathlib Quaternion/CliffordAlgebra APIs and future GA comparison modules.	These references may define comparison profiles, sign audits, scratchpad notes and expert-review targets only. They cannot generate CNNA objects, set scalar layers, choose orientations/dimensions, release phases, create handoff data or shortcut derived-only proofs.				
GNG38	Status/context orthogonality and Lean-facing subclass separation. Phase status and Object status encode release/proof-state only; Context class encodes type/class membership. No ToolInfrastructureObject, DatabaseMirrorObject, GeneratedArtifactObject, DocumentationObject, GovernancePolicyObject or ReferenceGateObject may be consumed as a LeanSourceObject/LeanTargetObject or as derived mathematical data because it is green, linked or documented. LeanRefactorObject, LeanHandoffContractObject and LeanGovernanceObject are Lean-facing control classes, not automatically mathematical CNNA data.	All phase, object, proof-dossier, scratchpad, generated export, DB mirror and implementation-prompt surfaces.	All new phase/object rows must declare Context class from the taxonomy. Generated tables render Context class beside status. Future DB schema must mirror the field. Any phase release must cite LeanSourceObject/LeanTargetObject evidence, not merely a green tool/reference/governance object.				
GNG39	no version-axis conflation	all metadata, release artifacts, generated exports, YAML2SQL snapshots, README/PDF titles, and Explorer provenance rows	lean_data_version records the Lean toolchain/API level and changes only on Lean/toolchain-version upgrade; lean_data_timestamp advances only with Lean source/data changes. planning-data version/timestamp advances with YAML phase/object/scratchpad/dossier/policy state changes; tool-infrastructure version/timestamp advances only with generator/importer/frontend/tool-code changes. Compatibility aliases may mirror the axes but may not collapse them.				
GNG40	no timestampless semantic version records	metadata, latest-change overview, generated exports, db_snapshots/YAML2SQL imports, Explorer nodes/edges/history, release filenames/reports and future public API provenance rows	Every persisted or exported semantic version reference must include the corresponding timestamp. Required pairs are lean_data_version+lean_data_timestamp, planning_data_version+planning_data_timestamp and tool_infrastructure_version+tool_infrastructure_timestamp. For the Lean axis, lean_data_version is the Lean toolchain/API level and lean_data_timestamp is the Lean source/data snapshot time. Any DB snapshot, generated report or Explorer history row that stores a version without its timestamp is invalid and must be rejected or marked incomplete before publication.				
GNG41	No destructive object overwrite after patch, rename, deletion or retirement.	All object registers, proof dossiers, scratchpads, generated exports, SQL mirrors and Explorer views.	A changed object must retain its old row/dossier as historical provenance, carry an explicit lifecycle state and point to successor/current object or terminal retirement. Phases are never marked outdated; corrections are represented by successor/patch phase links.				
GNG42	No cyclic current-successor lifecycle chains.	Object lifecycle pointers, Explorer graph edges, SQL mirror imports and history timeline.	Lifecycle successor/current-object edges must be acyclic and must terminate in a current object or explicit deleted-retired terminal row. Cycles are allowed only for separately typed non-derivation/reference edges and must never define object currency.				
GNG43	No untyped, unbucketed or lifecycle-less Lean declaration after source-intake or Explorer-readiness closure.	LEG37, CEX0, CEX11, generated declaration inventories, YAML2SQL mirror, Explorer declaration nodes and public API/refactor release gates.	Every Lean declaration must have declaration_kind, semantic_role, triviality_tier, significance/documentation policy, lifecycle_state, public_surface_status and owning object or explicit non-object bucket. Unknown/manual-review labels are blockers, not closure evidence.				
GNG44	No heuristic-only triviality or significance decision for Lean declarations.	All declaration classifiers, object/proof-dossier generation, Explorer filters and documentation-depth assignment.	Automatic labels from rfl/projection/body shape, declaration keyword, path or reference count are candidate labels only. Curated override must exist for boundary/handoff/fundamental contracts and for demoting ledger/status scaffolding.				
GNG45	No Explorer completeness claim from consumption classification alone.	LEG5, LEG37, CEX0, CEX11, SQL mirror imports, Explorer inspector panels and public-read documentation.	Consumption class records may feed CEX11 but cannot prove total declaration sorting. Closure requires all required axes plus owner bucket, documentation policy and lifecycle status.				
GNG46	No de-seeding without source map, derived-only gate, notation/readability binding, old-path regression and rollback evidence. Seed/Scaffold/Window modules may not lose their suffix or become current public API unless free cutoffs/states/dictionaries/observers are removed or explicitly downgraded to derived residual data, the importgraph is cycle-audited and the old path remains a regression oracle or lifecycle-retired object.						
GNG47	No full-derived QFT/AQFT face without complement-net modular chain. Bright-only recovery, finite boundary algebra, GNS/KMS scaffold or split-property-like evidence does not suffice for vN/Type-III/CPT/spin-statistics/Kramers claims unless ComplementLocalNet/ComplementStateNet/ComplementGNS/SeparatingProperty/TomitaTakesakiData/ModularConjugation/ComplementKMS/ComplementSpectrumCondition are derived or explicitly marked as open gates.						
GNG48	No fermionic, CPT, spin-statistics or Kramers semantics before graded algebra plus modular B chain plus D-causality/BW bridge. Statistics, spin, CPT and Kramers labels must not float on an ungraded or non-modular AQFT surface.						
GNG49	No silent primitive rest-parameter export after ParameterClosure. b, Lmax, beta and numerical regularizers must either be derived through BranchingWitness/selectors/HorizonLevel/BackreactionFixedPoint/RegularizationClosure or remain explicitly marked as scaffold/residual variables; they may not become hidden ontic inputs.						
GNG50	No matter or causal-geometry closure from name overlap. Time reversal alone is not Matter; GlobalStateCone or cone-like state families are not causal lightcones; established physics words may define audit gates, not automatic CNNA semantics.						
GNG51	No 1:1 REALOQS legacy code port into CNNA.	All future REALOQS migration, especially AQFT/PillarB.	Every legacy declaration/module must receive migration disposition and CNNA source-map before implementation. Direct import/copy is blocked unless a later phase proves semantic compatibility and still records lifecycle provenance.				
GNG52	No legacy A-internal or config-harness dependency in CNNA PillarB.	A->B handoff and AQFT migration.	PillarB may consume only explicit CNNA A->B handoff data. Legacy TreeOfCliques/Config/BInterfaces dependencies are migration risks to be inverted, not accepted inputs.				
GNG53	No legacy noncomputable/simp-rich AQFT layer in the operational path.	BoundaryMatrix, KMS/GNS/modular and finite boundary-matrix migration.	Noncomputable analytic legacy constructions must be isolated in allowed mirror/reference layers or rebuilt through operational proof-carrying structures. Legacy @[simp] proofs do not authorize operational simplification policy changes.				
GNG54	No Explorer or planning edge may render REALOQS legacy provenance as CNNA-derived provenance.	CNNA Explorer, SQL mirror, object lifecycle and legacy overlays.	Legacy nodes and edges require explicit LegacyCodeReference classes and reference/migration edge types. They cannot unlock green CNNA objects without a new CNNA-derived proof phase.				
GNG55	No derived-only closure from algebraic skeleton alone. A green/closed claim requires structural skeleton, discharged proof obligations and a genuine generated-data operational smoke path for the relevant claim.	All CNNA phases, especially arithmetic smoke tests, AQFT gates and Explorer status rendering.	A phase/object may not be marked green merely because the algebraic framework compiles; the scratchpad/dossier must identify the generated data path and its verification evidence.				
GNG56	No missing-structure consumer patch. If a downstream consumer exposes a missing structure, the downstream phase becomes blocked and the structure must be created at its earliest natural source layer, not inserted where the failure was observed.	All implementation and refactor phases.	The red-blocker workflow must record the missing structure, rejected patch site, selected natural origin, and proof/audit reason for that origin before the consumer can reopen.				
GNG57	No implementation-readiness claim without implementation-thought-experiment pressure test. A phase-check must simulate the implementation path sufficiently to expose likely hidden dependencies before yellow/orange status is assigned.	Pre-implementation phase checks and active-phase selection.	The pre-implementation check must distinguish a superficial dependency scan from a forced implementation scenario; missing dependencies found in the scenario become red blockers.				
GNG58	No linear-document sufficiency claim for CNNA planning. PDF/TeX views are generated secondary renderings and cannot serve as the primary machine-readable planning state once YAML/SQL/Explorer data exist.	Planning tool, Explorer, generated documentation and future database mirror.	The Master YAML remains the planning data source; PDFs and TeX files are review/render outputs. Claims of completeness must cite YAML/ledger checks, not page count or prose presence.				
GNG59	No free physical parameter export from the Foundation. Parameters such as L_max, branching strength, beta/regularizers, horizon-like quantities and backreaction inputs must have an internal origin, an explicit future backreaction handoff, or be marked unresolved.	Foundation, ParameterClosure, A->B/A->C/A->D/A->E handoffs and Explorer parameter displays.	Any parameter field without source provenance becomes red/orange depending on whether a natural upstream or backreaction phase exists. It cannot be silently exported as foundation data.				
GNG60	No stochastic primitive. Stochasticity/noise/randomization cannot be introduced as an ontic input; it must be derived from CNNA structure or kept as external comparison-only language.	Pillar A, OQS, spacetime/Causal-Set comparisons, AQFT/OQS bridge and simulation layers.	Explorer and planning rows must label stochastic language as derived, pending derivation, or external-reference only. No stochastic object can close a CNNA phase unless its source path is explicit.				
GNG61	No cyclic pillar co-development. Pillars B-E may be co-developed and mutually constraining, but only through explicit acyclic handoff/input edges; no pillar may consume its own output or a higher-pillar output outside the declared input-handoff channel.	Pillar B-E planning, handoffs and Explorer graph semantics.	Graph edges must separate derivation, handoff, backreaction, comparison and hypothesis semantics; cycles in proof-producing provenance are blocked even if visual co-development is allowed.				
GNG62	No unbacked repository automation. Assistant/API/CI-driven repository mutation must not target the default branch directly as the normal path; a recoverable backup tag/branch and a work branch/PR path are required before mutation.	GitHub repository operations, assistant-mediated changes, CI setup, release branches and generated planning zip synchronization.	Planning and implementation prompts must record backup ref, work branch/PR and CI status. Any direct-main mutation requires explicit emergency override and rollback evidence.				
GNG63	No public or unproven database write authority. Webhosting/MySQL, SQL/API and Explorer layers are read-only for public users and generated-secondary; production/current mirror state may change only through validated snapshot import/swap.	Phase 21 database mirror, Webhosting importer, public API, frontend, credentials and future cnna-project.net deployment.	Importer/admin credentials must stay outside browser/chat/repository plaintext. Public API tests must prove read-only behavior; SQL rows must carry commit/toolchain/hash provenance.				
GNG64	No deployment without rollback and local archive path. Automated CI/DB/Explorer updates require independent recovery paths for Git state, generated artifacts and MySQL mirror state.	GitHub releases, workflow artifacts, Webhosting/MySQL imports, Explorer public snapshots and local archival handoff.	A release cannot close deployment-hardening until backup tag/branch or bundle, artifact manifest, SQL dump/snapshot and restore instructions are recorded.				
GNG65	No silent CI phase-state drift. A red Lean CI build must not leave the attempted active phase in an implementable/active-success state and must not update production/current mirrors; it must mark the phase red, create or activate a predecessor repair phase at the natural source layer, and publish a visible read-only failure-history snapshot. A green Lean CI build must not advance the phase cursor unless required closeout evidence is present.	GitHub Actions, assistant/repository automation, phase closeout, red-build repair generation, MySQL/Webhosting deployment and Explorer history.	CEX15 transition manifests and CEX16 failure snapshots must record commit SHA, run ID, active phase, red/green conclusion, evidence files and resulting phase changes. Red transitions block merge and production/current import/deploy but publish failure history; green transitions require completed scratchpad/dossier/object evidence and must leave exactly one active cursor.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
GNG66	No hidden red builds. Failed Lean/scan runs that affect phase state must be visible as generated-secondary failure-history artifacts and linked to their repair predecessor or localization gate.	GitHub Actions, phase-state controller, Webhosting/MySQL history tables/views, Explorer/API build history, release notes and expert-review workflow.	A red CI transition is invalid unless it emits red_failure_snapshot.json or equivalent, exposes a read-only history/API row, links to the generated repair phase, preserves the last green production/current snapshot and records no-current-swap evidence. Sensitive credentials and excessive logs must not be public.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
GNG67	No default full-PDF churn for bounded planning changes. When a planning update changes only a timestamp-bounded set of rows, the user-facing PDF deliverable must be the delta slice of exactly those changed records; the full documentation PDF is optional or reserved for explicit full-release/audit checkpoints.	Plan-document generation, context-slice generation, release artifacts, Webhosting/Explorer documentation snapshots, review packets and archive packages.	Every changed YAML row must carry the same Change version and Change timestamp for the update set. The default PDF generator selects rows by that pair and emits a delta PDF plus matched-row exports. Full-PDF generation must be explicit, periodic, or release-gated and must not replace the delta as the primary review artifact for small changes.	P1.39	2026-05-12T07:55:00+02:00	planning-delta	P1.39 timestamp-bounded delta record: CI red-path visibility plus delta-PDF output policy.
GNG68	No workflow self-sabotage or contradictory transition semantics. Workflow policies that affect phase status, CI evidence, MySQL/Explorer mirrors, backup/rollback, public visibility or documentation output must share one ordered state model and may not encode mutually incompatible exits.	All workflow_policy rows, phase-state controller CEX15, red-build visibility CEX16, GitHub automation, Webhosting/MySQL importer, Explorer/API history, documentation generation and phase closeout.	Before modifying workflow policy, run the workflow-coherence audit: distinguish missing evidence from red failure, require visible red history without production/current swap, require green closeout evidence before cursor advance, preserve read-only public mirrors, keep backup/rollback before deploy, and use delta PDFs for bounded updates unless a full release/audit checkpoint is explicit. Any contradiction must become a static finding and be patched at the workflow/source layer before implementation.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
GNG69	No Explorer before cleanup-refactor-scan closure. Explorer SQL/API/UI work must not start from pre-refactor, partially renamed or partially mirrored source data.	Phases 1.1.1.1.5.1-1.1.1.1.5.5, 20.15-20.19, 21.0-21.9, YAML/SQL/API/Explorer tooling and implementation prompts.	Require the ordered gate: Notation.lean audit/cleanup -> neutral naming/facade plan -> compatibility-preserving refactor -> post-refactor full 1:1 Lean mirror scan -> Explorer readiness. Any attempted Explorer build before this order closes is red/blocked and must backjump to the earliest missing gate.	P1.41	2026-05-12T09:10:00+02:00	planning-delta	P1.41 repository-cleanup sequencing correction: Notation.lean audit/cleanup and neutral renaming/refactor must precede the full module/object scan; Explorer and further substantive Lean code remain blocked until the post-refactor 1:1 Lean mirror closes.
GNG70	No pre-refactor full scan as final source truth. A full module/declaration/object scan performed before cleanup and neutral refactor may be used as provisional input only, never as the Explorer-current or release mirror.	Inventory scripts, CEX11 total declaration classification, LEG37/LEG40 source intake, DB/API/Explorer mirrors and release certificates.	Generated inventory must record whether it is pre-refactor or post-refactor. Only a post-refactor scan can close the 1:1 Lean-mirrored object-state gate or feed Explorer-current SQL/API views.	P1.41	2026-05-12T09:10:00+02:00	planning-delta	P1.41 repository-cleanup sequencing correction: Notation.lean audit/cleanup and neutral renaming/refactor must precede the full module/object scan; Explorer and further substantive Lean code remain blocked until the post-refactor 1:1 Lean mirror closes.
GNG71	No unchecked Notation.lean public surface. Notation declarations, aliases and symbol wrappers may not remain public or drive scans merely by existing; they require actual consumer evidence or an explicit public-surface justification.	All CNNA/**/Notation.lean files, CoreSymbols/Legacy phase aliases, public API contracts, refactor plans, consumer whitelist, generated inventory and Explorer-readiness gates.	Before neutral renaming/refactor, produce a notation ledger with declaration, defining module, consumer modules, owner object/non-object bucket, public/internal/legacy status, keep/quarantine/remove/rename disposition and ambiguity flag. Unresolved notation becomes a blocker at the notation layer.	P1.41	2026-05-12T09:10:00+02:00	planning-delta	P1.41 repository-cleanup sequencing correction: Notation.lean audit/cleanup and neutral renaming/refactor must precede the full module/object scan; Explorer and further substantive Lean code remain blocked until the post-refactor 1:1 Lean mirror closes.
