ID	Object	Layer	Canonical CNNA definition	Natural provenance	Computed from	ExecComplex/computable path	Object status	Code status	Current code modules / derivation site	Neutral target location / canonical API	Pillar-A access	Handoff rights	May be consumed by	Priority	Phase	Proof documentation status	Proof dossier	Context class	Significance tier	Documentation depth requirement	Object lifecycle state	Lifecycle predecessor object(s)	Lifecycle successor/current object	Lifecycle note	Current dossier pointer	Change version	Change timestamp	Change class	Change note
G06	Regime: noOuterEnvironment	Regime	RegimeProfile.noOuter.	Split-/environment proofs from A, not from B.	Partition + complement/environment proof.	No Exec-Skalar; affects operator/dynamics Profile.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Outputs/A_to_B.lean; CNNA/PillarA/Sectors/SectorSplit.lean; CNNA/PillarA/Sectors/ComplementSectorFamily.lean	CNNA/PillarA/Regime/NoOuter.lean	derive A-internally; must not be misused as plan status.	A->B as regime flag allowed; A must not consume A->B.	B closed/unitary branch, D dynamics.	high	1.3.2	no	proof:G06	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G06				
G07	Regime: hasOuterEnvironment	Regime	RegimeProfile.hasOuter.	Complementfamilien/outer environment proof.	Approximant + complement proof.	No Exec-Skalar; open matrix/channel Profile downstream.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Outputs/A_to_B.lean; CNNA/PillarA/Sectors/ComplementSectorFamily.lean; CNNA/PillarA/Network/SectorSysEnv.lean	CNNA/PillarA/Regime/HasOuter.lean	derive A-internally; no stochasticity as input.	A->B as regime flag + effective operator; complement not directly.	B open-system branch, D channels.	high	1.3.2	no	proof:G07	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G07				
G08	Complement families: UV tail	Regime/Complement	UVComplementProfile.	Generated complement/provenance; not consumer-invented.	Approximant + infinite carrier.	Structural; effect can in Exec-Operator mixed sein.	R	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Sectors/UVSpectralSelector.lean; CNNA/PillarA/Sectors/ComplementSectorFamily.lean; CNNA/PillarA/Handoff/Outputs/A_to_B.lean	CNNA/PillarA/Regime/Complement/UVTail.lean	A-internal; may only come naturally from complement layer.	Not directly to B-bright; possibly A->B-prime via effective data; B-prime dark later.	Regime, spectral gap, dark sector.	high	1.3.3	no	proof:G08	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G08				
G09	Complement families: IR/parent-path tail	Regime/Complement	IRComplementProfile.	Generated complement/provenance.	Approximant + parent/level structure.	Structural; Exec downstream via operator effect.	R	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Sectors/ComplementSectorFamily.lean; CNNA/PillarA/Handoff/Outputs/A_to_B.lean	CNNA/PillarA/Regime/Complement/IRTail.lean	A-internal.	Not directly to B-bright.	Regime, scale, spectral tests.	medium	1.3.3	no	proof:G09	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G09				
G10	Complement families: sideways environment	Regime/Complement	SideEnvironmentProfile.	Generated complement/provenance.	Branching + nonselected sectors.	Structural; Exec downstream via operator effect.	R	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Sectors/ComplementSectorFamily.lean; CNNA/PillarA/Network/SectorSysEnv.lean; CNNA/PillarA/Network/SectorChannels.lean	CNNA/PillarA/Regime/Complement/SideEnvironment.lean	A-internal.	Not directly to B-bright.	open branch, channels.	medium	1.3.3	no	proof:G10	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G10				
CD0	Cayley-Dickson source	Structural algebra	CayleyDicksonSourceProfile.	Structural/CayleyDickson + Handoff adapter.	carrier/regularization/schur from closed A data.	Not inherently Exec; arithmetic compatibility path must state mirror.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/Source.lean; CNNA/PillarA/Handoff/CayleyDicksonAdapter.lean	CNNA/PillarA/Structural/CayleyDickson/Source.lean	A-internal; reintegrate as structural consumer of A data, not separate generator. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CayleyDickson output only; A must not consume own output. Uncorrected blue form is not handoff-exportable.	CD structural proofs.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	1.4.1	no	proof:CD0	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD0				
CD1	Scalar part	Cayley-Dickson	CDScalarPartProfile.	CD source.	CD algebra data.	Exec bridge only if coordinates available.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalScalarPart.lean	CNNA/PillarA/Structural/CayleyDickson/ScalarPart.lean	A-internal structural; not arithmetic source. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only. Uncorrected blue form is not handoff-exportable.	star/norm.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.2	no	proof:CD1	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD1				
CD2	Cayley-Dickson star/conjugation	Cayley-Dickson	CDStarProfile.	CD source/scalar part.	CD algebra data.	Coordinate-level mirror optional.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalStar.lean	CNNA/PillarA/Structural/CayleyDickson/Star.lean	A-internal structural. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only; possible analogy to number conjugation only after bridge. Uncorrected blue form is not handoff-exportable.	normSq.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.3	no	proof:CD2	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD2				
CD3	CD normSq	Cayley-Dickson	CDNormSqProfile.	star + product.	CD algebra.	Exec bridge only after arithmetic compatibility.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqDefined.lean; CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqReduction.lean; CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqBlockSystem.lean	CNNA/PillarA/Structural/CayleyDickson/NormSq.lean	A-internal structural. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only. Uncorrected blue form is not handoff-exportable.	Hurwitz/division.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.4	no	proof:CD3	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD3				
CD4	CD multiplication/product	Cayley-Dickson	CDProductProfile.	CD source.	CD coordinates.	Coordinate calculations possible; not automatic ExecComplex.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalProductSurfaceCandidate.lean; CNNA/PillarA/Structural/CayleyDickson/S6CanonicalProductMultiplicationCandidate.lean	CNNA/PillarA/Structural/CayleyDickson/Product.lean	A-internal structural. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only. Uncorrected blue form is not handoff-exportable.	alternative law, norm multiplicativity.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.5	no	proof:CD4	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD4				
CD5	Alternative law	Cayley-Dickson	CDAlternativeLawCertificate.	CD product.	Product associator.	Proof-level; computations by coordinates if available.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6AlternativeLawScaffold.lean; CNNA/PillarA/Structural/CayleyDickson/S6FullAlternativeLawBoundary.lean	CNNA/PillarA/Structural/CayleyDickson/AlternativeLaw.lean	A-internal structural. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only. Uncorrected blue form is not handoff-exportable.	Hurwitz stop.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.6	no	proof:CD5	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD5				
CD6	Norm multiplicativity	Cayley-Dickson	CDNormMultiplicativityCertificate.	CD norm/product.	normSq, product.	Proof-level; arithmetic bridge later.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6NormSqMultiplicativity.lean; CNNA/PillarA/Structural/CayleyDickson/S6NormMultiplicativityScaffold.lean	CNNA/PillarA/Structural/CayleyDickson/NormMultiplicativity.lean	A-internal structural. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only. Uncorrected blue form is not handoff-exportable.	division.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.7	no	proof:CD6	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD6				
CD7	Hurwitz stop / R,C,H,O classification	Cayley-Dickson	HurwitzStopProfile.	CD duties closed.	alternative + norm + division.	Not Exec; structural theorem.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6HurwitzStopSeed.lean; CNNA/PillarA/Structural/CayleyDickson/S6CayleyDicksonIdentification.lean	CNNA/PillarA/Structural/CayleyDickson/HurwitzStop.lean	A-internal structural; must be fully reintegrated as closed subproject. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD, later A->E as structural invariant. Uncorrected blue form is not handoff-exportable.	Architecture consistency.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption; BR08 horizontal/vertical Schur-duality bridge	medium	1.4.8	no	proof:CD7	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:CD7				
S00	Dirichlet-Laplacian	Schur/DtN	DirichletLaplacianProfile.	Generated Dirichlet data.	Partition + weights + adjacency.	Matrix carrier carrier ExecComplex or bridge from Real to ExecComplex.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/DirichletLaplacian.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletEntry.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletExecEntrySourceSM3bq.lean	CNNA/PillarA/Schur/DirichletLaplacian.lean	A-internal; consumers may use only Profile.	A->B only after boundary reduction/effective operator.	Schur, DtN, spectrum.	high	3.1	no	proof:S00	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:S00				
S01	Interior block	Schur/DtN	InteriorBlockProfile.	Dirichlet-Laplacian + partition.	Interior indices + matrix.	ExecComplex-matrix or proven bridge.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlock.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCarrier.lean	CNNA/PillarA/Schur/InteriorBlock.lean	Present in SM3 chain, but plan-semantically named. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly; results only. Uncorrected blue form is not handoff-exportable.	Interior inverse, Schur.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.2	no	proof:S01	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:S01				
S02	Interior inverse candidate	Schur/DtN	InteriorInverseCandidateProfile.	SM3db trace/fold candidate chain.	Trace + accumulated entry fold.	Matrix ExecComplex/Real with bridge.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateStart.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateEntry.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorAccumulatedTraceEvaluation.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateMatrix.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorInverseCandidateShapeSeparation.lean	CNNA/PillarA/Schur/InteriorInverseCandidate.lean	A-internal, legacy plan-semantic. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly. Uncorrected blue form is not handoff-exportable.	TwoSidedInv proof.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.3	no	proof:S02	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:S02				
S03	Two-sided inverse certificate	Schur/DtN	Two-sided inverse certificate.	Candidate + product identities.	Interior block + candidate.	Matrixprodukt-Statements operational pruefbar.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorProductIdentityProofR4a.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorTwoSidedInvFromSM3db7R.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorProvenTwoSidedInvR5.lean	CNNA/PillarA/Schur/TwoSidedInverse.lean	A-internal; consumable as certificate. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly; DtN output may be exported. Uncorrected blue form is not handoff-exportable.	InteriorEliminationData, DtN.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.4	no	proof:S03	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:S03				
S04	InteriorEliminationData	Schur/DtN	InteriorEliminationProfile.	TwoSidedInv + partition + blocks.	Interior block, inverse, couplings.	ExecComplex Schur-formula downstream.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCertificateSM3fR.lean; CNNA/PillarA/DtN/DtN.lean	CNNA/PillarA/Schur/InteriorElimination.lean	A-internal; may be consumed by DtN. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Not raw an B; only boundary operator. Uncorrected blue form is not handoff-exportable.	DtN, generalized DtN.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.5	no	proof:S04	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:S04				
S05	DtN boundary operator	Schur/DtN	BoundaryOperatorProfile.	Interior elimination / Schur complement.	Laplacian blocks + inverse certificate. Route must be checked against BR06 before public-final promotion.	Matrix boundary boundary ExecComplex; Pflicht for Part 2.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedTopBoundaryDtNSM3gR.lean; CNNA/PillarA/DtN/DtN.lean	CNNA/PillarA/Schur/BoundaryOperator.lean	A-internal; central output. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B as L/Operator erlaubt; A->C geometry optional; A may Output not konsumieren. Uncorrected blue form is not handoff-exportable.	arithmetic, B bright AQFT.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption; BR08 horizontal/vertical Schur-duality bridge	high	3.6	no	proof:S05	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:S05				
