Workflow	Trigger	Required input	Required updates	Exit rule	Change version	Change timestamp	Change class	Change note
Local Lean build evidence rule	Any phase closeout or artifact package mentions build status.	Actual Lean build output from the current package or an explicit user report of a local green build.	Record whether the assistant generated artifacts only or whether a Lean build was actually run. Never infer green build from unchanged planning artifacts.	If no build was run, the package status is artifact-generated / local Lean build required, not green.				
Consumption classification and pruning discipline	A module/declaration appears unused, only BuildAll-reachable, status/audit-like, phase-semantic, or blue-object/API-unfinished.	module path; declaration name/family; import/reference evidence; object ID if any; proposed consumer or deletion target.	Classify the item in LEG5/LEG7/LEG8 before moving or deleting it. Decide keep/quarantine/wrap/reexport/archive/deletion-candidate. Update public API contract and firewall if it can be consumed by Phase 3+.	No deletion or public export until the item has a class, a consumer rule, and either a neutral API route or an explicit quarantine/deletion-candidate record. Deletion still requires later green build evidence.				
Pre-implementation module manifest	Before any Lean implementation phase starts or before an implementation prompt asks to add/modify code.	active phase_id; target objects; current module inventory; existing modules with matching semantics; proposed new declarations; import/firewall constraints.	Fill the scratchpad module manifest: exact count and names of proposed added modules and modified modules; semantic placement rationale for each; why existing modules are reused/extended or rejected; public/legacy/API role; expected import direction.	Implementation may start only if the module budget is explicit and compact. A new module is forbidden unless semantic fit, reuse, and import-firewall checks justify it.				
Reuse and duplicate-implementation audit	A planned declaration, helper, generator, ledger, request/output object, smoke test, or computation resembles existing code.	symbol/reference summary; existing generator/API modules; proposed target semantics; object IDs and phase consumers.	Record whether the existing module is consumed, extended, wrapped, or rejected. If rejected, explain the semantic mismatch. Mark duplicate risk and update public API/manifest.	No duplicate implementation is allowed. The same mathematical/computational operation must have one canonical implementation path plus wrappers/reexports if needed.				
Canonical Smoke-Test Generator governance	A phase proposes generator-like code, experiment request/output code, smoke-test generation, or reusable theory-generation infrastructure.	existing Smoke-Test Generator modules and APIs; target generator semantics; phase/object consumers; import constraints.	Route through the canonical generator seam whenever semantics match. If extension is needed, extend the canonical generator at its natural layer; do not create a parallel generator. Register any genuine semantic split explicitly.	The canonical generator remains the single generator for the theory where applicable. Parallel generator modules are blocked unless the plan records a proven semantic split.				
Secondary long-term code-documentation and derivation-geometry workflow	A request proposes documenting the existing codebase, analyzing the geometry of the formal derivation graph, studying bottlenecks/dominators/source-sink paths, or reflecting on open-system emergence in the formalization topology.	Stable generated repo inventory; object proof dossiers; declaration consumption classification; active not-before gates; explicit derived-only/comparison-only boundary.	Register the goal as secondary if prerequisites are not closed. If active later, update coverage/dominators/layer/path diagnostics and link them to objects/modules without changing CNNA generative inputs.	Outputs are documentation, diagnostics, or comparison reports only. They may guide audits and refactors, but cannot become mathematical or physical premises without a separate CNNA-derived proof path.				
EXEC-2 rational boundary and mirror isolation	Any phase mentions ExecComplex, tau, sqrt(D), lattice embedding, Gram entries, eigenvalues, j-invariant, algebraic bridge, or mirror boundary.	Active phase; target object IDs; whether the value is rational/integer operational data or algebraic/analytic mirror data; proof obligation for any proposed operational return value.	Fill exec_complex_boundary_policy and noncomputable_boundary_audit. Update affected object ExecComplex/computable path text. Mark algebraic irrational data as mirror-only unless a rational/integer invariant is explicitly proved and typed.	No phase may introduce sqrt(D), tau, algebraic eigenvalues, or general algebraic complex coordinates into the operational Q x Q path. Operational return from mirror requires a stated invariant and proof target.				
Refactor regression and incremental migration	Any phase moves declarations, splits a module, introduces wrappers/aliases, quarantines legacy gates, or changes imports.	Module manifest; declaration list or family; current and target imports; consumer list; local build evidence plan.	Fill refactor_regression_protocol and refactor_migration_metrics. Record atomically delivered package boundary, declarations migrated count, import graph delta, consumer breakage audit, and local full-build status source.	A refactor phase closes only after the delivered package has local full-build evidence. Intermediate wrapper coexistence is allowed; deleting legacy/status material before quarantine closure is not allowed.				
Lean/mathlib version management	Any phase proposes a new mathlib import, encounters noncomputable/classical pressure, or wants newer mathlib API than the frozen baseline.	Baseline version; proposed import; current compile/build evidence; expected mathlib theorem/API; operational vs mirror classification.	Fill lean_mathlib_version_policy and mathlib_complication_log. Either stay on baseline, open a separate upgrade gate at a phase boundary, or re-route the dependency to mirror/non-operational code.	No silent version drift. No operational code may depend on a new mathlib API or noncomputable/classical pressure without an explicit gate and local build evidence.				
Phase-type-specific scratchpad validation	Every phase preparation or status change.	phase_type; phase status; target code/object role; active scratchpad.	Fill phase_type and phase_type_specific_contract. For refactor phases fill migration/regression fields; for derivation phases fill proof/tactic/mathlib fields; for comparison phases fill derived-only boundary; for infrastructure phases justify absence of operational witness.	A phase cannot become active unless its phase_type-specific evidence is prepared. Not-applicable filler is acceptable only with an explicit infrastructure-only or comparison-only justification.				
Governance-depth retrospective after first refactor	When Phase 1.1.2 or the first real code-change/refactor package closes.	Closed refactor report; list of governance gates used; mistakes prevented; time/complexity overhead; upcoming Phase 3+ structure.	Fill governance_overhead_review. Decide whether the current depth remains necessary or whether later phases should use a flatter structure with the same global guardrails.	Do not remove global no-go rules. Only the phase granularity may be flattened, and only after a recorded retrospective.				
Phase 3 to Phase 4 consumer-contract prebinding	Before preparing Phase 3.6 or Phase 4.1, or any wrapper around BoundaryOperatorProfile / ExecBoundaryMatrix.	BoundaryOperatorProfile shape; Operational/ExecComplex consumer needs; import direction; generator policy.	Fill consumer_contract_direction. Phase 3.6 records the exported shape; Phase 4.1 records how it consumes the shape without reconstructing Schur/DtN internals.	Phase 3 may not import Phase 4. Phase 4 may not duplicate generator/Schur/DtN logic; it consumes the Phase-3 profile contract.				
Boundary-route extremal audit	Any phase that interprets IdealThread, CutSpec.full, Schur recursion, DtN boundary matrices, or string-like analogies.	Code references for IdealThread singleton carrier/family/coarsen lemmas; CutSpec.full carrier theorem; current generated boundary source; planned consumer shape.	Record whether the phase consumes thread-scalar route, full-boundary route, or generated intermediate route. Mark analogical string language comparison-only unless a theorem gives a formal CNNA object.	No full matrix/operator, discriminant, spectrum, or physical interpretation may be promoted from the thread route unless the route and lifting theorem are explicitly present and code-checked.				
Horizontal/vertical Schur bridge workflow	A phase attempts to relate Cayley-Dickson/Hurwitz algebra to arithmetic discriminant, CM order, norm, or transfermatrix data through Schur complementation.	Closed S05/BR06 horizontal boundary route, closed O05/BR07 vertical arithmetic-shadow route, Transfermatrix objects TM0-TM2, CD7 Hurwitz boundary, and explicit module manifest for the bridge.	Create/update BR08/BR09/CD8 proof dossiers; record commutation/naturality target, failure modes, concrete finite instance traversal, and no-input-backflow audit.	The bridge is either proved as a theorem over derived objects, split into smaller prerequisite lemmas, or marked blocked. It may not feed earlier phases unless a separate backreaction/input handoff explicitly permits it.				
Heuristic lattice test-matrix governance	Whenever Eisenstein/Gauss b-ary tree geometry, angle profiles, CM points, j-invariants, or L_max sweeps are planned or implemented.	code-defined branching object/API; L_max set; embedding kind; angle profile; EXEC-2 boundary status; source objects L04/L06/O05/M05 when j/CM comparisons are used.	Record static/dynamic branch rows, concrete finite instance traversal, operational vs mirror fields, expected executable witness, and mathlib/noncomputable complications. Add or update L09/L10/M08/BR10 dossiers.	The test may close only if all rows consume the canonical generator/branching API, no duplicate tree generator is introduced, operational assertions are rational/integer/finite, and mirror-only CM/j comparisons cannot feed generator semantics.				
General early finite computation-test matrix	Before implementing or promoting any operational computable path, arithmetic wrapper, generator extension, lattice test, or refactor that claims computation is preserved.	Canonical generator/branching API; finite instance parameters; L_max/branch-mode rows; expected executable witness; optional sentinel/comparison rows; mathlib/noncomputable risk log.	Fill O07 or a consumer of O07; update concrete_instance_traversal, expected_executable_witness, mathlib_complication_log, and no-go guardrails. Separate generic rows from sentinel rows.	The phase cannot close on hand-picked CM/Eisenstein/Gauss examples alone. At least one generic row family must traverse the actual computable path, or a documented failure/backjump is required.				
Regime-typed Heegner/CM finite test matrix workflow	Whenever finite computation tests, Eisenstein/Gauss sentinel rows, Heegner/class-number-one targets, CM/j targets, or noOuter/HasOuter regime claims are planned or implemented.	O07 generic finite rows; derived regime split; code-defined generator/branching API; L_max rows; EXEC-2 boundary; class-number data if Heegner interpretation is claimed.	Fill O08/N18/BR11/BR12 dossiers; record regime tag, projection/complement-family status, generic-vs-sentinel status, operational witness, and mirror/comparison columns. Update mathlib/noncomputable log for any class-number/CM dependency.	The phase cannot close if h(D)=1 or a Heegner/j target is used to infer noOuter closure. Generic rows must exist; noOuter-root sentinel rows and HasOuter/projection rows must be distinguished explicitly.				
Computable scalar architecture workflow	Any phase introduces scalar data beyond rational ExecComplex, uses mathlib Complex/Real/NumberField/QuadraticAlgebra, or proposes a Cayley-Dickson-derived C-layer.	O00/LEG20/LEG31, module manifest, reuse audit, expected executable witness, mathlib/noncomputable complication log, and CD noncircularity status if CD is involved.	Update LEG31/LEG32, O09/O10/BR13/BR14/CD9 dossiers; classify each scalar as rational ExecComplex, exact quadratic schema, proof-carrying D-instantiation, integer/rational invariant, or analytic mirror-only. Record whether a new module is justified or existing module semantics suffice.	No new scalar layer may close without concrete finite instance traversal and proof-carrying projection back to allowed operational invariants. General Complex/Real and CD C-surfaces cannot become generator inputs, and exact quadratic instances require D-source provenance.				
Derived discriminant-indexed exact quadratic scalar workflow	Any phase creates or consumes exact quadratic coordinates, theta, sqrt(D)-like notation, CM tau coordinates, quadratic-field/order coordinates, or lattice rows requiring algebraic irrational data.	O09 schema, LEG32/GNG19, proof-carrying D-source from O05/O06 or equivalent ledger, module manifest/reuse audit, mathlib/noncomputable complication log.	Update O09/O10/BR14/BR13 dossiers; record whether the phase is schema-only, D-instantiation, invariant projection, or mirror comparison. Record concrete finite D-ledger rows and allowed invariant exports.	No phase may close with a free sqrt(D), an axiom, or an analytic Complex/CD source for theta. If D is unavailable or semantically blue, backjump to the discriminant-source correction rather than patching the scalar consumer.				
Phase-path dependency and object placement audit	Before any implementation phase after Phase 4, or when moving/wrapping an object from N/L/M/SP/P/TM/BR/CD groups.	Object register, source-object list, target module manifest, dependency-depth audit, and current phase-path classification.	Update phase title, object Phase field, proof dossier, scratchpad dependency_depth_audit, consumer_contract_direction, and no-go notes. Record whether the object belongs to Path A, Path B, or a late explicit bridge.	Phase may close only if its title, object group and dependencies agree. Finite spectral/physical consumers cannot be blocked behind modular/j/analytic phases unless a proof-carrying bridge says so.				
Phase-object-link policy workflow	Whenever a phase is added, split, merged, moved, or whenever an object Phase field changes.	Phase hierarchy; object register; direct object ownership map; child-phase scope; moved/audit/closeout status.	Update phase Object link policy, Object link explanation, Child object scope, object Phase fields, proof dossiers and phase table generator if needed.	The generated phase table may not contain an unexplained empty Linked objects cell. Direct ownership is never inferred from child scope; child-scope summaries are display-only.				
Ontic subsystem-minimality workflow	Whenever a phase introduces or consumes dynamics, spectra, operator algebra, geometry, arithmetic, stochasticity, open-system language, unitarity, AQFT/physics interpretation, or environment/complement effects.	POST1/LEG35/GNG22; source-object chain from IDEAL_infty formal background to subsystem/cut/approximant, boundary, regime, complement families and Schur/DtN or later certified bridge.	Update object proof dossier, scratchpad source_to_cnna_mapping, dependency_depth_audit, no-go guardrails, and consumer-contract direction. Mark comparison-only interpretations explicitly and prohibit them from supplying definitions.	A phase may close only if non-subsystem structures are shown as derived consequences or comparison-only interpretations. Any primitive import of dynamics/physics/arithmetic/geometry/environment forces a backjump to the natural subsystem/complement generating layer.				
Lean-focus implementation-packet workflow	Before a Lean implementation phase starts, or when the user asks for the next semantically connected phases to be checked with minimal cognitive/tooling overhead.	Active phase, next semantic phase window, object register, scratchpad, module manifest, static findings, import/declaration inventory, and current pre-implementation-check ledger.	Generate a compact implementation packet and avoid full PDF/declaration dumps unless the phase-check or audit-full mode explicitly requires them. Record G/Y/O/R thought-experiment results, predecessor assumptions, proof risk, and any red addressing phase proposals.	Lean coding may start only from a compact packet that names relevant modules, producer/consumer objects, red blockers, orange predecessor assumptions, yellow active implementability, forbidden shortcuts, and comparison-only theory boundaries.				
Local theory context versus end-theory comparison workflow	Whenever a phase or module mentions established mathematical/physical theory, mathlib background, or a large target theory such as AQFT/OQS/modular forms/CM/Moonshine.	Module imports, declared CNNA objects, object proof dossiers, local background-theory context, and end-theory comparison ledger.	Classify local established theory as formalization/proof-method/library context; classify large end theories only as comparison/target/consistency horizons. Record that neither role is an ontic CNNA generator unless derived internally.	A module may use established mathematics as formal language, but a CNNA object may close only if its producer is internal provenance. Large end theories remain comparison-only until CNNA derives a bridge object.				
DB-REVIEW database-ready documentation and expert-review workflow	Whenever the YAML schema, generated views, phase/object records, proof dossiers, theory/reference markings, online/interactive documentation, or database/export plans are edited.	Lean-code data timestamp; YAML master; phase/object/proof-dossier records; status legend; global no-go guardrails GNG23-GNG24; local theory context/end-theory comparison ledgers when applicable.	Keep Lean as primary truth system, generated views as secondary, and expert review as mandatory. Record whether a row is database-ready-later, review-required, blue-audit-needed, lean-primary, or generated-secondary when those semantics matter. Preserve round-trip-friendly IDs and explicit phase/object/review links.	No generated documentation may close by declaring semantic infallibility or 100-percent truth. Missing blue/reference markings must remain visible as audit debt, and database/export work must not become a CNNA-generative input.				
Context-filtered documentation slice generation	User asks for documentation about a specific object/topic, or a phase closeout requires documenting only the changed context rather than regenerating the whole PDF for human review.	Natural-language query or curated profile id; current Single-YAML-Master; regenerated generated_exports/*.tsv; optional slug.	Run scripts/generate_tables.py first; run scripts/generate_context_doc.py with query/profile; package context_docs/<slug>/ manifest, section summary, TeX/PDF, and compile log. Add/adjust curated profile terms in YAML if the topic is recurring.	Every major documentation section is present in the context packet; each section records matched/total row counts; output states generated-secondary status, Lean-primary rule, and expert-review requirement.				
Semantic module consolidation and compatibility-preserving refactor workflow	Before new substantive Lean code after governance closure, or whenever the user asks whether semantically related modules should be merged, compacted, facaded, or kept separate.	LEG10 module manifest; LEG11 reuse ledger; LEG5 consumption map; repo_inventory/raw_export modules/import_edges/symbol references; candidate file list; direct code spot-checks; current public/API and proof-dossier records.	Update LEG36, code_audit findings, reuse_duplication_ledger, scratchpad refactor fields, proposed modules, duplicate-risk symbols, natural-layer placement, facade/compatibility plan, and regression metrics. Set downstream content phases to orange if this gate must precede them.	No Lean merge may close without old-module facade or explicit migration plan, import graph delta, declaration/consumer delta, local full-build evidence, and proof that semantic/provenance auditability is preserved or improved.				
Root artifact retention and generated-output cleanup workflow	Before packaging a tool release, after full/context documentation generation, or when root PDFs/TeX/Markdown reports accumulate.	Current Repository root file list; Single-YAML-Master; README.md; generated tables/exports; optional generated_docs/full output; archive/reports policy.	Keep README.md in root; move historical Markdown reports to archive/reports/; delete disposable root PDF/TeX/LaTeX auxiliary files; ensure full documentation is generated under generated_docs/full/ on demand; update DBR8/GNG27 if classification changes.	Project root contains no retained generated PDF/TeX/LaTeX build products and no active historical Markdown reports beyond README.md. All retained source data remains in YAML/scripts/tables/generated_exports/repo_inventory/repo_snapshot as appropriate.				
Root artifact retention and Lean/Lake build-entry preservation workflow	Before packaging a tool release, after root cleanup, or when Lean/Lake build-control files are added, removed, or moved.	Package root file list; CNNA.lean; lakefile.lean; lake-manifest.json; lean-toolchain; Repository/repo_snapshot/CNNA source tree; README.md; cleanup script policy.	Ensure package-root Lean/Lake project-control files are preserved; ensure generated docs/reports remain outside active root; update DBR10/GNG28 and README if the build-entry surface changes.	Package root contains the source/control files needed for local Lake build and contains no retained generated PDF/TeX/LaTeX byproducts or historical active reports.				
Root license, README and credit-surface workflow	Before packaging a tool release, when licensing/credits change, or when README files appear outside the package root.	Package root file list; README.md; LICENSE; license_notice table; metadata editor/assistant/minimum_assistant_requirement; full/context documentation generators; cleanup policy.	Keep README.md and LICENSE in package root; remove duplicate active README files in subdirectories; update license_notice/Stats/PDF author metadata; update DBR11/GNG29 and README if credits, license scope, or tested assistant setup changes.	Exactly one maintained README.md exists at package root; root LICENSE exists; generated full/context PDFs expose Editor and Assistant credits; package contains no root PDF/TeX/LaTeX byproducts.				
Generated PDF section-pagebreak workflow	When full or context documentation layout requirements change, especially section-boundary/page-navigation rules for review PDFs.	Full-document generator, context-document generator, Master YAML metadata, representative full/context PDF outputs, and the user-facing README command surface.	Patch generator preambles or layout macros; keep disposable generated TeX/PDF out of the package root; regenerate tables and representative PDFs; update DBR12/GNG30/SCF49 and README if user commands or layout expectations change.	The full documentation PDF and at least one context documentation PDF compile successfully, their generated TeX contains the section-pagebreak hook, and no Lean source or context-matching semantics are changed.				
Phase status release and red-lock workflow	Before adding phases, changing a phase status, advancing the active cursor, or preparing a Lean-derivation implementation prompt.	phase row; implementation_scratchpad.phase_type; prerequisite object IDs; proof dossier status; pre-implementation check result; current active cursor; relevant static findings and guardrails.	If phase_type=derivation and the phase is not closed, active, or explicitly implementable-after-predecessors, set it red. To release red, add a pre-implementation check that references already-derived Lean objects and sets yellow only for the unique active cursor or orange for later implementable phases. Keep white only for non-direct-Lean refactor/tool/infrastructure/documentation/comparison phases.	Generated tables pass validation: exactly one yellow phase; zero white derivation phases; red derivation phases carry lock language; any yellow/orange release has explicit prerequisite evidence or a corresponding pre-implementation check record.				
Documentation section explanation and appendix workflow	When a documentation section/table is confusing, redundant, or appears to duplicate a primary control surface.	Full-document section order, context-document SECTION_ORDER, static table paragraphs, Master YAML sections, generated exports, and user review feedback.	Add or tighten static generator-owned explanations, keep table rows dynamic, move narrow technical tables to appendix when they are not primary reading surfaces, and update DBR/GNG/static finding records if semantics change.	A reader can identify what each section/table displays, where the data comes from, why it is shown, and which table is authoritative for phase release. No dynamic prose rows are added only to explain static section purpose.				
Pre-substantive-code readiness and proof-gap audit workflow	Before starting any new substantive Lean/content implementation, especially before activating 1.1.1.2 or any later red locked derivation phase.	Current full zip; repo_snapshot/CNNA source tree; repo_inventory/raw_export module/import/declaration inventory; generated_exports consumption/object/proof/phase tables; local build result if refactor is executed.	Fill LEG37 source-intake ledger; create LEG38 neutral naming/facade plan; execute only approved LEG39 refactor package; regenerate inventory and close LEG40; issue LEG41 release proof or create upstream red blockers.	Exactly one active Y phase remains. No new substantive Lean code begins until LEG41 references closed derived-only/verified objects and the stable neutral API/source surface.				
Provider-neutral SQL public read-only mirror and web-frontend workflow	When the database/web-publication sidechain is activated or when a provider-neutral SQL database mirror, public read-only API, cnna-project.net frontend, reviewer annotation layer or direct importer is designed.	Master YAML, generated TSV exports, repo_inventory/raw_export, all three timestamp-complete version pairs (lean_data_version/lean_data_timestamp, planning_data_version/planning_data_timestamp, tool_infrastructure_version/tool_infrastructure_timestamp), source zip name, YAML/repo inventory/tool hashes, public read-only database endpoint/credential for read-only frontend, local admin write credential key only via .env for admin importer if/when executed, and CEX16 red-failure-history schema when CI history is exposed. lean_data_version is the Lean toolchain/API level; lean_data_timestamp is the Lean source/data snapshot time.	Add or update DBR15-DBR20, schema/import/read-only access policy/frontend contracts, snapshot/checksum records, read-only grant/access tests, public view definitions, README/manual commands, archive report and failure-history views if red CI history is public. Never store secrets in repo/chat.	A DB mirror phase may close only when every public current row traces to a snapshot_id with all three version+timestamp pairs, public read-only access is read-only through api.* views, internal/admin schemas are closed, admin write credential remains server/local-admin only, and a YAML/export roundtrip or import report is archived. If CI history is exposed, red failure rows must be visibly separated from green current rows and linked to repair phases. The Lean pair must remain asymmetric when appropriate: toolchain version is not the source snapshot timestamp.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
Generated PDF typography profile workflow	When generated full/context documentation readability or typography scaling changes are requested.	Full-document generator, context-document generator, table generator, representative full/context PDF outputs, generated TeX audit and README command surface.	Patch generator-level size profile, regenerate tables, compile representative PDFs, render sample pages, update DBR21/GNG35/SCF54 and README if user-facing layout expectations change.	Generated full and context PDFs compile with the intended typography profile, generated TeX shows the larger size profile, representative pages render without obvious clipping/black-glyph failure, and no Lean/YAML semantics change.				
Context-class assignment	Whenever a phase or object is created, moved, reclassified, exported to DB, or rendered in a phase/object table.	Declared Context class from context_class_taxonomy plus phase_type/object provenance/status fields.	Master YAML phase/object row; proof dossier if object; scratchpad if phase; generated tables and TSV exports.	No blank Context class; class must not contradict handoff/access rights or generated table semantics.				
Object patch and supersession lifecycle workflow	A Lean/planning/tool object is patched, semantically replaced, or receives a corrected canonical description/dossier.	Old object ID, old dossier pointer, new or corrected object ID/dossier, patching phase ID, reason for replacement, snapshot/version timestamps and affected consumers.	Do not overwrite the old object row. Set old Object lifecycle state to superseded, fill Lifecycle successor/current object and Lifecycle note, keep old proof dossier readable, create or update the successor object/dossier, link the successor phase to the old phase/object, and record consumer migration duties.	The lifecycle chain is acyclic, the old object remains queryable as historical provenance, the new/current object has a current dossier pointer, and no phase is marked outdated.				
Object rename lifecycle workflow	A Lean declaration/module/object or planning object is renamed without intending to preserve the old name as current canonical API.	Old name/ID, new name/ID, rename phase, module/declaration diff evidence or planning diff, affected imports/consumers, old and new dossier pointers.	Retain the old object row as renamed-alias, point it to the new/current object, preserve the old dossier as historical alias evidence, create/update the new object row and dossier, and record any migration links in module/object registers.	Explorer/SQL views can resolve old aliases to the current object while still displaying original provenance; no historical row is deleted or silently merged.				
