Topic	Assessment	Decision
Heuristic Eisenstein/Gauss lattice tests	Post #97 gives a useful heuristic for 120-degree Eisenstein and 90-degree Gauss spiral embeddings of a b-ary tree, but it does not define the code branching object and includes irrational/analytic targets outside ExecComplex.	Represent this material as a consumer-only test matrix after generator/lattice/CM/j source objects exist. Use code-defined b and L_max; operational rows may compute finite relations and rational/integer invariants, while tau, sqrt(D), coordinates, and analytic j stay in mirror/comparison layers.
General early finite test matrix vs. specialized sentinel rows	Eisenstein/Gauss tests are valuable early sentinels, but two special examples cannot certify that the computable path is general or non-skeletal.	Introduce O07 as the generic finite computation test matrix. L09/L10/M08/BR10 are specialized consumers/sentinel extensions. Every computation phase must define generic rows before or alongside sentinels.
Regime split for Heegner/CM test rows	The nine classical class-number-one/Heegner fields are number-theoretic comparison targets, but CNNA closed/unitary status is a regime statement, not a class-number statement. The noOuter empty-set REAL-root branch may have only Eisenstein/Gauss as early sentinel candidates; additional Heegner targets are naturally treated as IDEAL_infty projection/complement-family rows until proven otherwise.	Implement regime-typed test rows. Generic finite rows come first. Eisenstein/Gauss may be tested as noOuter-root sentinels. All other Heegner/CM targets default to HasOuter/complement-projection or comparison-only rows unless a later proof derives noOuter provenance.
EXEC-3 computable scalar architecture	ExecComplex is code-confirmed as rational pairs QxQ and maps into mathlib Complex through ExecComplexBridge. This is executable and robust for rational/integer matrix, polynomial, determinant and discriminant data, but it cannot represent general algebraic irrational coordinates such as sqrt(D) or tau. The need for a quadratic layer is therefore foreseeable; the provenance question is solved by indexing it by derived D.	Keep ExecComplex as the rational operational floor. Do not expand it into a full Complex layer. Treat O09 as a required exact quadratic schema for later CM/lattice coordinates, but concrete instantiation requires O10/BR14 and a proof-carrying discriminant D-source.
Exact quadratic layer versus full computable Complex	Mathlib Complex is Real x Real, and mathlib number fields/algebraic closures are formal rather than generally executable. Mathlib QuadraticAlgebra gives explicit coordinates and multiplication; AdjoinRoot demonstrates relation-generated root adjoining via quotient, but docs expose noncomputable instances that require boundary audit.	Implement or wrap a minimal discriminant-indexed exact quadratic schema rather than a full computable Complex. Mathlib QuadraticAlgebra may guide/wrap the schema after audit; AdjoinRoot is a useful quotient/reference pattern but any noncomputable quotient/field instances must stay out of operational code unless isolated.
Cayley-Dickson route to C-layer noncircularity	The current CD code is structural and shares Schur provenance; ArithmeticCDBridge explicitly records no ExecMirror-CDComplex identification without a transfer lemma. A CD-derived C surface is therefore not currently an operational scalar replacement.	Do not derive the operative C-layer from Cayley-Dickson before CD7/BR08/CD8. Register CD9 as a late noncircularity audit. If proved, it may compare or bridge scalar surfaces; it may not retroactively justify earlier ExecComplex or arithmetic definitions.
EXEC-4 derived-only exact quadratic provenance	The later theory will need exact quadratic data, but derived-only forbids introducing sqrt(D) as a number, axiom, or CD/Complex import. The only acceptable source is an already derived operational discriminant parameter D.	O09 is a parameterized algebraic schema with theta^2 = D. O10/BR14 instantiate it only from O05/O06 or equivalent proof-carrying discriminant ledgers. Missing D is an upstream discriminant-source gap, not a scalar-layer patch.
PHASE-5-10 dependency bifurcation	v36 placed spectral/physical objects inside or behind a modular-form/j chain, even though SP0/SP1/P00-P06 consume finite boundary matrices, algebra/star/state/regime data and not j or modular forms. Phase 10 also mixed modular, transfer, spectral, analytic and bridge targets.	Split the post-Phase-4 roadmap into Path A (number theory -> lattice geometry -> modular/j -> analytic theta/L/class-number formula) and Path B (spectral finite profile -> finite physical/operator dynamics -> heat/spectral geometry -> transfermatrix -> late Schur/CD bridges). No object may inherit a modular-form dependency unless its proof target explicitly consumes modular data.
PHASE-OBJECT-LINK policy	The phase table previously rendered Linked objects from direct equality object.Phase == phase.Phase only. Empty cells were often valid for umbrella, closeout, baseline or moved phases, but the view did not explain that and could be mistaken for missing objects.	Every phase has an explicit Object link policy: direct, scope_only, no_direct_object, or moved. The generator renders policy-aware text and validates that direct phases have direct objects and scope-only phases have child object scope. Blank Linked objects cells are forbidden.
ONT-1 ontic subsystem-minimality	Without an explicit ontic-minimality contract, later phases could silently import dynamics, environment, geometry, stochasticity, arithmetic, operator algebra or physics as primitive interpretation rather than deriving them from the subsystem/complement cut.	The only primitive ontic emergence trigger is subsystem-being inside the formal IDEAL_infty provenance whole. All effective structures are derived downstream from cut, boundary, complement families, regime and Schur/DtN consequences. Physical readings are consumer interpretations, never generative inputs.
DB-REVIEW main side objective and database-ready planning representation	The Single-YAML-Master remains the maintained planning source, but its information should be structured so phases, objects, modules, handoffs, status colors, theory links, proof dossiers, and review paths can later be queried through a relational or graph-friendly database.	Add Phase 20 as a non-blocking main side objective. Technical database implementation is later, but schema discipline and review semantics apply immediately. YAML/PDF/TSV/DOT are generated views, not a second truth system.
Epistemic review status and no-infallibility maxim	A green Lean build proves formal consistency relative to selected definitions, not semantic infallibility of modeling choices, interpretations, or established-theory attachments. Generated artifacts can also contain semantic errors.	Record the maxim that nothing is infallible and no 100-percent truth is declared. Every relevant claim remains under discipline-specific expert review, and missing blue/reference-theory markings are active audit debt.
OOP-style context-class separation for phases and objects	The previous status colors were doing two jobs: release-state signaling and, implicitly, type/context signaling. That risks a category error: a green tool/database/reference object can look like a green Lean object.	V1.26 adds Context class as an orthogonal class/type field on all phases and objects, renders it in phase/object/proof/scratchpad/module-manifest tables, and keeps status colors strictly as release/proof-state indicators.
Object lifecycle versus phase history	Object rows can lose currency when patched, renamed, deleted or retired; phase rows represent historical implementation/review events and therefore should not become outdated. Scratchpads and dossiers need different ownership semantics to avoid contradictions.	Every object receives lifecycle fields: Object lifecycle state, Lifecycle predecessor object(s), Lifecycle successor/current object, Lifecycle note and Current dossier pointer. Object dossiers remain object-owned; scratchpads remain phase-owned implementation records; lifecycle metadata cross-links them. Old objects are retained and point forward; old phases are retained and linked to patch/successor phases.
Original roadmap as legacy/reference migration source	The uploaded CNNA_Roadmap_v0605_revised_v38_reviewfix_umlaute.tex contains useful source hierarchy, migration, chain-sheet, gate, de-seeding, D/E, matter-audit and meta-audit obligations, but it is not checked Lean and cannot become CNNA-generative data.	Register roadmap material through external-source cross-check rows, roadmap ledger objects and narrow future phases. The roadmap may force gates and audit duties; it may not supply axioms, proof closure or direct object validity.
Roadmap chain sheets as first-class planning gates	The original roadmap chain sheets expose dependency order that was too coarse in the previous B/D/E blocks.	Represent modular B core, Nuclearity/DHR/DR, ParameterClosure, D local-covariance/Hadamard/Wick and D/E/Feynman matter chains as explicit phase/object/gate obligations.
Astronews #27 generated-data closure semantics	The project self-audit distinguishes algebraic skeleton success from genuine derived-only closure. A compiled skeleton can be an idle run; the closure claim requires generated data to traverse the operational machinery.	Treat this as global status semantics: green/derived-only closure requires skeleton, proof obligations and operational generated-data smoke evidence.
Astronews #28 YAML and Explorer as epistemic control	The public project statement identifies PDF/TeX as insufficient datastores for CNNA-scale complexity and motivates YAML, generated views, SQL mirrors and an exploratory Mindmap/Universe-Explorer.	Record the Explorer as epistemic control and review infrastructure, not presentation vanity. YAML is the planning source; SQL/Explorer are read-only/generated mirrors; PDF/TeX are secondary renderings.
Astronews #29 no-free-parameter foundation and regime split	The foundation is described as root/empty-set partial order plus finite subsystem selection, with root approximation closed/unitary/no dark-interface and non-root approximation complement-bearing/effectively open. Parameters such as L_max and branching need theory-internal derivation/backreaction provenance.	Promote this to global postulate/guardrail semantics and require explicit parameter provenance before any handoff/export.
