Phase	Main goal	Source objects/dependencies	Definitions/objects	Current code modules	Target modules/objects	Proof goals	Phase status	Object link policy	Object link explanation	Child object scope	Context class	Phase documentation tier	Phase documentation depth requirement	Change version	Change timestamp	Change class	Change note
1.1.1.1.0.5	Phase-type-specific scratchpad schema and governance-depth review gate	1.1.1.1.0.4; current scratchpad schema; governance-to-math ratio review	phase_type = baseline/refactor/infrastructure/derivation/comparison/documentation; type-specific required evidence; governance-depth retrospective after first real code change	Planning master and generated scratchpad renderer	LEG23; phase_type scratchpad fields; governance_overhead_review field	Avoid dead scratchpad ballast: refactor phases must record migration metrics; derivation phases must record proof rehearsal and tactics; comparison phases must record derived-only boundary. After Phase 1.1.2, review whether governance depth should be flattened for Phase 3+.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.				
1.1.1.1.0.6	Phase 3 to Phase 4 consumer-contract direction lock	1.1.1.1.0.5; GEN-1 canonical generator policy; Phase 3.6 BoundaryOperatorProfile; Phase 4.1 ExecBoundaryMatrix	BoundaryOperatorProfile exports a consumer-ready contract for the operational generator path; Phase 4 consumes Phase 3 output; Phase 3 does not import Phase 4 implementation	Future Schur/DtN neutral wrappers; future Operational/ExecComplex wrappers	LEG24; updated Phase 3.6/4.1 phase goals and scratchpad consumer_contract_direction fields	Keep the dependency direction mathematically correct while making the downstream consumer contract visible early: Phase 3.6 must publish the boundary/operator profile in the shape Phase 4 needs, without importing Phase 4.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.7	IdealThread/CutSpec.full extremal-route contract and string-analogy boundary lock	Code-checked definitions: InfiniteThread/IdealThread, IdealThread.carrier/family/coarsen, CutSpec.full, ExistingIdealThreadNoGo, FullBoundaryAudit.	LEG25; IdealThread singleton route; CutSpec.full maximal route; scalar-collapse warning; comparison-only string-analogy boundary.	CNNA/PillarA/Foundation/SubstrateClass.lean; CNNA/PillarA/ToC/Contract.lean; CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean; CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean	No Lean module in this decision gate. Later neutral modules: CNNA/PillarA/ToC/IdealThreadProfile.lean; CNNA/PillarA/Finite/FullCutProfile.lean; CNNA/PillarA/Schur/BoundaryRouteContract.lean.	Record that IdealThread is singleton per level and coarsen-fixed under deterministic substrates, while CutSpec.full carries T.carrier. Do not use IdealThread as a full-boundary source; keep string-like analogy as interpretation/comparison only.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.8	Horizontal/vertical Schur-complement duality dependency-order lock	Review insight; existing Schur/CD/arithmetic plan; no Lean code movement.	LEG27; GNG14; BR08/BR09/CD8 dependency-order correction; one-generator bridge boundary	Planning-only decision gate; existing code not modified.	masters/cnna_roadmap_master.yaml; generated format decisions, workflow policy, object proof dossiers	record that horizontal sector Schur and vertical level Schur may be investigated only after their separate routes are neutralized/proved; forbid using the duality as an input to earlier phases	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.9	Heuristic Eisenstein/Gauss lattice test-matrix boundary and ordering lock	1.1.1.1.0.2 EXEC-2; 1.1.1.1.0.6 Phase-3 to Phase-4 consumer direction; 1.1.1.1.0.7 IdealThread/CutSpec route split; TomS thread post #97	LEG28 heuristic lattice test-matrix contract; angle/cosine, closure depth, CM-point, D, Gram, j special-value test targets; operational-vs-mirror split	No new Lean module yet; future tests must inspect existing generator/branching/level APIs and use the code-defined b, not the forum drawing convention.	Planning target only now. Future code target must be decided by module manifest, likely a compact test/profile module under the neutral lattice/arithmetic test surface rather than a new generator.	Lock that post-97 Eisenstein/Gauss geometry is not a generator definition. It becomes a future test matrix: static and dynamic code-defined branching over several L_max values, computing rational/integer operational invariants and comparing mirror-only CM/j targets after their source objects exist.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.10	General early finite computation test-matrix contract and non-specialization lock	1.1.1.1.0.9; concrete computable instance traversal contract; canonical generator policy; EXEC-2; heuristic lattice sentinel rows from post #97	LEG29; O07; generic finite test matrix schema; sentinel-row policy; static/dynamic branch-mode coverage; L_max sweep coverage; executable-witness requirement	Planning/YAML only; no Lean code change.	Future test modules must consume the canonical generator/branching API and existing computation modules; exact module names fixed by Phase 1.1.1.1.1 manifests before implementation.	Lock that Eisenstein/Gauss are sentinel rows inside a general test matrix, not the whole test purpose; every computable operational path must have finite non-skeletal instances before promotion.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.11	Regime-typed early test matrix and Heegner-projection lock	1.1.1.1.0.10 general test matrix; noOuter/HasOuter regime discipline; EXEC-2; IDEAL_infty/projection discipline; post #97 heuristic; external class-number-one list as comparison only	LEG30, O08, N18, BR11, BR12; regime-tagged test rows; noOuter-root sentinels; HasOuter/complement-projection rows; Heegner comparison targets	Planning/YAML only; no Lean code change.	Future implementation extends O07 test-matrix profile or its natural owning module; exact module names fixed by Phase 1.1.1.1.1 manifest.	Lock that Eisenstein/Gauss may be early noOuter/REAL-root sentinel candidates, while additional Heegner/class-number-one targets are not closed-system outputs by default but complement-projection/comparison rows unless their regime is derived. Prevent h(D)=1 from being used as noOuter evidence.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.12	Computable scalar architecture decision: ExecComplex boundary, required exact quadratic layer, and Cayley-Dickson noncircularity lock	O00, LEG20, LEG22, LEG30; Foundation/ExecComplex.lean; Foundation/ExecComplexBridge.lean; Arithmetic/CayleyDickson/ArithmeticCDBridge.lean; mathlib Complex and QuadraticAlgebra docs	LEG31, O09, BR13, CD9	Planning/master only; code facts audited from repo_snapshot paths and repo inventory; no Lean code change.	Global scalar architecture contract before implementation module manifest; later candidate modules must be proposed by Phase 1.1.1.1.1 before code exists.	Lock the decision that ExecComplex is not a complete C layer; general Complex/Real analytic data remain mirror-only; an exact quadratic algebraic layer is required for CM/lattice coordinates but cannot be instantiated without a proof-carrying D-source; CD-derived C cannot be consumed as a replacement unless noncircular provenance is proved.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1.1.0.13	Derived-only exact quadratic algebra provenance lock: no free sqrt(D)	1.1.1.1.0.12 scalar architecture; O00 ExecComplex floor; O05/O06 operational discriminant path; mathlib QuadraticAlgebra and AdjoinRoot reference docs; Cayley-Dickson noncircularity lock	LEG32; O09 reinterpreted as a required discriminant-indexed exact quadratic algebra schema; O10/BR14 future proof-carrying instantiation gate; GNG19 no-free-sqrt rule	Planning/master only; no Lean code change.	masters/cnna_roadmap_master.yaml; generated scalar architecture decisions, guardrails, proof dossiers, and future phase contracts	Lock that sqrt(D) is never introduced as an axiom or external number. The operational route is: Schur/DtN/charpoly/determinant -> proof-carrying D : Int -> canonical algebra with theta^2 = D over Q -> exact coordinate computations -> rational/integer invariant projection. If D is missing, backjump to the discriminant source rather than patching a scalar consumer.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1.1.0.14	Phase 5-10 dependency bifurcation lock: number-theory/modular path separated from spectral/physical consumers	v36 phase/object register; object phase audit for N/L/M/SP/P/TM/BR/CD groups; Phase 4.1 ExecBoundaryMatrix dependency; Phase 8/9 modular-form chain	LEG33 phase-path bifurcation and dependency repair contract; GNG20 no artificial modular-form bottleneck for physical/spectral finite consumers	masters/cnna_roadmap_master.yaml; generated_exports/phase_roadmap.generated.tsv; object register; no Lean code	Corrected Phase 5-10 roadmap: Path A number-theory/geometric/modular/analytic targets; Path B spectral/physical/transfer/bridge targets	Planning proof: SP0/SP1/P00-P06 consume Phase 4.1/finite boundary matrices and regime data, not Phase 8 modular/j objects. M00-M07 belong to the modular path. TM0-TM2 belong to Schur/transfer path and feed BR08 rather than modular-form phases.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.15	Global phase-object-link policy: no ambiguous empty Linked-objects cells	v37 phase table; object register; generator rule object.Phase == phase.Phase; phase hierarchy; umbrella/routing/closeout/moved placeholders	LEG34 phase-object-link-policy contract; object_link_policy kind direct/scope_only/no_direct_object/moved; validator rule that empty direct object lists require explicit non-direct policy	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; generated phase table; object register; no Lean source	Phase table Linked objects cells render direct object links, child-scope summaries, no-direct-object explanations, or moved placeholders; generated policy table; hard generator validation	Planning-infrastructure proof: a blank Linked objects cell is forbidden unless the phase explicitly declares why it has no direct object ownership. Direct ownership remains object.Phase == phase.Phase; umbrella phases may show child scope but do not steal object ownership from child phases.	G	direct	owns LEG34 directly as the global link-policy contract		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.16	Global ontic subsystem-minimality postulate and emergence-order lock	IDEAL_infty formal provenance whole; subsystem/cut/approximant discipline; noOuter/HasOuter regime split; complement-family contract; Schur/DtN emergence chain; prior global no-go guardrails	LEG35 ontic subsystem-minimality contract; POST1 global postulate; GNG22 no non-subsystem ontic primitives; allowed primitive = subsystem-being only	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; generated global postulate table; no Lean source	Global postulate rendered before workflows and phase table; object/proof-dossier record LEG35; scratchpad inheritance and no-go enforcement for later phases	Planning/architecture proof: dynamics, spectra, algebra, arithmetic, geometry, stochasticity, openness, unitarity and physical interpretation are not primitive inputs. They must be derived from subsystem/cut, complement/regime and Schur/DtN consequences inside IDEAL_infty formal provenance.	G	direct	owns LEG35 directly as the global ontic-minimality contract		LeanGovernancePhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1.1.1	Implementation module manifest and semantic placement gate	1.1.1.1.0-1.1.1.1.0.8; generated module inventory; static code audit; current active cursor; 1.1.1.1.0.10 general test-matrix contract; 1.1.1.1.0.11 regime-typed test-matrix lock; 1.1.1.1.0.13 derived quadratic algebra provenance lock; 1.1.1.1.0.15 phase-object-link policy lock	implementation module manifest; semantic placement decisions; module budget; phase_type obligations; refactor/derivation/comparison-specific evidence fields	masters/cnna_roadmap_master.yaml; repo_inventory/raw_export/modules.json; repo_snapshot/**/*.lean	LEG10 ModuleImplementationManifest; generated scratchpad contract; no Lean code move yet	Produce a compact pre-code manifest: exact new/modified modules, semantic placement, reuse decision, consumer direction, phase_type obligations, regression protocol, version impact, and no duplicate generator logic. No Lean source is changed in this gate. Include generic finite test placement for upcoming computation modules; special sentinel tests are insufficient. The manifest must also decide where regime-tagged generic rows, noOuter-root sentinel rows, and HasOuter/complement-projection comparison rows live without duplicating the generator. Scalar modules must distinguish parameterized schema from proof-carrying D-instantiation. The manifest must also state whether the target implementation phase owns direct objects, consumes child-scope objects, or is objectless infrastructure under the global phase-object-link policy.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.2	Reuse and duplication audit with canonical theory/smoke-test generator policy	1.1.1.1.1; existing Smoke/Test generator modules; repo symbol/reference summaries; planned phase outputs	ReuseDuplicationLedger; CanonicalGeneratorPolicy; single-source generator extension rule; duplicate implementation ban	Arithmetic/Smoke/*Generator*; Arithmetic/Smoke/*Generated*; repo_inventory/raw_export/symbol_reference_summary.json	LEG11 ReuseDuplicationLedger and CanonicalGeneratorPolicy; no second generator module unless the manifest proves a genuine semantic split	Closed as a planning/API governance gate: generator-like code must consume, extend, or wrap the canonical seam recorded in LEG11; parallel request/output, extraction, ledger, or smoke-test generators are blocked unless a genuine semantic split is explicitly recorded in the reuse ledger.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.3	Object and quantities proof-documentation infrastructure gate	1.1.1.1.2; object register; code derivation sites; blue-object correction ledger requirements	ObjectProofDossier; ObjectProofDocumentationStatus; proof-dossier anchor/link; per-object fields for documented yes/no, source objects, definitions, proof target, proof sketch, and verification/audit result	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; generated_exports/object_proof_documentation.generated.tsv; tables/object_proof_documentation.tex; tables/object_proof_link_register.tex; generated PDF/TSV views	object_proof_dossiers top-level YAML section; object proof documentation generated table; object-register proof-documentation columns; workflow policy entry for documentation as third workflow	Closed as an infrastructure-only gate. The generator validates one object-proof-dossier row per registered object/quantity, exact object-register proof links of the form proof:<ID>, matching object names/phases, and non-empty proof-documentation fields. Documentation may still be no/partial until the natural object phase fills the mathematical proof content; blue objects remain blocked from public-final promotion until semantic correction and dossier verification are both recorded.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		DocumentationPhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.4	Declaration consumption classification map finalization	1.1.1.1.3; LEG10 module manifest; LEG11 reuse/generator audit; proof-documentation infrastructure; declaration/reference inventory	consumption_classification_map with classes core-computational, proof-bridge, public-wrapper, legacy-status, legacy-policy, phase-alias, audit-only, blue-semantic-correction, dead-candidate, final-output	repo_snapshot/**/*.lean; repo_inventory/raw_export/*.json; generated_exports/*.tsv	LEG5 Declaration consumption classification map; generated module/declaration/object consumption records; no Lean declaration move	LEG5 closed as a generated classification policy plus module/declaration/object TSV exports. Semantic consumption is separated from BuildAll/import reachability; blue objects remain blocked from public-final classification.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.				
1.1.1.1.5	Pre-substantive-code readiness umbrella: semantic consolidation, full IST intake, neutral naming, refactor, post-scan, and release proof	1.1.1.1.1 module manifest; 1.1.1.1.2 reuse/duplication ledger; 1.1.1.1.4 declaration consumption map; repo_inventory/raw_export modules/import_edges/symbol references; direct code spot-checks of clone/schema families	LEG36 umbrella plus LEG37-LEG40 readiness ledgers: semantic module consolidation, full IST source/object intake, neutral module naming/facades, post-refactor inventory re-scan, and pre-code release certificate.	repo_snapshot/CNNA/PillarA/Arithmetic/BoundarySource/{BoundaryStateSubstrate,BranchAddressSubstrate,HistoryExpandedSubstrate,InterfaceExposureSubstrate}.lean; repo_snapshot/CNNA/PillarA/Handoff/Outputs/A_to_{C,D,E}.lean; repo_snapshot/CNNA/PillarA/Handoff/Inputs/{B,C,D,E}_to_A.lean; Smoke/GeneratedInterior*/Operational* chains; Structural/CayleyDickson/S6* chain; Arithmetic/Notation.lean	LEG36, LEG37, LEG38, LEG39, LEG40; no new substantive Lean mathematics until child sequence closes.	Umbrella only. The active cursor is delegated to child Phase 1.1.1.1.5.1. This row is not a release proof for new Lean content; it records the pre-code readiness sequence.	W	direct	phase owns direct registered object(s) through object.Phase == phase.Phase	LEG36, LEG37, LEG38, LEG39, LEG40	LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
