Module	Path	Group	Consumption class	Classification evidence	Imported-by count	Reference consumer count	Reference consumer sample	Public promotion gate
CNNA.PillarA.Arithmetic.BoundarySource.MultiSchurToLevelHistoryAdapter	CNNA/PillarA/Arithmetic/BoundarySource/MultiSchurToLevelHistoryAdapter.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	1	CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceTypeDecision	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryCarrier	CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryCarrier.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	7	CNNA.PillarA.Arithmetic.BoundarySource.LevelHistoryMatrix	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryRoute	CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryRoute.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	31	CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceConvergence; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryTypeDecision	CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryTypeDecision.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	2	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BuildAll	CNNA/PillarA/Arithmetic/BuildAll.lean	PillarA/Arithmetic	public-wrapper	build/umbrella module wrapper; wrapper is not semantic final proof evidence	1	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	PillarA/Arithmetic	proof-bridge	module name carries certificate/proof/bridge/identity role	4	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	9	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface	CNNA/PillarA/Arithmetic/Convergence/QuaternionRamanujanInterface.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	13	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Core.BrightDtNSource	CNNA/PillarA/Arithmetic/Core/BrightDtNSource.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	10	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Core.FullBoundaryAudit	CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	3	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Core.MatrixTransport	CNNA/PillarA/Arithmetic/Core/MatrixTransport.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	4	CNNA.PillarA.Arithmetic.Core.BrightDtNSource	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Core.Source	CNNA/PillarA/Arithmetic/Core/Source.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	4	109	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Graph.CheegerSeed	CNNA/PillarA/Arithmetic/Graph/CheegerSeed.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	12	CNNA.PillarA.Arithmetic.Graph.RamanujanTest	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Graph.RamanujanTest	CNNA/PillarA/Arithmetic/Graph/RamanujanTest.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	3	CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Graph.SpectralGapSeed	CNNA/PillarA/Arithmetic/Graph/SpectralGapSeed.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	5	CNNA.PillarA.Arithmetic.Graph.CheegerSeed	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Notation	CNNA/PillarA/Arithmetic/Notation.lean	PillarA/Arithmetic	legacy-policy	notation/control module; public syntax surface, not a mathematical generator	2	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Orders.DiscriminantConvention	CNNA/PillarA/Arithmetic/Orders/DiscriminantConvention.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	16	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Orders.NormForms	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Orders.NormForms	CNNA/PillarA/Arithmetic/Orders/NormForms.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	40	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Orders.QuadraticOrder	CNNA/PillarA/Arithmetic/Orders/QuadraticOrder.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	6	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Orders.DiscriminantConvention	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.CharpolyC	CNNA/PillarA/Arithmetic/Schur/CharpolyC.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	29	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.CharpolyExec	CNNA/PillarA/Arithmetic/Schur/CharpolyExec.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	5	158	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.CharpolyC; CNNA.PillarA.Arithmetic.Schur.L1Baseline; CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelHistoryCharpolyExecFromMirrorSM9b	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.HigherLevelCertificates	CNNA/PillarA/Arithmetic/Schur/HigherLevelCertificates.lean	PillarA/Arithmetic	proof-bridge	module name carries certificate/proof/bridge/identity role	3	13	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.HigherLevelOutcomeRouter	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.HigherLevelDiscriminants	CNNA/PillarA/Arithmetic/Schur/HigherLevelDiscriminants.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	5	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.HigherLevelOutcomeRouter	CNNA/PillarA/Arithmetic/Schur/HigherLevelOutcomeRouter.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	8	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.HigherLevelDiscriminants	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.HigherLevelPredictionLedger	CNNA/PillarA/Arithmetic/Schur/HigherLevelPredictionLedger.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	32	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.HigherLevelCertificates	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.IdentityLedger	CNNA/PillarA/Arithmetic/Schur/IdentityLedger.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	4	13	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.L1Baseline	CNNA/PillarA/Arithmetic/Schur/L1Baseline.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	7	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.L2Eisenstein	CNNA/PillarA/Arithmetic/Schur/L2Eisenstein.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	12	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.L3Gaussian	CNNA/PillarA/Arithmetic/Schur/L3Gaussian.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	4	27	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.IdentityLedger	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.MobiusTransfer	CNNA/PillarA/Arithmetic/Schur/MobiusTransfer.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	14	CNNA.PillarA.Arithmetic.Schur.RecursiveSchurSource	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.Recurrence	CNNA/PillarA/Arithmetic/Schur/Recurrence.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	14	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.CharpolyExec	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Schur.RecursiveSchurSource	CNNA/PillarA/Arithmetic/Schur/RecursiveSchurSource.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	20	CNNA.PillarA.Arithmetic.Schur.Recurrence	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedApproximantCore	CNNA/PillarA/Arithmetic/Smoke/GeneratedApproximantCore.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	265	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedBoundaryInteriorPartition	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceExecBoundaryOperatorFromSM4qRecheckSM5q	CNNA/PillarA/Arithmetic/Smoke/GeneratedArithmeticSourceExecBoundaryOperatorFromSM4qRecheckSM5q.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	6	CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepExecMirrorSourceFromSM5qRecheckSM6b	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceExecBoundaryOperatorSM5q	CNNA/PillarA/Arithmetic/Smoke/GeneratedArithmeticSourceExecBoundaryOperatorSM5q.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	6	CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceExecBoundaryOperatorFromSM4qRecheckSM5q	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceSM5	CNNA/PillarA/Arithmetic/Smoke/GeneratedArithmeticSourceSM5.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	23	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedArithmeticSourceExecBoundaryOperatorSM5q; CNNA.PillarA.Arithmetic.Smoke.GeneratedLevelStepWitnessSM6	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedBoundaryInteriorPartition	CNNA/PillarA/Arithmetic/Smoke/GeneratedBoundaryInteriorPartition.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	532	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedDirichletEntry	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedDegreeFormulaAuditSM3db2eR0	CNNA/PillarA/Arithmetic/Smoke/GeneratedDegreeFormulaAuditSM3db2eR0.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	11	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedDegreePivotReciprocalProfileFromWeightPolicySM3db2eR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedDegreePivotReciprocalProfileFromWeightPolicySM3db2eR	CNNA/PillarA/Arithmetic/Smoke/GeneratedDegreePivotReciprocalProfileFromWeightPolicySM3db2eR.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	10	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDegreeReciprocalSourceSM3db2fR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedDegreePivotScaleSourceSM3db2dR	CNNA/PillarA/Arithmetic/Smoke/GeneratedDegreePivotScaleSourceSM3db2dR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	10	CNNA.PillarA.Arithmetic.Smoke.GeneratedDegreeFormulaAuditSM3db2eR0; CNNA.PillarA.Arithmetic.Smoke.GeneratedOperationalDegreeReciprocalSourceSM3db2fR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedDirichletEntry	CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletEntry.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	266	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedDirichletExecEntrySourceSM3bq; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlock	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedDirichletExecEntrySourceSM3bq	CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletExecEntrySourceSM3bq.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	22	CNNA.PillarA.Arithmetic.Smoke.GeneratedInverseCandidateExecEntrySourceSM3eRq	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedGeneralizedTopBoundaryDtNSM3hR	CNNA/PillarA/Arithmetic/Smoke/GeneratedGeneralizedTopBoundaryDtNSM3hR.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	12	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedResetSM3LedgerSM3iR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedEntryCancellationFromTerminalIdentityR3c1e	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorAccumulatedEntryCancellationFromTerminalIdentityR3c1e.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	1	CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTraceCancellationR3c2	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedEntryCancellationR3c1	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorAccumulatedEntryCancellationR3c1.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	9	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedEntryCancellationFromTerminalIdentityR3c1e	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedTraceEvaluation	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorAccumulatedTraceEvaluation.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	59	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldNormalFormR3c1a; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorInverseCandidateMatrix	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlock	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlock.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	41	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorEliminationCandidate	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldInvarianceR3c1c	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlockFoldInvarianceR3c1c.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	20	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTracePivotTerminalCoverageSourceSM3db3aR	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldKernelLocalSchurResidualBridgeR3c1b1	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlockFoldKernelLocalSchurResidualBridgeR3c1b1.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	3	19	CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorLocalStepCancellationR3c1bFull	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldNormalFormR3c1a	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlockFoldNormalFormR3c1a.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	21	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedEntryCancellationR3c1; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorLocalStepSchurCancellationSourceAuditR3c1b0	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldTerminalIdentityFromSM3db4aWR3c1dFull	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlockFoldTerminalIdentityFromSM3db4aWR3c1dFull.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	2	1	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorBlockFoldTerminalIdentityR3c1d	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlockFoldTerminalIdentityR3c1d.lean	PillarA/Arithmetic	phase-alias	phase/smoke-test namespace carries implementation-history aliases	4	33	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorAccumulatedEntryCancellationFromTerminalIdentityR3c1e; CNNA.PillarA.Arithmetic.Smoke.GeneratedInteriorTerminalIdentityFieldCertificateFromEquationSourceSM3db4aW	not public-final unless an object proof dossier and public API contract later permit it
