Phase	Phase status	Phase type	Context class	Title	Added modules	Modified modules	Reusable existing modules	Manifest rule	Semantic placement	Reuse/duplication audit	Canonical generator policy	Compactness rule	Duplicate risks	Consumer direction	Regression protocol	Lean/mathlib policy	Concrete traversal	Mathlib complication log	Noncomputable boundary audit
1.1.1.1.0.5	G	infrastructure	LeanGovernancePhase	Phase-type-specific scratchpad schema and governance-depth review gate				No code modules introduced by this gate.	Governance belongs in YAML master and future optional architecture policy modules only if code-level records become useful.	No duplicate implementation authorized; decision reduces future duplication risk.	Generator-like logic must consume the canonical smoke/theory generator path; no parallel implementation.	Do not split code solely for this planning decision; encode as workflow/format decision unless a reusable code-level policy module is later justified.		No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only gate: no operational Lean object introduced. Later operational phases must provide concrete finite instance traversal.	No direct mathlib import in this planning gate. Future phases must log complications.	No direct Lean boundary touched; future phases must audit noncomputable/classical pressure.
1.1.1.1.0.6	G	infrastructure	LeanGovernancePhase	Phase 3 to Phase 4 consumer-contract direction lock				No code modules introduced by this gate.	Governance belongs in YAML master and future optional architecture policy modules only if code-level records become useful.	No duplicate implementation authorized; decision reduces future duplication risk.	Generator-like logic must consume the canonical smoke/theory generator path; no parallel implementation.	Do not split code solely for this planning decision; encode as workflow/format decision unless a reusable code-level policy module is later justified.		Closed: Phase 3.6 exports consumer-ready profile; Phase 4.1 consumes; no reverse import and no duplicate generator/Schur implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only gate: no operational Lean object introduced. Later operational phases must provide concrete finite instance traversal.	No direct mathlib import in this planning gate. Future phases must log complications.	No direct Lean boundary touched; future phases must audit noncomputable/classical pressure.
1.1.1.1.0.7	G	infrastructure	LeanGovernancePhase	IdealThread/CutSpec.full extremal-route contract and string-analogy boundary lock				No code modules introduced by this gate; future module candidates are S07/S08/BR06/BR07 phases.	Place code-backed route facts in later neutral structural modules; place string-like interpretation only in secondary/documentation side roads.	Reuse existing ToC.Contract, CutSpec.full, ExistingIdealThreadNoGo, FullBoundaryAudit, RecursiveSchurSource and MobiusTransfer; no duplicate route implementation authorized.	Generator-like logic remains on the canonical smoke/theory generator path. IdealThread/string analogy may not instantiate a parallel generator.	Do not split code solely for this planning decision; encode as workflow/format decision unless a reusable code-level policy module is later justified.		Later phases consume route profiles one-way: S07/S08 feed BR06; BR06 feeds Phase 3/4; secondary analogy consumes dossiers only and never feeds A-generation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only gate; it requires later S07/S08/BR06/BR07 phases to show concrete finite reference/variation/full-cut instances before operational use.	No new mathlib import in this planning gate.	No Lean boundary touched; later route phases must audit noncomputable/classical pressure if they import additional mathlib APIs.
1.1.1.1.0.8	G	infrastructure	LeanGovernancePhase	Horizontal/vertical Schur-complement duality dependency-order lock										One-way only: earlier route phases export S05/O05/TM0/CD7/BR06/BR07 to BR08; BR08/CD8 may not backfeed into their definitions.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only gate; it requires later S07/S08/BR06/BR07 phases to show concrete finite reference/variation/full-cut instances before operational use.	No new mathlib import in this planning gate.	No Lean boundary touched; later route phases must audit noncomputable/classical pressure if they import additional mathlib APIs.
1.1.1.1.0.9	G	infrastructure	LeanGovernancePhase	Heuristic Eisenstein/Gauss lattice test-matrix boundary and ordering lock										Tests consume generator/geometry/CM outputs; they do not define those outputs.	No refactor performed in this phase; future code tests must keep the full local build green after each wrapper/test addition.	Lean/mathlib baseline remains 4.28.0 unless an explicit upgrade gate is opened.	Required for future implementation: at least b=2 with L_max=3 and 4, plus one code-defined dynamic-branching case if available; b=0/1 as degenerate controls only if the code exposes them legally.	Likely complication: analytic j/tau/sqrt(D) APIs may be noncomputable; keep those in mirror/comparison layer and record any import/noncomputable boundary explicitly.	Operational tests must avoid noncomputable analytic complex evaluation. Mirror tests may state comparison targets but must not feed operational definitions.
1.1.1.1.0.10	G	infrastructure	LeanGovernancePhase	General early finite computation test-matrix contract and non-specialization lock										Tests consume canonical generator and operational profiles. They do not define generator semantics.	No code movement here. Later refactors must keep generic test rows buildable as migration sentinels.	Version impacts are logged per test field. A mathlib upgrade may be required only at phase boundaries, never inside a half-migrated test harness.	Defines the global obligation: every operational computable phase must include or point to finite generated rows that actually traverse the path, not only typecheck a skeleton.	Future rows must log mathlib/noncomputable barriers per field, especially matrix inverses, polynomial APIs, discriminant APIs, and analytic j/elliptic APIs.	Any noncomputable pressure must be isolated to mirror/comparison layer or trigger a natural refactor; it cannot leak into operational row generation.
1.1.1.1.0.11	G	infrastructure	LeanGovernancePhase	Regime-typed early test matrix and Heegner-projection lock	none at decision gate; future target likely existing O07 test/profile surface	masters/cnna_roadmap_master.yaml; generated views	canonical smoke-test generator; regime split modules after Phase 1.3.2; O07 test matrix	pending Phase 1.1.1.1.1	test/schema layer, not generator layer	must reuse O07/canonical smoke-test generator; no parallel Heegner test generator	consume the one canonical generator only	do not create a new module unless existing test/profile module cannot own the semantics	Heegner row schema; CM sentinel profile; closed-system sentinel tags	test matrix consumes regime/generator outputs; regime/generator definitions do not consume tests	no code movement in this gate; future test implementation must preserve full local build green status	4.28.0 baseline unless version gate explicitly opens upgrade	required later: every row must contain actual finite generator traversal evidence or remain unclosed	record any class number/CM/j mathlib dependency or noncomputable boundary explicitly	Heegner/class-number and analytic j data are comparison/mirror until operational invariant is derived
1.1.1.1.0.12	G	infrastructure	LeanGovernancePhase	Computable scalar architecture decision: ExecComplex boundary, required exact quadratic layer, and Cayley-Dickson noncircularity lock	none at decision gate; possible CNNA/PillarA/Foundation/ExactQuadraticComplex.lean only after manifest	masters/cnna_roadmap_master.yaml; generated views	Foundation/ExecComplex.lean; Foundation/ExecComplexBridge.lean; Arithmetic/Schur/CharpolyC.lean; Arithmetic/CayleyDickson/ArithmeticCDBridge.lean; mathlib QuadraticAlgebra	pending Phase 1.1.1.1.1	scalar-foundation / bridge governance, not generator semantics	must check existing ExecComplex, ExecComplexBridge, Schur.CharpolyC, ArithmeticCDBridge, and mathlib QuadraticAlgebra before proposing new module	scalar layer must consume canonical generator outputs only; cannot define generator semantics	do not create ExactQuadraticComplex unless existing foundation/bridge modules cannot carry the semantics cleanly	alternate complex scalar, algebraic complex, CD complex, mirror Complex, exact quadratic norm/trace/conjugation	scalar layer consumes generator/arithmetic source data; generator definitions do not consume scalar comparison/mirror data	no code movement in this gate	4.28.0 baseline unless version gate explicitly opens upgrade	required later: QxQ baseline row, Q(i) row, Q(sqrt(-3)) row, and at least one generic D row if O09 is implemented	Record Complex/Real noncomputable boundary, QuadraticAlgebra instance diamond warning, NumberField formal/non-executable dependency, and any required version-gate.	General C/R and algebraic closure remain mirror/formal. Exact quadratic candidate must avoid noncomputable definitions on operational path.
1.1.1.1.0.13	G	infrastructure	LeanGovernancePhase	Derived-only exact quadratic algebra provenance lock: no free sqrt(D)										No consumer-side patch; missing D-source belongs earlier.	Apply global refactor regression protocol if code changes.	Use frozen Lean/mathlib baseline unless a phase-boundary upgrade gate is opened.	Later required rows: D=-1 for Gauss-like Q(i) if code source produces it, D=-3 for Eisenstein, D=-4 depending on discriminant convention, and at least one generic nonsquare D; every row must cite its D-ledger.	QuadraticAlgebra has coordinate operations suitable as reference; AdjoinRoot quotient construction may introduce noncomputable instances and is therefore not automatically operational.	No analytic Complex, Real, algebraic closure, or uninspected AdjoinRoot field structure may become operational. Any noncomputable mathlib dependency belongs to mirror/proof layer unless isolated.
1.1.1.1.0.14	G	infrastructure	LeanGovernancePhase	Phase 5-10 dependency bifurcation lock: number-theory/modular path separated from spectral/physical consumers				No Lean implementation manifest was required when this already-closed/planned infrastructure row was created; under closed LEG10, any future code change touching this phase must fill exact added/modified modules before edits.	Existing placement remains historical/planning-only. Future module placement must be revalidated by LEG10 before code changes.	Not a generator implementation. If later code resembles an existing generator/API, consume LEG11 before edits.	No generator-like code in this record. Future generator-like extensions must route through LEG11.	No one-phase-one-file inference; future modules require semantic/API/import-boundary justification.		Phase 10 consumes Phase 4.1 directly; Phase 8/9 do not gate Phase 10 unless a specific object bridge says so.	incremental wrapper mode; full local build green after each migration step	4.28.0 baseline unless version gate explicitly opens upgrade	Future finite test rows must run separately for arithmetic/modular and spectral/physical consumers.	Record if modular-form/mathlib APIs are attempted in spectral/physical path; that is a placement smell unless explicitly justified.	Analytic modular/j/L-function objects remain mirror/comparison and cannot block finite spectral/operator algebra profiles.
1.1.1.1.0.15	G	infrastructure	LeanGovernancePhase	Global phase-object-link policy: no ambiguous empty Linked-objects cells		scripts/generate_tables.py; masters/cnna_roadmap_master.yaml	phase_object_map; phase hierarchy validator; object register Phase field	No Lean module manifest; generator/documentation-only phase.	Belongs to global planning infrastructure, not to mathematical object phases.	Reuses existing phase hierarchy and object register. No duplicate object registry created.	The table generator is the canonical renderer of phase-object link semantics.	Keep policy in the generator and YAML fields; avoid a separate manual table source.	Linked objects display aggregation; manual child-object lists drifting from object register	Planning views consume object register and phase hierarchy; object register does not consume table-rendered child scope.	View regression: no unqualified blank Linked objects cell may remain after table generation.	not applicable	Generator run over all phases/objects is the concrete planning instance.	none	none; no Lean code
1.1.1.1.0.16	G	infrastructure	LeanGovernancePhase	Global ontic subsystem-minimality postulate and emergence-order lock		scripts/generate_tables.py; masters/cnna_roadmap_master.yaml	global_no_go_guardrails renderer; workflow_policy renderer; object_proof_dossiers; phase table	No Lean module manifest; planning/postulate infrastructure only.	Belongs to global postulates and no-go guardrails before active implementation.	Reuses global no-go, workflow, proof-dossier and generated-table infrastructure; no duplicate roadmap source.	The table generator is the canonical renderer of POST1 and its supporting enforcement objects.	Keep the postulate in one top-level section plus LEG35/GNG22 references; avoid scattering prose copies.	ontic primitive; subsystem-being; emergence trigger	Consumer phases consume derived operator/spectral/algebraic/arithmetic data only after subsystem/cut provenance exists.	Generated views must keep POST1 visible and GNG22 inherited; no code refactor may remove the global postulate from generated documentation.	not applicable	Planning-level concrete instance: trace a finite subsystem/cut -> boundary -> complement/regime -> Schur/DtN -> derived consumer chain for later active phases.	none for the postulate. Later mathlib complications must not be solved by importing non-derived primitives.	No Lean code. Later noncomputable/mirror boundaries must remain downstream of derived subsystem provenance.
1.1.1.1.1	G	infrastructure	LeanGovernancePhase	Implementation module manifest and semantic placement gate		masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; README.md	CNNA/PillarA/Arithmetic/Notation.lean as source to split, not as target monolith; existing Smoke/Test generator modules as candidates for generator-like work	Closed contract: every scratchpad record must expose proposed_added_modules, proposed_modified_modules, reusable_existing_modules, semantic placement, rejection/fit decision, public/legacy/API role, import direction, expected downstream consumers, phase_type obligations, refactor regression protocol, version impact, concrete-instance traversal, generic test placement, mathlib complication log, and noncomputable boundary audit before Lean edits.	The manifest is planning infrastructure and belongs to the single YAML master plus generated views. It is not a Lean module and must not be implemented as phase-local code. Future code modules are created only when an existing semantic module cannot be safely extended or wrapped.	Phase 1.1.1.1.1 names reusable candidates but defers semantic generator classification to 1.1.1.1.2. Duplicate implementation remains blocked already at manifest level.	Any generator-like phase must consume this manifest, then pass through 1.1.1.1.2 before Lean code. The manifest table must state whether O07/canonical smoke-test generator is reused, extended, or rejected.	Closed rule: phase granularity is not file granularity. A later phase must justify every new module by semantic ownership, API/firewall direction, or unavoidable import split.	new generator/request/output helper names without canonical generator route; IdealThread.carrier/family singleton facts; CutSpec.full carrier facts; RecursiveSchurSource/MobiusTransfer recurrence logic; string-like analogy used as generator	Every proposed public wrapper must state its expected consumers and import direction. BoundaryOperatorProfile must prepare for Phase 4.1 without importing Phase 4. For BR08/CD8 specifically, earlier route modules export data downstream and must not import the bridge.	This gate does not refactor code, but it must require every later refactor manifest to declare wrapper-first/incremental vs atomic mode. Default for 1.1.2 is wrapper-first incremental with local full-build evidence per package.	Every module manifest must state whether it stays on Lean 4.28.0/mathlib baseline, uses no mathlib change, or requires a separate upgrade gate.	This active gate is infrastructure-only: it will not introduce operational Lean code. For every later operational phase, the manifest must include a concrete finite instance path from generated input to intended endpoint. This phase must plan generic finite test traversal, not only special sentinels, for every upcoming computable path.	No new mathlib import in this gate. Later manifests must list expected mathlib imports and whether each is executable, noncomputable-only, classical-only, or mirror-layer-only. Scalar architecture check added: any proposed new module must classify Complex/Real/QuadraticAlgebra dependencies under LEG31. Derived-quadratic update: any proposed QuadraticAlgebra/AdjoinRoot/ExactQuadratic module must state whether it is a schema, D-instantiation, proof/mirror reference, or executable coordinate layer.	No Lean operational code changed. Later phases must document noncomputable leakage risk before implementation.
1.1.1.1.2	G	infrastructure	LeanGovernancePhase	Reuse and duplication audit with canonical theory/smoke-test generator policy		masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; README.md	CNNA.PillarA.Arithmetic.Smoke.GeneratedSource; CNNA.PillarA.Arithmetic.Smoke.GeneratedMainPath; CNNA.PillarA.Arithmetic.Actions.GeneratorActionInventory; CNNA.PillarA.Arithmetic.Actions.ActionFormatDecision; scripts/generate_tables.py; scripts/build_export_script_v1.8.py	Closed contract consumed from LEG10. v41 adds no Lean module; it extends the planning generator and YAML master to render the reuse/duplication ledger.	The policy belongs in the single YAML master and generated planning views. It must not be implemented as a phase-local Lean status module; later neutral generator code is allowed only after a concrete module-manifest proof.	Closed: generator-like operations are classified by ledger rows as consume existing, extend existing, wrap existing, artifact-only split, or genuine semantic split. Duplicate generator implementations are blocked by default.	Closed rule: the Smoke/GeneratedSource-MainPath seam is canonical for generated ToC/smoke semantics; action-like semantics reuse GeneratorActionInventory/ActionFormatDecision; documentation/inventory scripts are artifact generators and comparison/audit only.	Closed rule: a generator policy row is not a new Lean file. Later code should prefer one coherent reusable generator/API seam plus wrappers over phase-local generator files.	experiment request/output generator; phase-local extraction generator; parallel ledger generator; second smoke-test generator; independent documentation/proofbook source outside YAML	Exports a planning/API policy to 1.1.1.1.3, 1.1.1.3, Phase 5, O07, heuristic lattice tests, and all generator-like phases. It does not export mathematical data to downstream pillars.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only; no operational finite instance is introduced. Future operational generator phases must provide concrete finite traversal through the canonical seam.	No Lean/mathlib import is introduced by this phase.	No noncomputable boundary introduced; no Lean operational path changed.
1.1.1.1.3	G	documentation	DocumentationPhase	Object and quantities proof-documentation infrastructure gate		masters/cnna_roadmap_master.yaml; scripts/generate_tables.py	tables/object_register.tex; generated_exports/object_register.generated.tsv; scripts/generate_tables.py	No Lean modules added. Planning/generator artifacts only: YAML master, table generator, generated object proof documentation table/export, PDF view.	Documentation infrastructure belongs in the YAML/generator layer, not scattered into phase prose or Lean modules.	Consumes closed LEG11. The proofbook is generated from the single YAML master and existing object register; no independent proofbook file or duplicate object list is allowed.	No CNNA mathematical generator introduced. The documentation generator is an artifact generator only and cannot provide mathematical input to Pillar A.	A new documentation section does not imply new Lean modules. It is a generated view over object register data.	independent proofbook file not generated from YAML; phase-local object proof prose duplicated in scratchpad; object list copied outside object register	No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
1.1.1.1.4	G	refactor	LeanGovernancePhase	Declaration consumption classification map finalization			scripts/generate_tables.py; repo_inventory/raw_export/modules.json; repo_inventory/raw_export/symbol_references/declarations.json; repo_inventory/raw_export/symbol_references/references.json; repo_inventory/raw_export/architectural_core/sink_taxonomy.json	Consumes LEG10: the classification artifact is generated in planning tables/exports only; no new Lean module and no declaration movement.	LEG5 remains a planning/API-hygiene artifact. Full records are generated_exports TSVs; PDF receives only the compact policy/count view.	Consumes LEG11: generator-like classification is implemented as an extension of scripts/generate_tables.py, not a second inventory/export generator.	Use existing single-master table generator as the canonical seam for planning ledgers; future Lean audit mirror is optional and must not duplicate semantics.	Classification operates at module/declaration/object record granularity but stores no huge declaration table in the PDF.	BuildAll reachability as false semantic evidence; SM phase aliases promoted as public API; blue object treated as final-output by documentation alone	Exports generated TSVs for 1.1.1.2 blue-object correction and 1.1.1.3 public API/consumer whitelist; does not grant handoff rights.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.
