ID	Priority	Issue status	Addressing phase	Finding	Static observation	Risk	Refactoring consequence	Change version	Change timestamp
SCF19	G	closed-policy-open-consumers	1.1.1.1.0.2; 1.2.1.2; 4.5.1	ExecComplex rational ceiling	ExecComplex is represented as rational pairs Q x Q; later CM/lattice objects require algebraic or analytic data.	Operational path may become a skeleton or silently import mirror/noncomputable semantics.	Adopt EXEC-2: operational code carries rational/integer invariants; algebraic irrational data remains mirror-only unless a return invariant is proved.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF20	G	closed-policy-open-consumers	1.1.1.1.0.3; 1.1.2-1.1.5	Refactor regression risk	Notation/alias cleanup touches a large declaration and import surface.	A single large move can create ambiguous red states and consumer-side patches.	Use wrapper-first bounded migrations with declaration-count, import-delta, consumer-breakage, and local full-build evidence.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF21	G	closed-policy-open-consumer	1.1.1.1.0.7; 3.0	IdealThread singleton collapse is code-backed	ToC/Contract.lean defines IdealThread.carrier L as {U.cell L}; IdealThread.family uses that carrier; deterministic coarsen_carrier_eq_prev proves coarsenSet of the next carrier is the previous singleton.	Any plan that uses an existing IdealThread route as a nontrivial boundary matrix source would silently collapse to scalar/degenerate data.	Add S07 and BR06. Later full-boundary/DtN phases must explicitly reject IdealThread as full matrix source unless a separate lifting theorem is supplied.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF22	G	closed-policy-open-consumer	1.1.1.1.0.7; 3.0	CutSpec.full is the maximal carrier route	Finite/CutSpec.lean defines full T with carrier := T.carrier and full_carrier is rfl.	Confusing CutSpec.full with IdealThread or with a diagonal/scalar route would erase the intended sector/interior/interface geometry.	Add S08 and require Phase 3.0 boundary-route separation before neutral Schur/DtN wrappers.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF23	G	closed-policy-open-consumers	1.1.1.1.0.13; 1.2.1.2; 4.5.1; 7.1-7.4	Exact quadratic scalar provenance gap	v35 treated O09 as optional/pilot; CM/lattice phases will require exact quadratic coordinates, but derived-only prohibits free sqrt(D).	A scalar consumer could silently introduce theta/sqrt(D) without an operational discriminant source, turning a derived-only construction into an axiom or mirror import.	v36 requires O09 as schema, adds O10/BR14 as D-source instantiation bridge, and adds GNG19 no-free-sqrt enforcement.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF24	G	closed-in-v44-generator	all phases before implementation; immediate enforcement before 1.1.1.2	Static finding lifecycle fields were missing	The Section 2 Static code findings table listed risks and consequences but did not force an issue ID, current status, priority color, or addressing phase.	A known finding could be re-discovered in later work, silently left open, or closed by an unrelated phase without a visible provenance link.	Every static finding row now requires ID, Priority, Issue status, and Addressing phase. New findings must be added to Section 2 before implementation continues.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF25	G	closed-in-v44-workflow-policy	all active phases; current gate before 1.1.1.2	Pre-start feasibility check was implicit, not a hard visible workflow gate	The scratchpad contained dependency audit/proof rehearsal fields, but the workflow table did not require a separate go/no-go feasibility decision immediately before starting the next phase.	A phase could begin from a green prior build while a static finding or missing dependency still requires a natural backjump, producing consumer-side patches or over-fragmented governance work.	A mandatory pre-start feasibility workflow now checks active phase dependencies, static findings, module manifest, reuse audit, and whether the phase is infrastructure-only or code-changing before implementation starts.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF26	Y	open-addressed-by-active-phase	1.1.1.2	Blue correction cannot rely only on status B labels	The active Phase 1.1.1.2 consumes object register rows with Object status B, but a valid LEG7 ledger must also bind each row to proof dossier, current derivation site, allowed temporary consumers, forbidden consumers, and exit-to-white condition.	A proof-carrying blue object could be whitened or publicly wrapped merely because the object status row was found, without recording the exact semantic/API defect and correction phase.	Phase 1.1.1.2 must generate or validate a per-blue-object correction ledger, not a status-only summary. Public API and pruning phases remain blocked until that ledger is closed.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF27	G	closed-in-tool-v1.0-legend-policy	pre-1.1.1.2 tool V1.0 documentation update	Generated table views needed local, section-specific legends.	Earlier rendering either lacked local legends or inserted an over-broad mixed legend. The current generator emits static/phase/object legends only where the corresponding colored cells exist.	Wrong or missing legend text makes color semantics ambiguous across static findings, object status, and phase status tables.	Use explicit legend kinds in the generator and no legend for non-status tables.	V1.0	2026-05-10T05:51:42+02:00
SCF28	G	closed-in-tool-v1.01-versioning	tooling/versioning-policy V1.01	Tool contract version and data snapshot version were conflated as v40-v44 document increments.	The previous split still allowed the Lean-code data timestamp to move when only the generator/PDF display changed.	A documentation-only edit could be misread as a Lean-code data change, destroying reproducible alignment between Lean snapshots and planning artifacts.	Metadata now separates tool_version, tool_change_timestamp, and data_timestamp. tool_version increments by 0.01 for tool/display changes; data_timestamp is restored and changes only with Lean code/data.	V1.01	2026-05-10T06:17:44+02:00
SCF29	G	closed-in-tool-v1.0-static-finding-migration	pre-1.1.1.2 tool V1.0 documentation update	Essential findings front matter duplicated issue tracking outside Section 2.	The v44 PDF opened with prose bullets that contained actionable workflow findings, while Section 2 was supposed to be the issue ledger.	Important problems can remain unprioritized, unassigned, or forgotten if they live outside the Static code findings table.	The separate Essential findings section was removed; the actionable content is represented as SCF rows with priority, lifecycle status, and addressing assignment.	V1.0	2026-05-10T05:51:42+02:00
SCF30	G	closed-in-tool-v1.0-layout	pre-1.1.1.2 tool V1.0 documentation update	Complete Lean module catalog: Module column could run visually into the Group column.	Long dotted Lean module names were emitted inside raw href cells without dot-level breakpoints and with too little Module-column width.	The generated module inventory becomes unreliable as a review object if readers cannot distinguish module names from group labels.	Module and path link text is now breakable at dots; the Module column is widened and the Group/Path widths are adjusted.	V1.0	2026-05-10T05:51:42+02:00
SCF31	G	closed-in-tool-v1.0-object-links	pre-1.1.1.2 tool V1.0 documentation update	Object table A IDs were row anchors but not clickable links.	object_table_id_cell(target=True) emitted a hypertarget around plain ID text, while other object tables emitted hyperlinks to that row.	The first object table looked less navigable than the rest of the proofbook workflow and did not expose the proof-dossier jump from the canonical object list.	Object table A IDs now remain row anchors and additionally link to the corresponding proof-dossier target.	V1.0	2026-05-10T05:51:42+02:00
SCF32	G	closed-in-tool-v1.01-legend-policy	tooling/static-finding-rendering V1.01	Global table legends were semantically over-broad.	The V1.0 generator inserted the same mixed object/phase/static legend before generated tables even when the table had no colored status cells or the section required a narrower legend.	A reader could interpret colors with the wrong status system, especially static findings and phase rows.	The generator now supports explicit legend kinds (static, phase, object) and emits no legend for tables without colored status/triage semantics.	V1.01	2026-05-10T06:17:44+02:00
SCF33	G	closed-in-tool-v1.01-data-timestamp-policy	tooling/versioning-policy V1.01	Lean-code data timestamp advanced during a display-only update.	The V1.0 legend-policy update reported a new data timestamp even though no Lean source file was changed.	Downstream reviewers could infer a new Lean data state from a purely presentational PDF/generator change.	data_timestamp/data_version are reset to 2026-05-10T05:51:42+02:00; tool_change_timestamp records the current display-policy correction separately.	V1.01	2026-05-10T06:17:44+02:00
SCF34	G	closed-in-tool-v1.01-record-change-tracking	tooling/table-rendering V1.01	Changed static findings, scratchpad records, and object rows had no visible per-record version/timestamp field.	Before V1.01, table readers could see final status but not which tool/display version last changed the row.	Review history becomes ambiguous when a table row changes without visible version/time metadata.	Static findings expose Change version and Change timestamp. Scratchpad and object proof-link views render record metadata and default unchanged rows to unchanged-by-V1.01 / restored Lean data timestamp.	V1.01	2026-05-10T06:17:44+02:00
SCF35	G	closed-in-tool-v1.02-pdf-navigation	tooling/pdf-navigation V1.02	PDF navigation lacked a clickable contents page and explicit outline/bookmark tree.	Before V1.02, the PDF body started directly with Latest change overview and relied mainly on reader search or section scrolling. The existing hyperref setup did not expose a document-level contents page or an explicitly configured bookmark/outline tree as a reviewed navigation feature.	Long generated planning PDFs become hard to review, especially when checking sections such as Static code findings, object tables, phase tables, and scratchpad records after tool-only changes.	The PDF preamble now configures section-level PDF bookmarks/outline support, and the document body emits a clickable table of contents immediately after the title. This is a tool/display change only and does not advance the Lean-code data timestamp.	V1.02	2026-05-10T06:27:26+02:00
SCF36	G	closed-in-tool-v1.03-pre-implementation-phase-check	tooling/pre-implementation-phase-check-workflow	Forward-looking semantic phase feasibility checks lacked an explicit workflow contract.	The plan had per-phase preparation fields and a pre-start feasibility rule, but no dedicated workflow for simulating several semantically connected future phases before implementation and classifying them as implementable or dependency-blocked.	Without this workflow, missing dependencies can be discovered only during implementation; red findings may not automatically generate upstream addressing phases, causing late backjumps and ad hoc patching pressure.	Tool V1.03 introduces a Pre-Implementation Phase Check: inspect a semantic window as a thought experiment, mark phases Y when implementable and R when dependencies are missing, record new findings, and generate upstream addressing phases for every red result before the blocked phase can become active.	V1.03	2026-05-10T06:38:25+02:00
SCF37	G	closed-in-tool-v1.04-implementation-scaling-plan	tooling/implementation-scaling-phase-plan V1.04	The tool lacked an explicit phase roadmap for scalable CNNA object-world growth without overloading Lean implementation work.	Previous workflows defined phase checks and ledgers, but did not yet separate lean-focus packets, local module-theory context, large end-theory comparison ledgers, incremental cache, object graph slices, and automatic red-blocker prephases into implementation phases.	Without this roadmap, future requests could drift into manual PDF/table maintenance, excessive context scanning, or ambiguous treatment of established theories during Lean-code work.	Tool V1.04 adds future phases under 1.1.1.5 and a generated implementation-scaling plan. These phases preserve the active 1.1.1.2 cursor and keep Lean-data timestamp fixed.	V1.04	2026-05-10T06:58:41+02:00
SCF38	G	closed-in-tool-v1.05-preimplementation-window-result-ledger	tooling/pre-implementation-check-result-ledger V1.05	Requested semantic phase-window implementability checks had no persistent result table.	Tool V1.03 defined the pre-implementation thought-experiment workflow, but the concrete result of a requested check window was not yet rendered as a dedicated generated ledger with phase-level Y/R decisions.	Feasibility conclusions could remain only in chat prose, making later phase activation ambiguous and weakening the red-blocker-to-addressing-phase discipline.	Tool V1.05 adds a pre_implementation_phase_check_results section, generator validation, TSV export, and PDF rendering for the checked window. The 1.1.1.2-1.1.1.5 window is recorded as yellow/implementable under sequential closure assumptions, with no red addressing phase generated.	V1.05	2026-05-10T07:12:27+02:00
SCF39	G	closed-in-tool-v1.06-preimplementation-status-refinement	tooling/pre-implementation-check-refinement V1.06	Pre-implementation check status Y was too coarse and conflated active implementability with later implementability in a derivation chain.	The V1.05 check correctly treated 1.1.1.3-1.1.1.5 as implementable only under predecessor-closure assumptions, but the table still marked every implementable row yellow.	Readers could mistake later chain-dependent phases for immediately active implementable phases, weakening the one-active-phase invariant and obscuring predecessor assumptions.	Tool V1.06 introduces G/Y/O/R check semantics plus Check mode, Implementability scope, Required predecessor closures, Assumptions, Evidence basis, Lean proof risk, Parent/subphase rule, and Would-generate-addressing-phase fields.	V1.06	2026-05-10T07:22:31+02:00
SCF40	G	closed-in-tool-v1.06-phase-legend-synchronization	tooling/phase-logic-legends V1.06	Tables that use phase logic needed legends synchronized with the new orange derivation-chain implementability status.	The prior phase and pre-implementation legends exposed only green/white/yellow/red or yellow/red meanings and did not explain the new chain-dependent implementability state.	Even with correct result rows, inconsistent legends would make the PDF display ambiguous and could lead to wrong activation of a non-current phase.	The generator now emits updated phase-logic legends: G = closed/derived-only, W = not yet checked where actual roadmap statuses appear, O = implementable in derivation chain, Y = active implementable now, R = blocked with missing dependencies and mandatory upstream addressing phase.	V1.06	2026-05-10T07:22:31+02:00
SCF41	G	closed-in-tool-v1.07-db-review-main-side-objective	20; 20.1	Database-ready review/documentation structure was only a prose idea, not a first-class main side objective.	The prior YAML had secondary long-term goals and generated views, but no main phase route for database-ready review structure, round-trip schema discipline, and expert-review semantics.	The DB direction could be treated as optional late tooling and fail to constrain current YAML/schema/review practices.	Add Phase 20 DB-REVIEW with child phases, direct DBR objects, scratchpads, secondary-goal row, workflow row, and immediate guardrails. No Lean source changes.	Tool V1.07	2026-05-10T07:39:10+02:00
SCF42	G	closed-in-tool-v1.07-expert-review-guardrail	20.1; GNG23; workflow_policy	Generated documentation lacked an explicit global no-infallibility and discipline-specific expert-review rule.	The tool distinguished Lean code from generated views, but did not yet force the stronger epistemic maxim that even green Lean builds and generated artifacts remain semantically reviewable.	Planning tables or green builds could be overread as 100-percent secured truth, especially around established-theory/reference material that may still lack blue marking.	Add GNG23 and the DB-REVIEW workflow: Lean code is primary but not semantically infallible; generated artifacts are secondary; expert review is always required; missing blue markings are audit debt.	Tool V1.07	2026-05-10T07:39:10+02:00
SCF43	Y	active-in-phase-1.1.1.1.5.1	1.1.1.1.5.1-1.1.1.1.5.5	New substantive Lean code should wait until semantically related module families have been audited for consolidation or explicit no-merge status.	The repository has a valid import graph, but it still contains visibly related micro-modules and clone-like wrappers. Existing phases covered reuse/generator policy and declaration consumption, but not a dedicated pre-substantive module-consolidation/no-merge ledger.	Without this gate, new code may be built on duplicate or unstable import surfaces, making later public API correction, blue-object review, and refactor migration harder.	V1.21 routes this finding through the full readiness chain: source intake, neutral naming/facade plan, refactor execution, post-refactor re-scan, and release proof before 1.1.1.2.	V1.12	2026-05-10T11:16:00+02:00
SCF44	Y	prepared-after-source-intake	1.1.1.1.5.2-1.1.1.1.5.3	High-confidence schema/clone families were found in BoundarySource substrate ledgers and Handoff input/output wrappers.	BoundaryStateSubstrate, BranchAddressSubstrate, HistoryExpandedSubstrate, and InterfaceExposureSubstrate share the same import, ledger projection pattern, blocker/status/obligation theorems, and StrengtheningAR2b1 wrappers. A_to_C, A_to_D, A_to_E are SectorExportStrong aliases with identical of/export projections. B_to_A, C_to_A, D_to_A, E_to_A share the same source/feedback structure, ext proof, and handoff projection.	Leaving these as unrelated modules can obscure the true shared schema and make future public API/firewall decisions noisier; merging them unsafely could still break existing imports or erase pillar-specific names.	After LEG37 closes, LEG38 must decide schema/facade/no-merge treatment; any actual code change moves through LEG39 with old-module facades and local build evidence.	V1.12	2026-05-10T11:16:00+02:00
SCF45	Y	prepared-after-source-intake	1.1.1.1.5.2	Long SM/generated proof chains and Cayley-Dickson S6 chains are not safe merge candidates merely because they are numerous or similarly named.	The Smoke/GeneratedInterior*/Operational* modules and Structural/CayleyDickson/S6* modules encode phase/proof progression and consumer history. Their boundaries may carry provenance, debugging, or theorem-staging information even if some boilerplate repeats.	Aggressive consolidation could reduce auditability, hide natural proof boundaries, or create a large monolith that is harder for experts to review.	LEG38 must explicitly classify these as no-merge-until-proven unless a canonical proof module preserves provenance and passes import/declaration regression checks.	V1.12	2026-05-10T11:16:00+02:00
SCF46	G	closed-by-V1.13-policy	20.8	The project root had accumulated generated documentation artifacts and historical Markdown reports, obscuring the source/secondary-artifact boundary.	Root inspection of the V1.12 package found 36 Markdown reports, 20 PDFs, 20 TeX files, 19 aux files, 22 logs, 8 out files, 11 toc files, and additional latexmk artifacts at maxdepth 1. These files are not Lean sources and are reproducible or archival documentation surfaces.	Root clutter can make generated-secondary artifacts look like authoritative inputs, increases package size, and weakens the Single-YAML-Master / Lean-primary discipline.	Keep README.md in root; archive historical Markdown reports; remove generated PDF/TeX/LaTeX build products from root; use scripts/generate_full_document.py for disposable full documentation and scripts/clean_generated_root_artifacts.py for cleanup.	V1.13	2026-05-10T11:26:00+02:00
SCF47	G	closed-by-V1.15-policy	20.10	The V1.14 root policy was too narrow because Lean/Lake project-control files must live in the package/project root for reproducible local builds.	User supplied CNNA.lean, lakefile.lean, lake-manifest.json and lean-toolchain. The lakefile points the CNNA library to Repository/repo_snapshot, while the manifest/toolchain pin the Lean/mathlib build environment.	If root cleanup deletes or omits these files, the package remains documentable but loses its direct local Lake build entry and reproducibility surface.	Amend DBR8/GNG27 by DBR10/GNG28: root is source/control oriented, not README-only. Keep package-root Lean/Lake build files; continue excluding generated PDF/TeX/build artifacts and historical reports from active root.	V1.15	2026-05-10T12:20:00+02:00
SCF48	G	closed-by-tooling-phase	20.11	Root license/credit and duplicate-README surface needed explicit closure	V1.16 had README copies in both package root and Repository/, and no root LICENSE file. User required root-only README, root license file, and explicit editor/assistant credits also in generated PDFs.	Without closure, release packages could present ambiguous entry surfaces and generated PDFs could lose attribution/license context.	V1.17 keeps README.md and LICENSE only in package root, removes duplicate README files, updates PDF generators and metadata credits, and records GNG29/DBR11.	V1.17	2026-05-10T12:58:00+02:00
SCF49	G	closed-by-tooling-phase	20.12	Generated documentation sections needed stronger visual separation for review navigation	V1.17 full and context PDFs rendered consecutive top-level sections without a uniform automatic pagebreak invariant; individual manual clearpages existed only around the table of contents or specific generator positions.	Large review packets become harder to navigate and section boundaries can be visually blurred, especially in context-filtered documents that preserve all major sections but show sparse rows.	V1.18 adds a generator-level section hook so every top-level full/context documentation section starts on a fresh page. The change is layout-only and does not alter Lean, YAML row semantics, context filtering, or proof status.	V1.18	2026-05-10T13:18:00+02:00
SCF50	G	closed-by-tooling-phase	20.13	White phase status was too permissive for unreleased Lean-derivation phases	V1.18 had many W phases with implementation_scratchpad.phase_type = derivation, so W still meant unchecked/future rather than non-Lean/tooling-only. User required unreleased Lean-derivation phases to default red until their release is proven from derived-only Lean objects.	Without this policy, a future Lean-content phase can look merely inactive/white instead of explicitly locked, weakening the derived-only partial-order discipline and hiding missing prerequisite-object evidence.	V1.19 converts all W derivation phases to R, redefines W for non-direct-Lean work, and patches generator validation to reject any future W derivation phase.	V1.19	2026-05-10T13:45:00+02:00
SCF51	G	closed-by-tooling-phase	20.14	Implementation module manifest could be misread as a second phase table and section/table purposes were underexplained	V1.19 still presented the module manifest in the main reading flow and several sections relied on terse table-local paragraphs. User reported confusion and requested clearer static explanations with dynamic table contents only.	Readers may confuse module/API change planning with phase-release logic, or miss where data comes from and why a table is shown.	V1.20 renames and moves the manifest to a technical appendix, clarifies its use boundary, and adds static source/purpose explanations around the full and context documentation sections.	V1.20	2026-05-10T13:52:00+02:00
SCF52	Y	active-in-phase-1.1.1.1.5.1	1.1.1.1.5.1-1.1.1.1.5.5	Pre-code readiness was too broad: semantic consolidation alone did not prove that all current modules were neutralized, refactored and classified before new substantive Lean code.	V1.20 had active 1.1.1.1.5 and orange 1.1.1.2, while many required neutralization/refactor/object-intake phases remained white planning/refactor rows. The codebase still contains phase-semantic SM*/S6*/StrengtheningPhase names and 8860 declarations needing stable classification.	If 1.1.1.2 starts too early, blue-object correction may be built on unstable module names, incomplete IST-object intake, stale public/API surfaces or unclassified proof-stage modules.	V1.21 splits 1.1.1.1.5 into a five-step readiness chain and makes 1.1.1.2 depend on the final release certificate.	V1.21	2026-05-10T14:20:00+02:00
SCF53	G	closed-as-planning-record	20.15-20.20	Database/public-web vision needed explicit non-truth-source planning phases before any direct DB work.	SLTG-06 already described database-ready documentation, but provider-neutral SQL database public read-only mirror, snapshot provenance, read-only access policy/views and cnna-project.net frontend contract were not yet split into concrete planning phases.	Without explicit phases and guardrails, a future database could become an untracked second truth system, leak write authority, lose snapshot provenance or expose admin write credential secrets to browser/frontend contexts.	V1.22 adds 20.15-20.20 plus DBR15-DBR20 and GNG34 as a white non-blocking DB/tooling sidechain. Lean/YAML remain authoritative and active Lean/content cursor is unchanged.	V1.22	2026-05-10T14:55:00+02:00
SCF54	G	closed-by-tooling-phase	20.21	Generated PDFs needed a larger typography profile for review readability	V1.22 used a 10pt document class for full/context PDFs and many explicit scriptsize/footnotesize table fragments, which made large review packets dense even after section-pagebreak and explanation improvements.	Reviewers may miss status/provenance details in dense tables; readability pressure could otherwise lead to manual PDF edits or inconsistent per-table hacks.	V1.23 applies a one-step font-size increase at generator level: documentclass 11pt, TeX size-command bump in tables, and graph label-size bump where generated by the tool.	V1.23	2026-05-10T15:20:00+02:00
