node_number	id	documentation_tier	anchor_number	layer	role	path	symbol	declaration_kind	start_line	end_line	source_sha256	resolution
003	C001	D0	1	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s03_c001__empty_carrier_empty.py	EmptyCarrier	CLASS	23	52	ff6f7d36a4d2290b4007d27c384d2756bb8b6e61ed5618428f5faa30383d5ccc	RESOLVED
003	C001	D0	2	python_test	TEST	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s03_c001__empty_carrier_empty.py	TestEmptyCarrier	CLASS	14	38	873b6eef6f8400448e914409f38c16ec657f021ade4b5b70761d2c7a9349aa93	RESOLVED
003	C001	D0	3	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	EmptyCarrier	INDUCTIVE	21	26	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
003	C001	D0	4	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	canonical	DEF	27	30	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
003	C001	D0	5	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	ContainsNode	DEF	31	34	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
003	C001	D0	6	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	ContainsRelation	DEF	35	39	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
003	C001	D0	7	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	noNode	THEOREM	40	44	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
003	C001	D0	8	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	noRelation	THEOREM	45	49	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
003	C001	D0	9	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	eqCanonical	THEOREM	50	56	d5e5daf9a0b04bb596666443a8c873a7a554bd35cf7f33229aab86e930595253	RESOLVED
004	C002	D1	1	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s04_c002__root_genesis_r.py	Root	CLASS	22	23	889514d52db406e4a2ea975ecf9439e19fe52000431fce888ee98ced0b3482ef	RESOLVED
004	C002	D1	2	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s04_c002__root_genesis_r.py	RootedCarrier	CLASS	30	50	889514d52db406e4a2ea975ecf9439e19fe52000431fce888ee98ced0b3482ef	RESOLVED
004	C002	D1	3	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s04_c002__root_genesis_r.py	root_genesis	FUNCTION	56	65	889514d52db406e4a2ea975ecf9439e19fe52000431fce888ee98ced0b3482ef	RESOLVED
004	C002	D1	4	python_test	TEST	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s04_c002__root_genesis_r.py	TestRootGenesis	CLASS	21	67	cbc246c9536122c79f031c7e79ea3f94bd39360c0566f1b58a3adf99ca5cf488	RESOLVED
004	C002	D1	5	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	Root	INDUCTIVE	22	27	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	6	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	canonical	DEF	28	31	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	7	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	eqCanonical	THEOREM	32	38	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	8	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	RootedCarrier	INDUCTIVE	39	44	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	9	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	canonical	DEF	45	48	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	10	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	ContainsNode	DEF	49	52	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	11	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	ContainsRelation	DEF	53	57	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	12	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	HasParent	DEF	58	62	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	13	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	HasGeometricPosition	DEF	63	67	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	14	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	rootPresent	THEOREM	68	72	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	15	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	nodeUnique	THEOREM	73	77	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	16	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	noRelation	THEOREM	78	82	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	17	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	rootHasNoParent	THEOREM	83	88	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	18	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	rootHasNoGeometricPosition	THEOREM	89	94	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	19	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	eqCanonical	THEOREM	95	101	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	20	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	rootGenesis	DEF	102	105	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	21	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	rootGenesis_canonical	THEOREM	106	110	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
004	C002	D1	22	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	rootGenesis_eqCanonical	THEOREM	111	115	f8e3f0a55eea3b91203686cfeb1950abddd39f5d66fb7c8e0b218a26863146a5	RESOLVED
005	C003	D1	1	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	slot_alphabet	FUNCTION	35	39	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	2	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	validate_unbounded_address	FUNCTION	42	53	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	3	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	root_address	FUNCTION	56	58	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	4	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	child_address	FUNCTION	61	68	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	5	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	address_parent	FUNCTION	71	76	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	6	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	final_slot	FUNCTION	79	84	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	7	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	address_depth	FUNCTION	87	89	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	8	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	is_parent_of	FUNCTION	92	96	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	9	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	FiniteBAryProvenanceGrammar	CLASS	100	164	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	10	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	build_finite_b_ary_provenance_grammar	FUNCTION	167	173	fa2ad5221cd2131508b98d54673a4cb8324e673d50b339a8aab857b69fe435cb	RESOLVED
005	C003	D1	11	python_test	TEST	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s05_c003__finite_b_ary_provenance_grammar.py	TestFiniteBAryProvenanceGrammar	CLASS	25	122	1d6630ef73e34981eacecbb02cd8100d8ae12f6aa5f28905ede76084fd02b581	RESOLVED
005	C003	D1	12	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	ProvenanceSlot	ABBREV	26	28	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	13	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	ProvenanceAddress	ABBREV	29	33	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	14	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	root	DEF	34	37	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	15	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	snoc	DEF	38	42	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	16	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	depth	DEF	43	46	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	17	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	depth_root	THEOREM	47	50	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	18	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	depth_snoc	THEOREM	51	60	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	19	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	unsnoc	DEF	61	69	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	20	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	unsnoc	THEOREM	70	82	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	21	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	parent	DEF	83	88	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	22	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	finalSlot	DEF	89	94	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	23	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	Parent	DEF	95	98	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	24	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	parent	THEOREM	99	102	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	25	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	finalSlot	THEOREM	103	106	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	26	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	parent	THEOREM	107	112	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	27	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	finalSlot	THEOREM	113	118	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	28	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	parent_snoc	THEOREM	119	123	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	29	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	snoc_parent_unique	THEOREM	124	132	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	30	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	snoc_slot_unique	THEOREM	133	143	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	31	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	BoundedProvenanceAddress	STRUCTURE	144	151	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	32	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	root	DEF	152	157	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	33	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	child	DEF	158	168	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	34	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	root_address	THEOREM	169	173	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	35	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	child_address	THEOREM	174	181	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	36	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	child_depth	THEOREM	182	192	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	37	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	FiniteBAryProvenanceGrammar	STRUCTURE	193	200	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
005	C003	D1	38	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	build	DEF	201	207	81563345b44177915f32a03d6c42df7adfa1ca4176ab27d6569584105ad25866	RESOLVED
