node_number	canonical_node_label	semantic_id	current_section_path	documentation_tier	stable_node_directory_name	registry_record	main_artifact	supplement_artifact	python_source_files	python_test_files	lean_core_files	lean_proof_files	code_anchor_count	lookup_key
011	011 · C013	C013	1.2.4	D1	011_C013__first_non_root_provenance_birth_v	derivation/registry/nodes/C013.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s04_c013__first_non_root_provenance_birth_v1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s04_c013__first_non_root_provenance_birth_v1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S04_C013_FirstNonRootProvenanceBirthV1.lean		13	C013
012	012 · T001	T001	1.2.5	D2	012_T001__seed_neutrality_theorem_for_first_birth	derivation/registry/nodes/T001.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s05_t001__seed_neutrality_theorem_for_first_birth.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s05_t001__seed_neutrality_theorem_for_first_birth.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S05_T001_SeedNeutralityTheoremForFirstBirth.lean		4	T001
013	013 · M005	M005	1.2.6	D2	013_M005__conductance_unit_normalization_independence	derivation/registry/nodes/M005.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s06_m005__conductance_unit_normalization_independence.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s06_m005__conductance_unit_normalization_independence.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S06_M005_ConductanceUnitNormalizationIndependence.lean		9	M005
014	014 · C014	C014	1.2.7	D1	014_C014__bootstrap_state_x_r_v_c_r_v_1	derivation/registry/nodes/C014.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s07_c014__bootstrap_state_x1_r_v1_c_r_v1_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s07_c014__bootstrap_state_x1_r_v1_c_r_v1_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S07_C014_BootstrapStateX1RV1CRV11.lean		12	C014
015	015 · C005	C005	1.3.1	D1	015_C005__response_capable_state_schema_x_n_1	derivation/registry/nodes/C005.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s01_c005__response_capable_state_schema_xn_n_ge_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s01_c005__response_capable_state_schema_xn_n_ge_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S01_C005_ResponseCapableStateSchemaXnNGe1.lean		24	C005
016	016 · C004	C004	1.3.2	D1	016_C004__next_open_provenance_slot_s_n_1	derivation/registry/nodes/C004.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s02_c004__next_open_provenance_slot_snplus1_n_ge_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s02_c004__next_open_provenance_slot_snplus1_n_ge_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S02_C004_NextOpenProvenanceSlotSnplus1NGe1.lean		42	C004
017	017 · C006	C006	1.3.3	D1	017_C006__birth_local_schur_dtn_primitive	derivation/registry/nodes/C006.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s03_c006__birth_local_schur_dtn_primitive.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s03_c006__birth_local_schur_dtn_primitive.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S03_C006_BirthLocalSchurDtnPrimitive.lean		64	C006
018	018 · M001	M001	1.3.4	D2	018_M001__canonical_birth_local_measurement_cut_c_s	derivation/registry/nodes/M001.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s04_m001__canonical_birth_local_measurement_cut_cn_snplus1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s04_m001__canonical_birth_local_measurement_cut_cn_snplus1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S04_M001_CanonicalBirthLocalMeasurementCutCnSnplus1.lean		37	M001
019	019 · P003	P003	1.3.4.1	D2	019_P003__birth_cut_canonicity_and_partition_well_formedness	derivation/registry/nodes/P003.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s04_m001__canonical_birth_local_measurement_cut_cn_snplus1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s04_m001__canonical_birth_local_measurement_cut_cn_snplus1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S04_M001_CanonicalBirthLocalMeasurementCutCnSnplus1.lean		17	P003
020	020 · M002	M002	1.3.5	D2	020_M002__birth_cut_interior_domain_theorem	derivation/registry/nodes/M002.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s05_m002__birth_cut_interior_domain_theorem.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s05_m002__birth_cut_interior_domain_theorem.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S05_M002_BirthCutInteriorDomainTheorem.lean		19	M002
021	021 · C007	C007	1.3.6	D1	021_C007__inter_birth_directed_response_r_s	derivation/registry/nodes/C007.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s06_c007__inter_birth_directed_response_rn_snplus1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s06_c007__inter_birth_directed_response_rn_snplus1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S06_C007_InterBirthDirectedResponseRnSnplus1.lean		30	C007
022	022 · O001	O001	1.3.7	D2	022_O001__ist_response_independent_directed_bias_obstruction	derivation/registry/nodes/O001.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s07_o001__ist_response_independent_directed_bias_obstruction.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s07_o001__ist_response_independent_directed_bias_obstruction.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S07_O001_IstResponseIndependentDirectedBiasObstruction.lean		40	O001
023	023 · C015	C015	1.3.8	D0	023_C015__active_linear_steering_mode_x_x	derivation/registry/nodes/C015.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/023_C015__active_linear_steering_mode_x_x/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s08_c015__active_linear_steering_mode_phi_x_x.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s08_c015__active_linear_steering_mode_phi_x_x.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S08_C015_ActiveLinearSteeringModePhiXX.lean		5	C015
024	024 · M003	M003	1.3.9	D2	024_M003__canonical_response_steering_functional_b_r_s	derivation/registry/nodes/M003.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s09_m003__canonical_response_steering_functional_sigma_b_rn_s.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s09_m003__canonical_response_steering_functional_sigma_b_rn_s.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S09_M003_CanonicalResponseSteeringFunctionalSigmaBRnS.lean	derivation/code/lean/proofs/src/CNNAProofs/M003M004/S01_CanonicalM003Closure.lean	36	M003
025	025 · P001	P001	1.3.9.1	D2	025_P001__reusable_directed_schur_dtn_kron_channel_closure	derivation/registry/nodes/P001.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md				derivation/code/lean/proofs/src/CNNAProofs/P001/S04_ResponseWellDefinedness.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S02_DirectedMaximumPrinciple.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S05_ResponseDirectedLaplacian.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S03_FiniteLinearWellPosedness.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/DirectedSchurDtnKronChannelClosure.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S01_ExactSemanticBridge.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S06_DistinguishedPortStrictPositivity.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S07_CanonicalBirthCutInstantiation.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S08_CanonicalDirectedMatrixStructure.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S09_CanonicalBackboneReachability.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S10_M003M004ProofFacades.lean;derivation/code/lean/proofs/src/CNNAProofs/P001/S11_IndependentBidirectedChainCutReuse.lean	179	P001
026	026 · M004	M004	1.3.10	D1	026_M004__response_coupled_birth_law_b	derivation/registry/nodes/M004.json	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b/DOCUMENTATION.md	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/s10_m004__response_coupled_birth_law_birthlaw_b.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s03_recurrent_pre_birth_measurement_and_steering/test_s10_m004__response_coupled_birth_law_birthlaw_b.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S03_RecurrentPreBirthMeasurementAndSteering/S10_M004_ResponseCoupledBirthLawBirthlawB.lean	derivation/code/lean/proofs/src/CNNAProofs/M003M004/S02_CanonicalM004ClosureAndHandoff.lean	46	M004
