node_number	id	paper_section	derivation_order	node_role	documentation_tier	documentation_tier_rule	main_paper_depth	supplement_depth	countercheck_requirement	python_anchor_status	lean_anchor_status	documentation_v2_state
017	C006	1.3.3	17	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
018	M001	1.3.4	18	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED	COMPLETE_V2
019	P003	1.3.4.1	19	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED_SUPPORTING_EVIDENCE	RESOLVED_SUPPORTING_EVIDENCE	COMPLETE_V2
020	M002	1.3.5	20	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED	COMPLETE_V2
021	C007	1.3.6	21	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
022	O001	1.3.7	22	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED	COMPLETE_V2
023	C015	1.3.8	23	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	RESOLVED	RESOLVED	COMPLETE_V2
024	M003	1.3.9	24	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
025	P001	1.3.9.1	25	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	RESOLVED_142_VERIFIED	COMPLETE_V2
026	M004	1.3.10	26	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
027	C008	1.4.1	27	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
028	C016	1.4.2	28	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
029	C017	1.4.3	29	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
030	C009	1.4.4	30	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
031	T002	1.4.5	31	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	RESOLVED_KERNEL_VERIFIED	COMPLETE_V2
032	T003	1.4.6	32	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
033	C010	1.5.1	33	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
034	N002	1.5.2	34	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
035	C011	1.5.3	35	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	PLANNED	PLANNED	NOT_STARTED
036	C012	1.5.4	36	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	PLANNED	PLANNED	NOT_STARTED
037	C019	1.5.5	37	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
038	P004	1.5.5.1	38	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
039	P005	1.5.5.2	39	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
040	P006	1.5.5.3	40	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
041	O002	1.6.1	41	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
042	CTRL001	1.6.2	42	CONTROL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
043	CTRL002	1.6.3	43	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
044	CTRL003	1.6.4	44	CONTROL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
045	CTRL004	1.6.5	45	CONTROL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
046	C020	2.1.1	46	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
047	P007	2.1.1.1	47	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
048	C021	2.1.2	48	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
049	P008	2.1.2.1	49	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
050	P009	2.1.2.2	50	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
051	P010	2.1.2.3	51	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
052	C022	2.1.3	52	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
053	C023	2.2.1	53	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
054	C024	2.2.2	54	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
055	C025	2.3.1	55	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
056	P011	2.3.1.1	56	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
057	M030	3.1.1	57	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
058	P012	3.1.1.1	58	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
059	P013	3.1.1.2	59	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
060	C032	3.2.1	60	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
061	P014	3.2.1.1	61	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
062	C033	3.3.1	62	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
063	P015	3.3.1.1	63	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
064	M031	3.4.1	64	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
065	P016	3.4.1.1	65	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
066	O048	3.5.1	66	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
067	C040	4.1.1	67	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
068	P017	4.1.1.1	68	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
069	P018	4.1.1.2	69	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
070	C041	4.1.2	70	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
071	C042	4.2.1	71	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
072	CTRL005	4.2.2	72	CONTROL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PLANNED	PLANNED	NOT_STARTED
073	C044	4.3.1	73	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
074	P019	4.3.1.1	74	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
075	C045	4.3.2	75	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
076	P020	4.3.2.1	76	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
077	C047	4.3.3	77	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
078	P021	4.3.3.1	78	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
079	C046	4.3.4	79	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
080	P022	4.3.4.1	80	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
081	C043	4.4.1	81	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PLANNED	PLANNED	NOT_STARTED
