node_number	id	paper_section	documentation_tier	main_v1_state	supplement_v1_state	documentation_v2_state	python_anchor_status	lean_anchor_status	countercheck_status
027	C008	1.4.1	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED_KERNEL_VERIFIED	PASS
028	C016	1.4.2	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED_KERNEL_VERIFIED	PASS
029	C017	1.4.3	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED_KERNEL_VERIFIED	PASS
030	C009	1.4.4	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED_KERNEL_VERIFIED	PASS
031	T002	1.4.5	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	NOT_REQUIRED_PROOF_NODE	RESOLVED_KERNEL_VERIFIED	PASS
032	T003	1.4.6	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
033	C010	1.5.1	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
034	N002	1.5.2	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
035	C011	1.5.3	D1	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
036	C012	1.5.4	D1	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
037	C019	1.5.5	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
038	P004	1.5.5.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
039	P005	1.5.5.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
040	P006	1.5.5.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
041	O002	1.6.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
042	CTRL001	1.6.2	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
043	CTRL002	1.6.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
044	CTRL003	1.6.4	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
045	CTRL004	1.6.5	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
046	C020	2.1.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
047	P007	2.1.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
048	C021	2.1.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
049	P008	2.1.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
050	P009	2.1.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
051	P010	2.1.2.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
052	C022	2.1.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
053	C023	2.2.1	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
054	C024	2.2.2	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
055	C025	2.3.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
056	P011	2.3.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
057	M030	3.1.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
058	P012	3.1.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
059	P013	3.1.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
060	C032	3.2.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
061	P014	3.2.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
062	C033	3.3.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
063	P015	3.3.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
064	M031	3.4.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
065	P016	3.4.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
066	O048	3.5.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
067	C040	4.1.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
068	P017	4.1.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
069	P018	4.1.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
070	C041	4.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
071	C042	4.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
072	CTRL005	4.2.2	D0	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
073	C044	4.3.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
074	P019	4.3.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
075	C045	4.3.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
076	P020	4.3.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
077	C047	4.3.3	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
078	P021	4.3.3.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
079	C046	4.3.4	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
080	P022	4.3.4.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
081	C043	4.4.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
082	P023	4.4.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
083	P024	4.4.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
084	P025	4.4.1.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
085	O049	4.5.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
086	C050	5.1.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
087	P026	5.1.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
088	C051	5.1.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
089	P027	5.1.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
090	M050	5.2.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
091	P028	5.2.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
092	P029	5.2.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
093	C052	5.2.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
094	P030	5.2.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
095	P031	5.2.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
096	C054	5.2.3	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
097	P032	5.2.3.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
098	P033	5.2.3.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
099	C053	5.3.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
100	P034	5.3.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
101	C055	5.4.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
102	P035	5.4.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
103	C056	5.4.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
104	P036	5.4.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
105	P037	5.4.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
106	C057	6.1.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
107	P038	6.1.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
108	P039	6.1.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
109	C058	6.1.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
110	P040	6.1.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
111	P041	6.1.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
112	P042	6.1.2.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
113	C059	6.2.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
114	P043	6.2.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
115	C060	6.2.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
116	P044	6.2.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
117	P045	6.2.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
118	C061	6.2.3	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
119	P046	6.2.3.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
120	O090	6.3.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
121	O091	6.3.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
122	O071	7.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
123	M070	7.1.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
124	P047	7.1.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
125	P048	7.1.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
126	B071	7.2.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
127	M080	8.1.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
128	P049	8.1.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
129	P050	8.1.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
130	M082	8.1.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
131	P051	8.1.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
132	P052	8.1.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
133	O081	8.1.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
134	O092	8.1.4	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
135	M086	8.1.5	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
136	P053	8.1.5.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
137	P054	8.1.5.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
138	M083	8.2.1	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
139	P055	8.2.1.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
140	P056	8.2.1.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
141	P057	8.2.1.3	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
142	O084	8.3.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
143	M085	8.3.2	D2	PLANNED	PLANNED	NOT_STARTED	PLANNED	PLANNED	NOT_STARTED
144	P058	8.3.2.1	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
145	P059	8.3.2.2	D2	PLANNED	PLANNED	NOT_STARTED	NOT_REQUIRED_PROOF_NODE	PLANNED	NOT_STARTED
