id	node_semantics	documentation	freeze_state	lean_status	python_status
P044	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P045	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P046	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P047	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P048	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P049	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P050	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P051	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P052	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P053	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P054	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P055	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P056	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P057	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P058	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P059	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
T001	CLOSED_SEED_NEUTRALITY_THEOREM	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
