id	paper_section	planned_audit_tier	reason_code	publication	baseline_status
O001	1.3.7	B	IMPLEMENTATION_REFACTOR_BLOCKER	MAIN_BOUNDARY	IST_REFACTOR_BLOCKER
C015	1.3.8	A	FIXED_RULE_DEFINITION	MAIN_FULL	FIXED_ACTIVE_RULE
M003	1.3.9	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_REQUIRED_MISSING
M004	1.3.10	C	FOUNDATIONAL_DYNAMICS_BRIDGE	MAIN_FULL	CORE_REQUIRED_MISSING
C008	1.4.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
C016	1.4.2	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_BLOCKED
C017	1.4.3	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_BLOCKED
C009	1.4.4	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_BLOCKED
T002	1.4.5	C	CORE_CLOSURE_THEOREM	MAIN_THEOREM	CORE_REQUIRED_MISSING
T003	1.4.6	C	CORE_CLOSURE_THEOREM	MAIN_THEOREM	CORE_REQUIRED_MISSING
C010	1.5.1	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_DEFINED
N002	1.5.2	A	INPUT_NORMALIZATION_OR_SINGLETON	MAIN_MENTION	FIXED_NORMALIZATION
C011	1.5.3	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
C012	1.5.4	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_BLOCKED
C019	1.5.5	C	SECTION_HANDOFF_FINITE_COMPLETION	MAIN_FULL	CORE_BLOCKED
O002	1.6.1	B	IMPLEMENTATION_REFACTOR_BLOCKER	MAIN_BOUNDARY	IST_REFACTOR_BLOCKER
C020	2.1.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_REQUIRED_MISSING
C021	2.1.2	B	LOCAL_PROOF_OBLIGATION	MAIN_FULL	CORE_REQUIRES_PROOF
C022	2.1.3	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C023	2.2.1	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_DEFINED
C024	2.2.2	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_DEFINED
C025	2.3.1	B	LOCAL_PROOF_OBLIGATION	MAIN_FULL	CORE_REQUIRES_PROOF
M030	3.1.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_REQUIRED_MISSING
C032	3.2.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
C033	3.3.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
M031	3.4.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_REQUIRED_MISSING
O048	3.5.1	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
C040	4.1.1	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_BLOCKED
C041	4.1.2	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C042	4.2.1	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C044	4.3.1	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C045	4.3.2	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C047	4.3.3	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C046	4.3.4	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C043	4.4.1	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
O049	4.5.1	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
C050	5.1.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
C051	5.1.2	B	NONTRIVIAL_STRUCTURAL_PROOF	MAIN_FULL	CORE_DEFINED
M050	5.2.1	C	FOUNDATIONAL_METRIC_DERIVATION	MAIN_FULL	CORE_REQUIRED_MISSING
C052	5.2.2	C	FOUNDATIONAL_STATE_OPERATOR_BRIDGE	MAIN_THEOREM	CORE_REQUIRES_PROOF
C054	5.2.3	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C053	5.3.1	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
C055	5.4.1	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_BLOCKED
C056	5.4.2	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C057	6.1.1	C	EXTERNAL_OPERATOR_ALGEBRA_BRIDGE	MAIN_THEOREM	CORE_REQUIRES_PROOF
C058	6.1.2	C	TYPE_III_CLASSIFICATION	MAIN_THEOREM	CORE_REQUIRES_PROOF
C059	6.2.1	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_BLOCKED
C060	6.2.2	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRES_PROOF
C061	6.2.3	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_BLOCKED
O090	6.3.1	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
O091	6.3.2	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
O071	7.1.1	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
M070	7.1.2	C	EMERGENT_GEOMETRY_GATE	MAIN_FULL	CORE_REQUIRED_MISSING
B071	7.2.1	C	QUARANTINED_CRITICAL_IF_ACTIVATED	NONE_ACTIVE	QUARANTINED
M080	8.1.1	C	MODULAR_AQFT_OPEN_GATE	MAIN_OPEN_GATE	CORE_REQUIRED_MISSING
M082	8.1.2	C	MODULAR_AQFT_OPEN_GATE	MAIN_OPEN_GATE	CORE_REQUIRED_MISSING
O081	8.1.3	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
O092	8.1.4	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
M086	8.1.5	C	MODULAR_AQFT_OPEN_GATE	MAIN_OPEN_GATE	CORE_REQUIRED_MISSING
M083	8.2.1	C	MODULAR_AQFT_OPEN_GATE	MAIN_OPEN_GATE	CORE_REQUIRED_MISSING
O084	8.3.1	C	MATHEMATICAL_OBSTRUCTION	MAIN_BOUNDARY	MATHEMATICAL_OBSTRUCTION_PROOF_REQUIRED
M085	8.3.2	C	MODULAR_AQFT_OPEN_GATE	MAIN_OPEN_GATE	CORE_REQUIRED_MISSING
CTRL001		A	SUPPLEMENT_CONTROL_DEFINITION	SUPPLEMENTARY_ONLY	CONTROL_ONLY
CTRL002		B	SUPPLEMENT_THEOREM_CONTROL	SUPPLEMENTARY_ONLY	CONTROL_ONLY
CTRL003		A	SUPPLEMENT_CONTROL_DEFINITION	SUPPLEMENTARY_ONLY	CONTROL_ONLY
CTRL004		A	SUPPLEMENT_CONTROL_DEFINITION	SUPPLEMENTARY_ONLY	CONTROL_ONLY
CTRL005		A	SUPPLEMENT_CONTROL_DEFINITION	SUPPLEMENTARY_ONLY	CONTROL_ONLY
