concept_id	concept_title	node_id	paper_section	node_role	integration_status	specialization	non_claim
CNNA-00	ComplemeNt Net Architecture throughline	C017	1.4.3	Mutable complement context: carries the current effectiveness after later growth and environmental change.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C024	2.2.2	Backreaction observable: compares record and live response to expose the effect of later complementary growth.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C044	4.3.1	Nested complement projections: organizes finite-prefix reductions between different retained regions.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C045	4.3.2	Common ambient carrier: places multiple retained/complement decompositions inside one provenance net.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C047	4.3.3	Refinement channel: transfers effective descriptions between nested cuts.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C046	4.3.4	Cocycle law: records coherence or controlled defect under composed complement reductions.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C043	4.4.1	Live reconstruction: combines record and refinement/cocycle data across nested complements.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C053	5.3.1	Reduced observation specialization: positive state and measurement structures are later compressions of the response net.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C060	6.2.2	Open-quantum specialization: system/environment becomes a Hilbert-space realization of the earlier cut-relative complement role.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	M080	8.1.1	Modular/AQFT specialization: late operator-algebraic structures remain downstream realizations of the same relative-complement architecture.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
OPS-01	Provenance-complete event state	C003	1.1.5	The finite node contributes to the event carrier, event order, or sufficient current provenance state.	CURRENT_FINITE_SPECIALIZATION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-01	Provenance-complete event state	C018	1.1.6	The finite node contributes to the event carrier, event order, or sufficient current provenance state.	CURRENT_FINITE_SPECIALIZATION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-01	Provenance-complete event state	C005	1.3.1	The finite node contributes to the event carrier, event order, or sufficient current provenance state.	CURRENT_FINITE_SPECIALIZATION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-01	Provenance-complete event state	C004	1.3.2	The finite node contributes to the event carrier, event order, or sufficient current provenance state.	CURRENT_FINITE_SPECIALIZATION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-02	Cut-relative complement	M001	1.3.4	System and environment are roles induced by a retained region and its complement.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-02	Cut-relative complement	C020	2.1.1	System and environment are roles induced by a retained region and its complement.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-02	Cut-relative complement	C022	2.1.3	System and environment are roles induced by a retained region and its complement.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-02	Cut-relative complement	C060	6.2.2	System and environment are roles induced by a retained region and its complement.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-02	Open-quantum-process specialization	C060	6.2.2	Assignment maps, instruments and multi-time process objects are later quantum specializations.	LATER_QUANTUM_SPECIALIZATION_NOT_UNIVERSAL_CLAIM	OPEN_QUANTUM_SYSTEMS	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	C060	6.2.2	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-03	Effective complement elimination	C006	1.3.3	The node realizes or certifies an exact effective response after eliminating unresolved coordinates.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-03	Effective complement elimination	P001	1.3.9.1	The node realizes or certifies an exact effective response after eliminating unresolved coordinates.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-03	Effective complement elimination	C007	1.3.6	The node realizes or certifies an exact effective response after eliminating unresolved coordinates.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-03	Effective complement elimination	C021	2.1.2	The node realizes or certifies an exact effective response after eliminating unresolved coordinates.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-03	Effective complement elimination	C025	2.3.1	The node realizes or certifies an exact effective response after eliminating unresolved coordinates.	NODEWISE_CURRENT_OR_PLANNED	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	C025	2.3.1	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-04	Response-coupled event generation	M003	1.3.9	The present effective response controls the next provenance event.	M003_M004_VERIFIED_C008_DOWNSTREAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-04	Response-coupled event generation	M004	1.3.10	The present effective response controls the next provenance event.	M003_M004_VERIFIED_C008_DOWNSTREAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-04	Response-coupled event generation	C008	1.4.1	The present effective response controls the next provenance event.	M003_M004_VERIFIED_C008_DOWNSTREAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-05	Immutable record, live state and backreaction	C008	1.4.1	Birth data remain fixed while later events modify current effectiveness.	DOWNSTREAM_CONSTRUCTION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-05	Immutable record, live state and backreaction	C016	1.4.2	Birth data remain fixed while later events modify current effectiveness.	DOWNSTREAM_CONSTRUCTION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-05	Immutable record, live state and backreaction	C017	1.4.3	Birth data remain fixed while later events modify current effectiveness.	DOWNSTREAM_CONSTRUCTION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-05	Immutable record, live state and backreaction	C024	2.2.2	Birth data remain fixed while later events modify current effectiveness.	DOWNSTREAM_CONSTRUCTION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-05	Immutable record, live state and backreaction	C043	4.4.1	Birth data remain fixed while later events modify current effectiveness.	DOWNSTREAM_CONSTRUCTION	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-06	Nested cuts, refinement and cocycle	C043	4.4.1	Effective descriptions at different cuts must compose coherently.	DOWNSTREAM_COHERENCE_PROGRAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-02	Open-quantum-process specialization	C043	4.4.1	Assignment maps, instruments and multi-time process objects are later quantum specializations.	LATER_QUANTUM_SPECIALIZATION_NOT_UNIVERSAL_CLAIM	OPEN_QUANTUM_SYSTEMS	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-06	Nested cuts, refinement and cocycle	C044	4.3.1	Effective descriptions at different cuts must compose coherently.	DOWNSTREAM_COHERENCE_PROGRAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	C044	4.3.1	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-06	Nested cuts, refinement and cocycle	C045	4.3.2	Effective descriptions at different cuts must compose coherently.	DOWNSTREAM_COHERENCE_PROGRAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-06	Nested cuts, refinement and cocycle	C047	4.3.3	Effective descriptions at different cuts must compose coherently.	DOWNSTREAM_COHERENCE_PROGRAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	C047	4.3.3	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-06	Nested cuts, refinement and cocycle	C046	4.3.4	Effective descriptions at different cuts must compose coherently.	DOWNSTREAM_COHERENCE_PROGRAM	CNNA_FINITE	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	M030	3.1.1	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	C032	3.2.1	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	C033	3.3.1	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-01	Finite provenance-derived POVM migration	C053	5.3.1	Legacy supplies a finite frame-POVM specification; current derived-only proof nodes are still required.	LEGACY_MIGRATION_TARGET_NOT_CURRENT_THEOREM	FINITE_POVM_MIGRATION	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-02	Open-quantum-process specialization	C053	5.3.1	Assignment maps, instruments and multi-time process objects are later quantum specializations.	LATER_QUANTUM_SPECIALIZATION_NOT_UNIVERSAL_CLAIM	OPEN_QUANTUM_SYSTEMS	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	C053	5.3.1	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-QM-02	Open-quantum-process specialization	C057	6.1.1	Assignment maps, instruments and multi-time process objects are later quantum specializations.	LATER_QUANTUM_SPECIALIZATION_NOT_UNIVERSAL_CLAIM	OPEN_QUANTUM_SYSTEMS	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	C057	6.1.1	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	C058	6.1.2	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	C059	6.2.1	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	C061	6.2.3	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	M080	8.1.1	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	M082	8.1.2	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	M086	8.1.5	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
OPS-AQFT-01	Weyl/GNS/modular-AQFT specialization	M083	8.2.1	Operator-algebraic and AQFT structures occur only after the provenance/response layers.	LATE_OPERATOR_ALGEBRAIC_SPECIALIZATION_NODEWISE_STATUS	MODULAR_AQFT	No universal empirical completeness theorem and no promotion beyond the node implementation status.
