context_score	matched_terms	Generated export	Phase	Phase status	Phase type	Title	Added modules	Modified modules	Reusable existing modules	Manifest rule	Semantic placement	Reuse/duplication audit	Canonical generator policy	Compactness rule	Duplicate risks	Consumer direction	Regression protocol	Lean/mathlib policy	Concrete traversal	Mathlib complication log	Noncomputable boundary audit	Module	Path	Line	Declaration	Basename	Consumption class	Classification evidence	Module class	Reference consumer count	Reference consumer sample	Public promotion gate	Group	Imported-by count
10	refactor; reuse; duplication; module manifest; handoff; consumer	module_implementation_manifest.generated.tsv	20.4	W	documentation	Blue/reference-theory marking audit backlog			Repository/scripts/generate_tables.py; Repository/generated_exports/*.tsv; Repository/tables/*.tex	No Lean module manifest change. Future DB/export scripts require separate manifest if implemented.	DB-REVIEW belongs to documentation/review/tooling infrastructure, not to Pillar-A mathematical derivation.	Reuse Single-YAML-Master and existing generator/export seams; do not create a second authoritative planning source.	YAML remains the manual planning source; generated DB/TSV/PDF/graph views remain secondary and reproducible.	Keep Lean implementation packets compact; DB/audit-full exploration must not overload routine code-writing phases.	second-source-of-truth risk; generated-view-as-truth risk; unmarked-established-theory risk	All consumers are documentation/review/tooling consumers. No pillar handoff or mathematical consumer rights are granted.	No Lean refactor. Future tooling must preserve generated-view reproducibility and YAML single-source rule.	No Lean/mathlib version change. Lean data timestamp remains fixed.	Not an operational Lean computation. Concrete traversal is metadata path: YAML row -> generated TSV/TeX/PDF -> future DB row/view.	None; no mathlib imports or Lean code changes.	No noncomputable Lean boundary involved; semantic review is a documentation governance rule.													
10	refactor; reuse; duplication; module manifest; handoff; consumer	module_implementation_manifest.generated.tsv	20.5	W	infrastructure	Interactive/online documentation and database-backed exploration views			Repository/scripts/generate_tables.py; Repository/generated_exports/*.tsv; Repository/tables/*.tex	No Lean module manifest change. Future DB/export scripts require separate manifest if implemented.	DB-REVIEW belongs to documentation/review/tooling infrastructure, not to Pillar-A mathematical derivation.	Reuse Single-YAML-Master and existing generator/export seams; do not create a second authoritative planning source.	YAML remains the manual planning source; generated DB/TSV/PDF/graph views remain secondary and reproducible.	Keep Lean implementation packets compact; DB/audit-full exploration must not overload routine code-writing phases.	second-source-of-truth risk; generated-view-as-truth risk; unmarked-established-theory risk	All consumers are documentation/review/tooling consumers. No pillar handoff or mathematical consumer rights are granted.	No Lean refactor. Future tooling must preserve generated-view reproducibility and YAML single-source rule.	No Lean/mathlib version change. Lean data timestamp remains fixed.	Not an operational Lean computation. Concrete traversal is metadata path: YAML row -> generated TSV/TeX/PDF -> future DB row/view.	None; no mathlib imports or Lean code changes.	No noncomputable Lean boundary involved; semantic review is a documentation governance rule.													
10	refactor; reuse; duplication; module manifest; handoff; consumer	module_implementation_manifest.generated.tsv	20.6	G	documentation	Context-filtered documentation slices: all sections retained, only query-relevant rows emitted	Repository/scripts/generate_context_doc.py	Repository/masters/cnna_roadmap_master.yaml; Repository/README.md	Repository/scripts/generate_tables.py; Repository/generated_exports/*.tsv; Repository/masters/cnna_roadmap_master.yaml	Added Repository/scripts/generate_context_doc.py. No Lean module manifest change.	Belongs to DB-REVIEW generated-secondary documentation tooling. It is not a Pillar-A mathematical derivation layer and not a database truth layer.	Reuses the Single-YAML-Master and generated_exports. Does not create a second master; output manifest records the source and filter terms.	Context documents are reproducible generated views. Curated profiles live in YAML so they can later round-trip into the database representation.	Keeps targeted documentation compact by filtering rows per context while retaining section topology. Reduces overhead during Lean implementation closeouts.	second-source-of-truth risk; profile-overfiltering risk; false-negative relevance risk; generated-view-as-truth risk	All consumers are documentation/review/tooling consumers. No pillar handoff or mathematical consumer rights are granted.	No Lean refactor. Future tooling must preserve generated-view reproducibility and YAML single-source rule.	No Lean/mathlib version change. Lean data timestamp remains fixed.	Not an operational Lean computation. Concrete traversal is metadata path: YAML row -> generated TSV/TeX/PDF -> future DB row/view.	None; no mathlib imports or Lean code changes.	No noncomputable Lean boundary involved; semantic review is a documentation governance rule.													
10	refactor; reuse; duplication; module manifest; handoff; consumer	module_implementation_manifest.generated.tsv	20.7	G	documentation	Stats front section, tool-interface guiding metaphor, and project licensing notices		Repository/scripts/generate_tables.py; Repository/masters/cnna_roadmap_master.yaml; Repository/README.md	Repository/scripts/generate_tables.py; Repository/repo_inventory/raw_export/*.json; Repository/tables/module_inventory.tex	Modified Repository/scripts/generate_tables.py only; no Lean module manifest change.	Belongs to DB-REVIEW generated-secondary documentation tooling. It is not a Pillar-A mathematical derivation layer, not a database truth layer, and not a formal CNNA theorem.	Reuses the existing module inventory table instead of adding a duplicate standalone module-inventory section. Adds only a generated project_stats view and YAML records for metaphor/license.	Stats rows are reproducible generated views. Guiding metaphors and license notices live in YAML so they can later round-trip into database views.	Keeps the front section compact: short facts table plus the existing inventory/graph view. Avoids duplicating the old module-inventory section.	second-source-of-truth risk; metaphor-as-theorem risk; project-stats-as-truth-certificate risk; license-overreach risk	All consumers are documentation/review/tooling consumers. No pillar handoff or mathematical consumer rights are granted.	No Lean refactor. Future tooling must preserve generated-view reproducibility, YAML single-source rule, and old-module-inventory-under-Stats placement.	No Lean/mathlib version change. Lean data timestamp remains fixed.	Not an operational Lean computation. Concrete traversal is metadata path: YAML/repo inventory/source counts -> generated TSV/TeX/PDF -> future database view.	None; no mathlib imports or Lean code changes.	No noncomputable Lean boundary involved; semantic review is a documentation governance rule.													
9	compatibility; boundarysource; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv																				CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	210	CNNA.PillarA.Arithmetic.CayleyDickson.CDComplexArithmeticBridge.fromBoundarySource	fromBoundarySource	proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation	blocked from public-final unless later linked to a documented object/API contract		
9	compatibility; boundarysource; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv																				CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	333	CNNA.PillarA.Arithmetic.StrengtheningAR6a.AR6aCDComplexArithmeticBridgeFromBoundarySource	AR6aCDComplexArithmeticBridgeFromBoundarySource	proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation	blocked from public-final unless later linked to a documented object/API contract		
9	compatibility; cayleydickson; notation; consumer; public api	module_consumption_records.generated.tsv																				CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean				proof-bridge	module name carries certificate/proof/bridge/identity role		93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it	PillarA/Arithmetic	4
9	refactor; reuse; duplication; notation; consumer	module_implementation_manifest.generated.tsv	1.1	G	infrastructure	Notation split and legacy/API cleanup umbrella; child gates fixed in derivation order										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.													
9	refactor; reuse; duplication; module manifest; consumer	module_implementation_manifest.generated.tsv	1.1.1	G	documentation	Pre-code governance umbrella: module manifest, reuse, consumption classification, proofbook infrastructure, blue correction, API and pruning gates										No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.													
9	refactor; reuse; duplication; smoke; consumer	module_implementation_manifest.generated.tsv	1.1.1.1.0	G	infrastructure	Global no-go guardrail contract and inheritance lock				No code modules introduced by this gate.	Governance belongs in YAML master and generated views unless a future code-level policy module is justified.	No duplicate implementation authorized; decision reduces future duplication risk.	Generator-like logic must consume the canonical smoke/theory generator path; no parallel implementation.	Do not split code solely for this planning decision; use YAML/workflow unless a reusable code-level policy module is later justified.		No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only or not prepared yet. Before operational code implementation, name a concrete finite instance and the path from input to output.	No phase-specific mathlib complication recorded yet.	No phase-specific noncomputable-boundary audit recorded yet.													
9	refactor; reuse; duplication; smoke; consumer	module_implementation_manifest.generated.tsv	1.1.1.1.0.1	G	infrastructure	Concrete computable instance traversal and mathlib-complication scratchpad contract				No code modules introduced by this gate.	Governance belongs in YAML master and generated views unless a future code-level policy module is justified.	No duplicate implementation authorized; decision reduces future duplication risk.	Generator-like logic must consume the canonical smoke/theory generator path; no parallel implementation.	Do not split code solely for this planning decision; use YAML/workflow unless a reusable code-level policy module is later justified.		No special cross-phase consumer contract recorded yet. If a later phase consumes this output, record export shape and import direction before implementation.	Not applicable unless phase_type is refactor or the phase changes imports/declarations. If refactor applies: wrapper-first, bounded migration package, local full-build evidence before closeout.	Baseline is Lean 4.28.0/mathlib snapshot unless an explicit phase-boundary upgrade gate is opened. New imports must be verified against the chosen baseline; noncomputable/classical pressure must be logged and isolated.	Infrastructure-only gate: no operational Lean object introduced. The generated requirement is itself the traversal contract for future operational phases.	Planning gate only. Records known risk class: mathlib algebraic interfaces may force noncomputable/classical dependencies; future phases must log concrete module/API names.	No Lean code changed. Future operational phases must separate operational code from mirror/non-operational noncomputable uses.													
