context_score	matched_terms	Generated export	Object ID	Object	Phase	Object status	Proof documentation status	Proof dossier	Consumption class	Classification evidence	Public promotion gate	Module	Path	Line	Declaration	Basename	Module class	Reference consumer count	Reference consumer sample	Group	Imported-by count	Class	Meaning	Evidence rule	Public/API disposition	Blocked promotion rule
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	37	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aNoIdentificationStatus	AR6aNoIdentificationStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							legacy-policy	declaration is governance/policy/ledger/audit material	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	41	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aBridgeLedgerStatus	AR6aBridgeLedgerStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	45	CNNA.PillarA.Arithmetic.CayleyDickson.ExecMirrorScalarTransfer	ExecMirrorScalarTransfer	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	58	CNNA.PillarA.Arithmetic.CayleyDickson.ExecMirrorScalarTransfer.closed	closed	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	81	CNNA.PillarA.Arithmetic.CayleyDickson.CDCanonicalComplexSurface	CDCanonicalComplexSurface	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	115	CNNA.PillarA.Arithmetic.CayleyDickson.CDCanonicalComplexSurface.fromCDSource	fromCDSource	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	144	CNNA.PillarA.Arithmetic.CayleyDickson.CDComplexArithmeticBridge	CDComplexArithmeticBridge	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	279	CNNA.PillarA.Arithmetic.CayleyDickson.CDComplexArithmeticBridge.status_closed	status_closed	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	288	CNNA.PillarA.Arithmetic.CayleyDickson.CDComplexArithmeticBridge.no_exec_mirror_cd_identification	no_exec_mirror_cd_identification	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	298	CNNA.PillarA.Arithmetic.CayleyDickson.CDComplexArithmeticBridge.shared_schur_provenance	shared_schur_provenance	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	313	CNNA.PillarA.Arithmetic.StrengtheningAR6a.AR6aStructuralCDSource	AR6aStructuralCDSource	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	318	CNNA.PillarA.Arithmetic.StrengtheningAR6a.AR6aCDCanonicalComplexSurface	AR6aCDCanonicalComplexSurface	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	324	CNNA.PillarA.Arithmetic.StrengtheningAR6a.AR6aCDComplexArithmeticBridge	AR6aCDComplexArithmeticBridge	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	344	CNNA.PillarA.Arithmetic.StrengtheningAR6a.AR6aBridge_status_closed	AR6aBridge_status_closed	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; boundarysource; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	289	CNNA.PillarA.Arithmetic.Convergence.QuadraticOrderCDCompatibilitySurface.gaussianFromBoundarySource	gaussianFromBoundarySource	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
8	compatibility; boundarysource; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	297	CNNA.PillarA.Arithmetic.Convergence.QuadraticOrderCDCompatibilitySurface.eisensteinFromBoundarySource	eisensteinFromBoundarySource	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
8	compatibility; boundarysource; notation; consumer	declaration_consumption_records.generated.tsv							dead-candidate	declaration name marks a blocked/negative/obstruction route	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	432	CNNA.PillarA.Arithmetic.Convergence.NonQuadraticCDComplexObstruction.fromBoundarySourceAndAR11Certificate	fromBoundarySourceAndAR11Certificate	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
8	compatibility; handoff; cayleydickson; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Handoff.CayleyDicksonAdapter	CNNA/PillarA/Handoff/CayleyDicksonAdapter.lean	69	CNNA.PillarA.Handoff.HandoffFunctorialApproximantCompatibilityObligation	HandoffFunctorialApproximantCompatibilityObligation	core-computational	29	CNNA.PillarA.Handoff.Outputs.A_to_CayleyDickson; CNNA.PillarA.Handoff.ProofObligationI.Completion; CNNA.PillarA.Handoff.ProofObligationII.Preparation; CNNA.PillarA.Handoff.ProofObligationIII.Preparation							
8	compatibility; handoff; cayleydickson; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Structural.CayleyDickson.S6ProofDutyGroups	CNNA/PillarA/Structural/CayleyDickson/S6ProofDutyGroups.lean	39	CNNA.PillarA.Structural.CayleyDickson.FunctorialApproximantCompatibilityDuty	FunctorialApproximantCompatibilityDuty	proof-bridge	10	CNNA.PillarA.Handoff.CayleyDicksonAdapter; CNNA.PillarA.Structural.CayleyDickson.S6ResearchReadinessBridge							
8	compatibility; handoff; cayleydickson; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Structural.CayleyDickson.S6ProofDutyGroups	CNNA/PillarA/Structural/CayleyDickson/S6ProofDutyGroups.lean	122	CNNA.PillarA.Structural.CayleyDickson.canonicalIdealAlgebraizationDuty_implies_externalHurwitzCompatibility	canonicalIdealAlgebraizationDuty_implies_externalHurwitzCompatibility	proof-bridge	10	CNNA.PillarA.Handoff.CayleyDicksonAdapter; CNNA.PillarA.Structural.CayleyDickson.S6ResearchReadinessBridge							
8	compatibility; handoff; cayleydickson; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Structural.CayleyDickson.S6StatusLayer	CNNA/PillarA/Structural/CayleyDickson/S6StatusLayer.lean	139	CNNA.PillarA.Structural.CayleyDickson.FunctorialApproximantCompatibilityObligation	FunctorialApproximantCompatibilityObligation	core-computational	4	CNNA.PillarA.Handoff.CayleyDicksonAdapter; CNNA.PillarA.Structural.CayleyDickson.S6ConcreteSeeds							
8	compatibility; notation; consumer; public api	module_consumption_records.generated.tsv							core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	not public-final unless an object proof dossier and public API contract later permit it	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean					9	CNNA.PillarA.Arithmetic.Notation	PillarA/Arithmetic	2					
8	compatibility; notation; consumer; public api	module_consumption_records.generated.tsv							core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	not public-final unless an object proof dossier and public API contract later permit it	CNNA.PillarA.Arithmetic.Orders.NormForms	CNNA/PillarA/Arithmetic/Orders/NormForms.lean					40	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Notation	PillarA/Arithmetic	3					
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	16	CNNA.PillarA.Arithmetic.Convergence.AR12aDiscriminantAlgebraClassification	AR12aDiscriminantAlgebraClassification	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	23	CNNA.PillarA.Arithmetic.Convergence.AR12aQuadraticOrderCDEqualityStatus	AR12aQuadraticOrderCDEqualityStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	27	CNNA.PillarA.Arithmetic.Convergence.AR12aScalarComparisonStatus	AR12aScalarComparisonStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	31	CNNA.PillarA.Arithmetic.Convergence.AR12aNormComparisonStatus	AR12aNormComparisonStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	35	CNNA.PillarA.Arithmetic.Convergence.AR12aConjugationComparisonStatus	AR12aConjugationComparisonStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	39	CNNA.PillarA.Arithmetic.Convergence.AR12aFormComparisonStatus	AR12aFormComparisonStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	43	CNNA.PillarA.Arithmetic.Convergence.AR12aPeriodLatticePreparationStatus	AR12aPeriodLatticePreparationStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	48	CNNA.PillarA.Arithmetic.Convergence.AR12aDownstreamDisciplineStatus	AR12aDownstreamDisciplineStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	52	CNNA.PillarA.Arithmetic.Convergence.AR12aDerivedOnlyStatus	AR12aDerivedOnlyStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							dead-candidate	declaration name marks a blocked/negative/obstruction route	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	56	CNNA.PillarA.Arithmetic.Convergence.AR12aCDCObstructionStatus	AR12aCDCObstructionStatus	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	declaration name carries proof/certificate/equality/witness role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	60	CNNA.PillarA.Arithmetic.Convergence.ImaginaryQuadraticDiscriminantWitness	ImaginaryQuadraticDiscriminantWitness	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	declaration name carries proof/certificate/equality/witness role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	68	CNNA.PillarA.Arithmetic.Convergence.ImaginaryQuadraticDiscriminantWitness.gaussian	gaussian	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	declaration name carries proof/certificate/equality/witness role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	75	CNNA.PillarA.Arithmetic.Convergence.ImaginaryQuadraticDiscriminantWitness.eisenstein	eisenstein	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
7	compatibility; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	declaration name carries proof/certificate/equality/witness role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility	CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean	82	CNNA.PillarA.Arithmetic.Convergence.ImaginaryQuadraticDiscriminantWitness.discriminant_matches_norm	discriminant_matches_norm	core-computational	9	CNNA.PillarA.Arithmetic.Notation							
